geo,time,ny_gsr_nfcy_cn
abw,1986,-13100000
abw,1987,-25800000
abw,1988,-30500000
abw,1989,-20200000
abw,1990,-13900000
abw,1991,-13900000
abw,1992,-17300000
abw,1993,-32000000
abw,1994,-35800000
abw,1995,-27200000
abw,1996,-31900000
abw,1997,-41500000
abw,1998,-10000000
abw,1999,-76400000
abw,2000,-43000000
abw,2001,-102500000
abw,2002,-242900000
abw,2003,-95600000
abw,2004,-133000000
abw,2005,-856800000
abw,2006,-189500000
abw,2007,-688700000
abw,2008,-208900000
abw,2009,-159000000
abw,2010,-251100000
abw,2011,-442000000
abw,2012,-207800000
abw,2013,-294600000
abw,2014,-184100000
abw,2015,-223300000
abw,2016,-242000000
abw,2017,-305500400
abw,2018,-376980900
abw,2019,-282459000
afg,1960,499996700
afg,1961,500000800
afg,1962,500000800
afg,1963,699998200
afg,1964,699998200
afg,1965,900000000
afg,1966,1300000000
afg,1967,1600000000
afg,1968,1300000000
afg,1969,1300000000
afg,1970,1600100000
afg,1971,1700000000
afg,1972,1599900000
afg,1973,1699900000
afg,1974,2100000000
afg,1975,2300000000
afg,1976,2500000000
afg,1977,2900000000
afg,1978,3200000000
afg,1979,3400000000
afg,1980,3300000000
afg,1981,3600000000
afg,2001,0
afg,2009,-1744239500
afg,2010,1279249300
afg,2011,-927197300
afg,2012,1619980300
afg,2013,3973255200
afg,2014,-136143500
afg,2015,11054072100
afg,2016,12186580400
afg,2017,16915910200
afg,2018,13797385900
afg,2019,23362174000
afg,2020,14513301200
ago,1985,0
ago,1986,0
ago,1987,0
ago,1988,0
ago,1989,0
ago,1990,0
ago,1991,0
ago,1992,-78200
ago,1993,-81600
ago,1994,-73500
ago,1995,-2080000
ago,1996,-188354300
ago,1997,-210202900
ago,1998,-380554600
ago,1999,-3828932600
ago,2000,-16876749100
ago,2001,-34432101500
ago,2002,-71156919300
ago,2003,-128806358600
ago,2004,-207898004200
ago,2005,-351328797200
ago,2006,-496503300800
ago,2007,-582892076200
ago,2008,-1029273613800
ago,2009,-541267288000
ago,2010,-743228865400
ago,2011,-910915958200
ago,2012,-994943515200
ago,2013,-955536651800
ago,2014,-869966599400
ago,2015,-709263293800
ago,2016,-863072023300
ago,2017,-1245301723300
ago,2018,-1979745714100
ago,2019,-2742140160500
ago,2020,-2847346331200
alb,1984,27456000
alb,1985,12012000
alb,1986,800000
alb,1987,3200000
alb,1988,1600000
alb,1989,-800000
alb,1990,-15200000
alb,1991,-312480000
alb,1992,-2633640800
alb,1993,3459918800
alb,1994,1305802000
alb,1995,4041611000
alb,1996,7490719999.99997
alb,1997,7383870000
alb,1998,11567160000
alb,1999,10394540000
alb,2000,15070720000
alb,2001,18100200000
alb,2002,15320819999.9999
alb,2003,18185340000
alb,2004,17380990000
alb,2005,16182110000
alb,2006,25724590000
alb,2007,26944990000
alb,2008,5454870000.00011
alb,2009,-18185330000.0001
alb,2010,-12384800000
alb,2011,336939999.99994
alb,2012,-9927520000.00002
alb,2013,23280909999.9999
alb,2014,12791790000
alb,2015,16999570000.0001
alb,2016,23913960000
alb,2017,3786350000.00009
alb,2018,-1991229999.99998
alb,2019,-22143899999.9999
alb,2020,-27187446400
are,2000,18700000000
are,2001,18600000000
are,2002,3383000000
are,2003,-200000000
are,2004,2600000000
are,2005,10600000000
are,2006,17400000000
are,2007,30750000000
are,2008,13970000000
are,2009,9600325000
are,2010,-308000000
are,2011,497000000
are,2012,1100000000
are,2013,1700000000
are,2014,2420000000
are,2015,6400000000
are,2016,7700000000
are,2017,10200000000
are,2018,5230000000
are,2019,7600000000
are,2020,-1700000000
arg,1960,0.0034
arg,1961,0.00432
arg,1962,0.00552
arg,1963,0.00656
arg,1964,0.0093
arg,1965,0.01247
arg,1966,0.02448
arg,1967,0.00289
arg,1968,-0.01373
arg,1969,-0.00769
arg,1970,-0.04514
arg,1971,0.01707
arg,1972,-0.04268
arg,1973,0.01604
arg,1974,0.02188
arg,1975,0.2625
arg,1976,0.03101
arg,1977,-2.20898
arg,1978,-4.47003
arg,1979,-17.46997
arg,1980,-33.69995
arg,1981,-174.2998
arg,1982,-1312.5
arg,1983,-6220
arg,1984,-40952
arg,1985,-284650
arg,1986,-451100
arg,1987,-1084300
arg,1988,-4832000
arg,1989,-271650048
arg,1990,-3024199680.00001
arg,1991,-5590007800
arg,1992,-4218011600
arg,1993,-2995054100
arg,1994,-3696736900
arg,1995,-4668859300
arg,1996,-5502049300
arg,1997,-6217795600
arg,1998,-7406048600
arg,1999,-7463719900
arg,2000,-7547781100
arg,2001,-7726781900
arg,2002,-15865744400
arg,2003,-15129314200
arg,2004,-53904683200
arg,2005,-66197420600
arg,2006,-23579879685.46
arg,2007,-23510231192.2893
arg,2008,-28434646110.5646
arg,2009,-38348077170.7294
arg,2010,-56622547536.2697
arg,2011,-62283347929.84769
arg,2012,-62368708772.6094
