global,time,nv_ind_manf_kd
world,1997,8134279101250.05957
world,1998,8249804616298.89941
world,1999,8540267935042.15039
world,2000,9085381061681.04883
world,2001,8973153890126.41992
world,2002,9102621679436.11914
world,2003,9436208518125.43945
world,2004,9958331079277.19922
world,2005,10319803790302.40039
world,2006,10892671005376.09961
world,2007,11366499524829
world,2008,11332759681131.09961
world,2009,10221722127860.5
world,2010,11093705191568.30078
world,2011,11396584117457.09961
world,2012,11461233314240.19922
world,2013,11662027557153
world,2014,11989932402285.30078
world,2015,12297585850837.80078
world,2016,12474019612332.59961
world,2017,12933251466786.19922
world,2018,13363325848045.59961
world,2019,13481576298667.5
