geo,time,se_sec_enrl_fe_zs
abw,1999,50.88488
abw,2000,50.50178
abw,2001,51.05787
abw,2002,51.48735
abw,2003,51.57956
abw,2004,50.55213
abw,2005,50.7448
abw,2006,50.38312
abw,2007,50.88501
abw,2008,51.34801
abw,2009,50.42344
abw,2010,50.23154
abw,2011,50.31174
abw,2012,49.6001
afg,1970,13.12944
afg,1971,12.34737
afg,1972,11.32889
afg,1973,12.08799
afg,1974,11.83007
afg,1975,11.9969
afg,1976,12.77423
afg,1977,14.2453
afg,1978,14.72301
afg,1981,19.8312
afg,1982,29.81286
afg,1984,30.27423
afg,1985,29.96061
afg,1986,31.87462
afg,1988,31.55284
afg,1991,32.15821
afg,1993,25.79763
afg,1994,20.34748
afg,1995,25.37501
afg,2001,0
afg,2003,24.44685
afg,2004,16.27781
afg,2005,23.36562
afg,2006,25.40252
afg,2007,26.06118
afg,2008,28.63063
afg,2009,31.26018
afg,2010,32.00865
afg,2011,34.45594
afg,2012,34.63026
afg,2013,34.43871
afg,2014,34.62152
afg,2015,34.69429
afg,2016,35.18667
afg,2017,35.03392
afg,2018,35.12363
ago,1971,41.7282
ago,1972,42.50335
ago,1982,32.65896
ago,1983,33.23428
ago,1998,44.17568
ago,1999,43.38891
ago,2000,45.34373
ago,2001,44.18037
ago,2002,45.68679
ago,2008,43.74586
ago,2009,43.5398
ago,2010,40.7975
ago,2011,39.42747
ago,2016,39.52354
alb,1976,46.62673
alb,1978,46.50518
alb,1979,46.70542
alb,1980,46.08197
alb,1981,45.96571
alb,1982,46.29271
alb,1983,47.1153
alb,1984,47.01205
alb,1985,46.37742
alb,1986,46.25219
alb,1987,46.53735
alb,1988,46.53605
alb,1989,46.44818
alb,1990,46.11871
alb,1991,46.33388
alb,1992,48.84886
alb,1993,50.01586
alb,1994,49.41524
alb,1995,48.73308
alb,1996,48.63768
alb,1997,48.52623
alb,1999,48.43027
alb,2000,48.47729
alb,2001,48.65295
alb,2004,47.93991
alb,2005,47.88772
alb,2006,48.0021
alb,2007,48.13348
alb,2008,48.02695
alb,2009,48.60584
alb,2010,47.79232
alb,2011,47.34738
alb,2012,47.16365
alb,2013,46.91698
alb,2014,46.59472
alb,2015,46.86349
alb,2016,47.07269
alb,2017,47.08215
alb,2018,47.09416
and,1971,43.78453
and,1972,48.54772
and,1973,42.83668
and,1974,54.38202
and,1975,47.57282
and,1976,62.29321
and,1983,50.51669
and,2002,50.25543
and,2003,50.21916
and,2004,49.90769
and,2005,50.28097
and,2006,49.93495
and,2007,49.43703
and,2008,49.208
and,2009,48.85028
and,2010,48.28776
and,2011,47.92017
and,2012,48.0038
and,2013,48.00661
and,2014,47.99722
and,2015,47.69056
and,2016,49.12994
and,2017,48.64203
and,2018,48.34921
are,1973,25.63064
are,1974,35.8132
are,1975,38.13825
are,1976,37.10396
are,1977,38.94977
are,1978,42.25866
are,1979,42.70778
are,1980,44.12779
are,1981,44.65422
are,1982,45.78359
are,1983,45.96906
are,1984,46.50813
are,1985,47.60192
are,1986,48.12989
are,1987,48.71299
are,1988,49.26836
are,1989,49.72893
are,1990,50.11968
are,1991,50.37217
are,1992,50.63426
are,1993,50.70518
are,1994,50.57288
are,1995,50.28779
are,1997,49.89655
are,1998,50.05142
are,2016,48.60796
are,2017,46.65172
arg,1970,52.4914
arg,1971,52.17524
arg,1972,51.6798
arg,1973,51.9333
arg,1974,52.00676
arg,1975,52.36296
arg,1976,52.48048
arg,1977,52.81518
arg,1978,52.9769
arg,1979,52.78319
arg,1980,52.91178
arg,1981,53.1028
arg,1982,52.1687
arg,1983,51.3164
arg,1984,52.00776
arg,1985,52.37457
arg,1986,52.0753
arg,1987,51.62746
arg,1988,51.78421
arg,1996,51.9591
arg,1997,51.62891
arg,1998,50.7629
arg,1999,51.08887
arg,2000,50.81943
arg,2001,50.83819
arg,2002,50.79382
arg,2003,50.95283
arg,2004,51.27406
arg,2005,51.52376
arg,2006,51.80645
arg,2007,52.00948
arg,2008,52.17416
arg,2009,51.94837
arg,2010,51.49829
arg,2011,51.6458
arg,2012,51.31096
arg,2013,51.00165
arg,2014,50.7961
arg,2015,50.60901
arg,2016,50.25036
arg,2017,50.17572
arm,2000,52.03811
arm,2007,49.38178
arm,2008,48.91276
arm,2009,48.24373
arm,2010,47.8943
arm,2011,47.84842
arm,2013,48.10718
arm,2014,48.02877
