geo,time,se_xpd_csec_zs
abw,1998,99.18966
abw,1999,99.25455
abw,2000,99.5307
abw,2001,87.38588
abw,2002,99.5402
abw,2005,100
abw,2007,100
abw,2008,100
abw,2009,100
abw,2011,100
abw,2012,100
abw,2013,100
abw,2014,100
abw,2015,100
abw,2016,100
afg,2010,82.66527
afg,2011,84.1094
afg,2012,89.26381
afg,2013,84.10759
afg,2014,83.58745
afg,2015,84.52096
afg,2016,86.9397
afg,2017,89.3641
ago,2006,75.77922
alb,2013,90.15517
alb,2015,88.27995
alb,2016,87.24487
alb,2017,85.97474
alb,2018,85.3626
alb,2019,79.08862
and,2006,97.26016
and,2007,98.55651
and,2008,97.75626
and,2009,99.08884
and,2010,97.77582
and,2011,98.49307
and,2012,98.82024
and,2013,98.87634
and,2014,97.9961
and,2015,98.06455
and,2016,98.70774
and,2017,98.91825
and,2018,99.24856
and,2019,98.85576
are,1998,91.93829
are,2006,89.71947
are,2009,95.69517
are,2013,99.50394
arg,1998,95.54905
arg,2001,98.47993
arg,2002,98.97834
arg,2003,99.31154
arg,2004,99.05556
arg,2005,99.25755
arg,2006,97.3783
arg,2007,96.2903
arg,2008,96.03195
arg,2009,95.38204
arg,2010,95.22258
arg,2011,90.20495
arg,2012,94.34095
arg,2013,90.89157
arg,2014,88.79573
arg,2015,86.41627
arg,2016,86.32913
arg,2017,86.17238
arg,2018,97.26013
arg,2019,98.08295
arm,2012,88.87049
arm,2016,95.82012
arm,2017,84.37435
arm,2020,89.49095
atg,2002,95.18659
atg,2009,89.23598
aus,1995,92.9503
aus,2000,94.28306
aus,2005,94.19027
aus,2006,91.89158
aus,2007,92.13134
aus,2008,91.66349
aus,2009,89.39133
aus,2010,87.90505
aus,2011,91.20187
aus,2012,93.4062
aus,2013,93.54521
aus,2014,94.53404
aus,2015,95.20192
aus,2016,94.81317
aus,2017,93.03391
aus,2018,91.08425
aut,1998,93.89514
aut,1999,94.35128
aut,2000,94.94247
aut,2001,97.06203
aut,2002,96.35204
aut,2003,97.22066
aut,2004,96.61066
aut,2005,97.32781
aut,2006,97.60403
aut,2007,98.21015
aut,2008,98.11718
aut,2009,98.13544
aut,2010,98.13573
aut,2011,98.07552
aut,2012,97.99992
aut,2013,98.02933
aut,2014,97.49521
aut,2015,97.50381
aut,2016,97.37519
aut,2017,96.60409
aut,2018,96.73987
aze,2015,99.49023
aze,2016,98.33686
aze,2019,99.94057
bdi,1999,90.19211
bdi,2001,94.94511
bdi,2002,94.19351
bdi,2004,79.08756
bdi,2008,92.62994
bdi,2009,88.35144
bdi,2010,92.8128
bdi,2011,95.2342
bdi,2012,99.99514
bdi,2013,87.87455
bel,2013,96.62653
bel,2014,96.02022
bel,2015,96.11328
bel,2016,95.20866
bel,2017,96.27853
bel,2018,96.67049
ben,1998,84.16855
ben,2007,96.07168
ben,2008,97.26493
ben,2009,95.24683
ben,2010,99.0918
ben,2012,91.05192
ben,2013,93.60872
ben,2014,93.77144
ben,2015,94.372
bfa,2007,71.93139
bfa,2010,95.41011
bfa,2011,76.82986
bfa,2012,77.11181
bfa,2016,90.49447
bgd,2007,97.87454
bgd,2008,90.14223
bgd,2009,90.13548
bgd,2010,90.10918
bgd,2011,98.2938
bgd,2012,98.15917
bgd,2016,72.82153
bgd,2019,56.49925
bgd,2020,57.16713
bgr,2001,98.56502
bgr,2002,96.62515
bgr,2003,96.9203
bgr,2005,88.52662
bgr,2006,92.15423
bgr,2007,83.16062
bgr,2008,86.61995
bgr,2009,90.70229
bgr,2010,96.33976
bgr,2011,96.60689
bgr,2012,95.62294
bgr,2017,96.60492
bih,2018,98.16947
blr,2004,95.15969
blr,2005,95.17228
blr,2006,94.95748
blr,2017,94.90215
blr,2019,92.18743
blz,2000,95.10487
blz,2001,90.83543
bmu,2017,89.39533
bra,1998,95.9209
bra,1999,96.08968
bra,2000,94.44758
bra,2001,93.13143
bra,2002,91.78747
bra,2004,94.86476
bra,2005,94.62361
bra,2006,95.16045
bra,2007,93.28495
bra,2008,92.88991
bra,2009,94.58657
bra,2010,93.93662
bra,2011,94.17124
bra,2012,92.50865
bra,2013,94.34982
bra,2014,93.84196
bra,2015,96.77854
bra,2016,97.59823
bra,2017,97.72913
bra,2018,97.10976
brb,1999,89.14487
brb,2000,100
brb,2001,99.95414
brb,2002,87.04117
brb,2003,84.25191
brb,2004,87.65476
brb,2005,91.64769
brb,2007,97.38632
brb,2008,92.59381
brb,2009,98.09692
brb,2010,89.37921
brb,2013,98.74415
brb,2014,99.35414
brb,2016,99.28985
brb,2019,96.13024
brb,2020,95.86471
brn,2016,95.88538
btn,2013,98.5756
btn,2015,86.33159
bwa,2009,86.52457
caf,2005,96.02936
caf,2007,97.97036
caf,2008,95.54495
caf,2009,86.08256
caf,2010,99.12381
che,1998,90.96424
che,1999,91.60379
che,2000,92.51234
che,2001,92.73441
che,2002,91.05227
che,2003,91.55887
che,2004,91.73521
che,2005,91.6582
che,2006,92.25944
che,2007,92.38393
che,2008,93.15909
che,2009,91.844
che,2010,91.75601
che,2011,92.03702
che,2012,92.92039
che,2013,91.65404
che,2014,91.51171
che,2015,92.22409
che,2018,91.17586
chl,1998,90.99729
chl,1999,91.73306
chl,2000,84.67396
chl,2002,83.60122
chl,2003,86.86923
chl,2004,84.69466
chl,2005,96.90138
chl,2006,96.06559
chl,2007,96.3058
chl,2008,97.76321
chl,2009,97.65162
chl,2017,93.53133
chl,2018,87.15812
chn,1999,90.10541
civ,1998,87.46004
civ,1999,88.76448
civ,2006,94.70355
civ,2007,94.49728
civ,2008,92.85942
civ,2009,87.18283
civ,2010,90.0922
civ,2011,91.68088
civ,2012,85.19217
civ,2013,89.14094
civ,2014,91.39438
civ,2015,92.1758
civ,2016,96.16585
civ,2017,91.70755
civ,2018,90.40211
cmr,2008,90.04195
cmr,2009,87.30917
cmr,2010,87.81159
cmr,2011,94.6715
cmr,2012,97.09319
cod,2010,75.14794
cod,2013,98.91988
col,2004,96.09057
col,2007,100
col,2008,100
col,2009,100
col,2010,98.59153
col,2011,99.10108
col,2012,98.15205
col,2013,91.48617
col,2014,94.10522
col,2015,93.69441
col,2016,95.9206
col,2017,95.00553
col,2018,95.55423
col,2019,94.67192
com,1998,89.06102
com,2002,86.48372
com,2011,100
com,2012,100
com,2015,99.99878
cpv,2002,57.99604
cpv,2004,76.16743
cpv,2005,74.32608
cpv,2006,69.09114
cpv,2008,76.18949
cpv,2009,82.1196
cpv,2013,89.44936
cpv,2014,94.83215
cpv,2015,96.10155
cpv,2016,95.02843
cpv,2019,100
cri,2001,100
cri,2002,100
cri,2004,97.02508
cri,2006,98.65463
cri,2007,96.16085
cri,2008,97.48429
cri,2009,96.49306
cri,2010,95.02434
cri,2011,99.34358
cri,2012,94.92161
cri,2013,96.588
cri,2014,96.89268
cri,2015,95.60274
cri,2016,100
cri,2017,95.61329
cri,2018,99.70569
cri,2019,99.39413
cri,2020,99.40606
cub,2000,92.34944
cub,2001,88.67815
cub,2002,82.12391
cub,2004,85.85245
cub,2005,82.84438
cub,2006,82.40923
cub,2007,95.65986
cub,2008,96.4336
cub,2009,97.63171
cub,2010,98.51942
cym,2006,100
cyp,2000,92.58794
cyp,2001,92.27962
cyp,2002,90.90909
cyp,2003,86.54944
cyp,2004,91.20534
cyp,2005,87.41832
cyp,2006,90.48664
cyp,2007,90.60148
cyp,2008,87.96604
cyp,2009,90.76231
cyp,2010,92.29856
cyp,2011,91.56542
cyp,2013,97.56789
cyp,2014,97.77929
cyp,2015,97.90949
cyp,2016,96.19851
