geo,time,ag_prd_crop_xd
afg,1961,43.45
afg,1962,43.68
afg,1963,41.7
afg,1964,46.55
afg,1965,48.36
afg,1966,47.84
afg,1967,53.32
afg,1968,54.61
afg,1969,55.77
afg,1970,50.96
afg,1971,46.46
afg,1972,54.39
afg,1973,57.79
afg,1974,59.16
afg,1975,60.53
afg,1976,64.68
afg,1977,54.36
afg,1978,60.63
afg,1979,59.14
afg,1980,58.88
afg,1981,57.29
afg,1982,56.03
afg,1983,54.29
afg,1984,52.53
afg,1985,50.55
afg,1986,48.22
afg,1987,48.91
afg,1988,46.4
afg,1989,44.59
afg,1990,44.75
afg,1991,56.63
afg,1992,53.86
afg,1993,56.68
afg,1994,57.99
afg,1995,58.91
afg,1996,59.31
afg,1997,62.09
afg,1998,63.91
afg,1999,59.56
afg,2000,50.57
afg,2001,52.48
afg,2002,63.15
afg,2003,69.54
afg,2004,62.06
afg,2005,77.69
afg,2006,74.23
afg,2007,84.97
afg,2008,73.83
afg,2009,93.16
afg,2010,89.84
afg,2011,81.32
afg,2012,94.69
afg,2013,93.05
afg,2014,99.89
afg,2015,95.55
afg,2016,104.57
afg,2017,100.91
afg,2018,94.43
afg,2019,121.43
ago,1961,21.01
ago,1962,22.35
ago,1963,21.85
ago,1964,23.76
ago,1965,24.62
ago,1966,25.71
ago,1967,26.37
ago,1968,24.79
ago,1969,26.23
ago,1970,26.22
ago,1971,27.3
ago,1972,26.77
ago,1973,26.78
ago,1974,26.63
ago,1975,23.43
ago,1976,18.16
ago,1977,17.19
ago,1978,15.97
ago,1979,14.22
ago,1980,15.45
ago,1981,13.76
ago,1982,13.6
ago,1983,13.58
ago,1984,13.81
ago,1985,13.81
ago,1986,14.48
ago,1987,14.55
ago,1988,14.53
ago,1989,14.35
ago,1990,13.93
ago,1991,14.94
ago,1992,15.92
ago,1993,15.5
ago,1994,18.98
ago,1995,18.74
ago,1996,19.01
ago,1997,18.17
ago,1998,22.31
ago,1999,20.7
ago,2000,25.58
ago,2001,31.39
ago,2002,37.12
ago,2003,41.18
ago,2004,47.62
ago,2005,51.74
ago,2006,52.72
ago,2007,61.35
ago,2008,65.26
ago,2009,86.09
ago,2010,91.02
ago,2011,100.69
ago,2012,78.79
ago,2013,113.95
ago,2014,97.23
ago,2015,100.07
ago,2016,102.7
ago,2017,103.72
ago,2018,108.15
ago,2019,110.85
alb,1961,21.37
alb,1962,23.52
alb,1963,22.54
alb,1964,27
alb,1965,24.4
alb,1966,29.51
alb,1967,30.11
alb,1968,32.08
alb,1969,32.56
alb,1970,33.68
alb,1971,34.44
alb,1972,35.99
alb,1973,39.03
alb,1974,39.84
alb,1975,40.77
alb,1976,45.52
alb,1977,48.01
alb,1978,48.7
alb,1979,50
alb,1980,47.75
alb,1981,49.3
alb,1982,51.62
alb,1983,58.28
alb,1984,53.13
alb,1985,52.64
alb,1986,53.25
alb,1987,54.22
alb,1988,47.1
alb,1989,55.13
alb,1990,49.83
alb,1991,36.6
alb,1992,40.41
alb,1993,47.83
alb,1994,47.9
alb,1995,48.97
alb,1996,48.64
alb,1997,50.33
alb,1998,53.77
alb,1999,49.51
alb,2000,51.81
alb,2001,53.17
alb,2002,52.06
alb,2003,54.82
alb,2004,58.4
alb,2005,58.3
alb,2006,61.9
alb,2007,61.03
alb,2008,70.59
alb,2009,75.13
alb,2010,82.69
alb,2011,87.4
alb,2012,93.8
alb,2013,93.61
alb,2014,95.88
alb,2015,99.86
alb,2016,104.27
alb,2017,105.91
alb,2018,105.67
alb,2019,107.19
are,1961,1.6
are,1962,1.72
are,1963,1.85
are,1964,1.96
are,1965,1.97
are,1966,2.53
are,1967,2.72
are,1968,2.96
are,1969,3.41
are,1970,3.94
are,1971,4.4
are,1972,3.91
are,1973,4.62
are,1974,7.45
are,1975,8.1
are,1976,9.42
are,1977,11.16
are,1978,15.57
are,1979,18.56
are,1980,21.91
are,1981,24.52
are,1982,32.2
are,1983,36.57
are,1984,32.03
are,1985,32.55
are,1986,33.1
are,1987,31.68
are,1988,43.68
are,1989,50.97
are,1990,52.33
are,1991,66.93
are,1992,88.59
are,1993,93.98
are,1994,98.47
are,1995,115.82
are,1996,124.08
are,1997,157.02
are,1998,159.94
are,1999,269.41
are,2000,348.17999
are,2001,209.77
are,2002,198.36
are,2003,182.57001
are,2004,199.14999
are,2005,196.14
are,2006,176.55
are,2007,174.06
are,2008,183.99001
are,2009,176.21001
are,2010,187.87
are,2011,68.48
are,2012,64.55
are,2013,66.34
are,2014,88.33
are,2015,105.42
are,2016,106.25
are,2017,98.33
are,2018,99.6
are,2019,95.85
arg,1961,19.5
arg,1962,20.01
arg,1963,22.11
arg,1964,23.77
arg,1965,21.03
arg,1966,22.59
arg,1967,25.78
arg,1968,22.25
arg,1969,23.34
arg,1970,25.1
arg,1971,26.61
arg,1972,24.13
arg,1973,27.06
arg,1974,30.32
arg,1975,28.76
arg,1976,31.33
arg,1977,30.72
arg,1978,32.83
arg,1979,34.53
arg,1980,30.69
arg,1981,34.85
arg,1982,39.92
arg,1983,38.99
arg,1984,39.93
arg,1985,38.34
arg,1986,38.84
arg,1987,38
arg,1988,40.61
arg,1989,34.47
arg,1990,38.55
arg,1991,41.42
arg,1992,42.42
arg,1993,40.44
arg,1994,43.13
arg,1995,48.1
arg,1996,45.49
arg,1997,52.38
arg,1998,60.94
arg,1999,59.63
arg,2000,60.96
arg,2001,63.95
arg,2002,65.77
arg,2003,68.39
arg,2004,66.9
arg,2005,78.11
arg,2006,75.98
arg,2007,86.16
arg,2008,87.78
arg,2009,62.31
arg,2010,86.06
arg,2011,92.65
arg,2012,81.36
arg,2013,90.94
arg,2014,93.74
arg,2015,104.47
arg,2016,101.79
arg,2017,107.31
arg,2018,91.52
arg,2019,113.74
arm,1992,47.05
arm,1993,42.71
arm,1994,50.59
arm,1995,48.79
arm,1996,51.23
arm,1997,39.83
arm,1998,44.76
arm,1999,44.25
arm,2000,40.8
arm,2001,44.41
arm,2002,45.29
arm,2003,49.37
arm,2004,61.1
arm,2005,75.32
arm,2006,76.43
arm,2007,85.01
arm,2008,86.56
arm,2009,87.22
arm,2010,69.14
arm,2011,82.77
arm,2012,93.45
arm,2013,96.9
arm,2014,100.35
arm,2015,110.07
arm,2016,89.58
arm,2017,86.91
arm,2018,71.42
arm,2019,68.51
asm,1961,50.5
asm,1962,53.14
asm,1963,56.77
asm,1964,54.1
asm,1965,51.73
asm,1966,53.26
asm,1967,57.35
asm,1968,58.6
asm,1969,63.6
asm,1970,59.53
asm,1971,55.88
asm,1972,55.38
asm,1973,54.97
asm,1974,51.59
asm,1975,50.67
asm,1976,47.96
asm,1977,46.71
asm,1978,43.74
asm,1979,36.01
asm,1980,40.68
