global,time,sh_sta_suic_ma_p5
world,2000,16.72241
world,2001,16.26108
world,2002,16.14868
world,2003,16.1644
world,2004,16.04621
world,2005,15.94774
world,2006,15.45141
world,2007,15.14818
world,2008,15.10329
world,2009,14.85931
world,2010,14.60026
world,2011,14.30222
world,2012,14.00677
world,2013,13.67847
world,2014,13.3712
world,2015,13.02768
world,2016,12.86008
world,2017,12.77503
world,2018,12.75636
world,2019,12.57708
