geo,time,ny_adj_nnty_kd
abw,2015,2491159871.49395
afg,2015,17618152716.4813
ago,2000,20128023697.8877
ago,2001,24754030425.8048
ago,2002,35547025215.3978
ago,2003,39082975566.3653
ago,2004,37405145660.0642
ago,2005,42048507649.728
ago,2006,49521435057.492
ago,2007,46612284843.5778
ago,2008,37045562304.1309
ago,2009,49233563109.0718
ago,2010,53746546875.5212
ago,2011,64198083165.2036
ago,2012,72308384474.71931
ago,2013,79677700029.2041
ago,2014,86874370678.99561
ago,2015,87406490351.4209
ago,2016,87285119467.0397
ago,2017,85834270355.7496
ago,2018,77101465223.5475
ago,2019,77308177823.32249
alb,1997,4125879435.75751
alb,1998,4358854755.70166
alb,1999,5011824227.74508
alb,2000,5576033866.39324
alb,2001,6130381079.47495
alb,2002,6332450891.23639
alb,2003,6660442730.71195
alb,2004,7060776064.80057
alb,2005,7327892952.69375
alb,2006,7847839149.44416
alb,2007,8135621970.36327
alb,2008,8665942562.18979
alb,2009,8712005429.17369
alb,2010,9159621673.2875
alb,2011,9180753028.21429
alb,2012,9101090343.79827
alb,2013,9344283361.70061
alb,2014,9404812471.59321
alb,2015,9411883297.73799
alb,2016,9707100980.79567
alb,2017,9916264099.79635
alb,2018,10283960047.0798
alb,2019,10358855323.678
are,2001,189378709061.64301
are,2002,187818573140.759
are,2003,199365355392.46896
are,2004,218532103408.59
are,2005,231673905367.48599
are,2006,272736770112.68497
are,2007,292312893026.63501
are,2008,308774443689.94501
are,2009,259074063488.03601
are,2010,261827329203.47
are,2011,304132618580.21002
are,2012,318106701313.14398
are,2013,342174165830.04303
are,2014,361551869873.14697
are,2015,330217029728.35199
are,2016,334404379354.289
are,2017,361691183693.04895
are,2018,355917119930.44202
are,2019,356499995966.25598
arg,1970,185551047148.43301
arg,1971,204514416134.48001
arg,1972,202880674570.26001
arg,1973,214829419252.315
arg,1974,221952344228.48801
arg,1975,221966684728.79297
arg,1976,217149599747.146
arg,1977,229261692330.285
arg,1978,217030821316.94696
arg,1979,231813027613.73999
arg,1980,240789085775.79901
arg,1981,225130703541.32199
arg,1982,208956640274.345
arg,1983,219385640751.66501
arg,1984,224030993252.87201
arg,1985,208797160081.99097
arg,1986,227525228579.59799
arg,1987,230389969862.85999
arg,1988,228899798960.952
arg,1989,198889093164.29401
arg,1990,199931275844.91296
arg,1991,230544846558.41901
arg,1992,263022174748.07001
arg,1993,276842002816.24902
arg,1994,290368632103.47699
arg,1995,276789277712.81403
arg,1996,295444047307.98694
arg,1997,317376086935.146
arg,1998,327213553204.23798
arg,1999,308562077240.039
arg,2000,305523047489.98297
arg,2001,290654998195.13202
arg,2002,257633298817.091
arg,2003,286784317201.95502
arg,2004,284015879704.93494
arg,2005,305618764527.27197
arg,2006,369359153637.42096
arg,2007,415315303846.39801
arg,2008,439501721940.17902
arg,2009,406854169178.33899
arg,2010,453355808725.40802
arg,2011,494773637059.25696
arg,2012,487244418212.474
arg,2013,497081913443.27802
arg,2014,479961989711.76202
arg,2015,504519793139.99402
arg,2016,494814801649.11603
arg,2017,522858968418.58801
arg,2018,493490350908.11102
arg,2019,469970346867.48401
arm,1995,2988647991.31587
arm,1996,3181070249.53523
arm,1997,3400526679.6516
arm,1998,3521771772.15178
arm,1999,3632325548.36495
arm,2000,3600810316.62451
arm,2001,3900781474.81654
arm,2002,4477456514.43702
arm,2003,5365758830.61183
arm,2004,5920487551.70411
arm,2005,6801052732.36031
arm,2006,7795848036.74942
arm,2007,9112355652.44005
arm,2008,9957824190.95177
arm,2009,7771770291.95701
arm,2010,7895355503.08144
arm,2011,8107507175.33386
arm,2012,9167919374.16997
arm,2013,9485059823.34081
arm,2014,9601953599.26898
arm,2015,9466501412.73924
arm,2016,9327923043.09083
arm,2017,10293672825.4628
arm,2018,10720164677.3697
arm,2019,11334730534.196
aus,2015,1057734837594.48999
aut,1970,119237794055.66299
aut,1971,124754180710.923
aut,1972,132724270707.39999
aut,1973,140607120911.57401
aut,1974,143585827789.91199
aut,1975,143605349236.711
aut,1976,149924922356.09201
aut,1977,156894740903.80099
aut,1978,157545924938.811
aut,1979,165470038801.56
aut,1980,166755659400.315
aut,1981,165442640650.62201
aut,1982,168691706180.04001
aut,1983,174805700296.48199
aut,1984,175060211984.405
aut,1985,178864467225.91599
aut,1986,183648608299.888
aut,1987,187137809333.66199
aut,1988,194561268640.92599
aut,1989,202053285527.505
aut,1990,211124180232.62201
aut,1991,217124795821.67896
aut,1992,221659362756.358
aut,1993,221589545000.798
aut,1994,226880834792.944
aut,1995,231944441856.556
aut,1996,237029837495.05301
aut,1997,240410758755.095
aut,1998,248465445093.68399
aut,1999,253155343145.953
aut,2000,261927035208.07101
aut,2001,262962548256.05801
aut,2002,268816338742.858
aut,2003,271967219293.79401
aut,2004,280250933647.20599
aut,2005,285802557451.93298
aut,2006,297454330169.72699
aut,2007,307418980627.70801
aut,2008,311397967242.59698
aut,2009,295658096870.63
aut,2010,302184665432.29797
aut,2011,306655229470.09497
aut,2012,305884597862.17603
aut,2013,305082142152.453
aut,2014,307466913077.22803
aut,2015,309385368383.54999
aut,2016,320932395657.08093
aut,2017,321471134264.52197
aut,2018,328978992757.43597
aut,2019,334324058343.62
aze,2015,43042461045.0466
bdi,1997,917192380.91292
bdi,1998,894611919.82988
bdi,1999,1081539435.13309
