geo,time,sh_sta_smss_zs
alb,2000,40.23742
alb,2001,40.5209
alb,2002,40.8082
alb,2003,41.0865
alb,2004,41.35572
alb,2005,41.87566
alb,2006,42.39121
alb,2007,42.89114
alb,2008,43.37535
alb,2009,43.84386
alb,2010,44.29658
alb,2011,44.73359
alb,2012,45.15484
alb,2013,45.56157
alb,2014,45.95406
alb,2015,46.33301
alb,2016,46.69889
alb,2017,47.05229
alb,2018,47.39385
alb,2019,47.57714
alb,2020,47.69108
and,2000,14.60404
and,2001,21.78866
and,2002,28.97329
and,2003,36.15791
and,2004,43.34254
and,2005,50.52716
and,2006,57.71178
and,2007,64.89641
and,2008,72.08104
and,2009,79.26566
and,2010,86.45028
and,2011,93.63491
and,2012,100
and,2013,100
and,2014,100
and,2015,100
and,2016,100
and,2017,100
and,2018,100
and,2019,100
and,2020,100
are,2002,74.56569
are,2003,74.56569
are,2004,74.56569
are,2005,74.56569
are,2006,74.56569
are,2007,76.11856
are,2008,77.67144
are,2009,79.69171
are,2010,81.71198
are,2011,83.73528
are,2012,85.75871
are,2013,87.78226
are,2014,89.80595
are,2015,91.82977
are,2016,93.85372
are,2017,95.8778
are,2018,97.90201
are,2019,99.1477
are,2020,99.22957
arg,2000,47.84462
arg,2001,48.054
arg,2002,48.26405
arg,2003,48.47481
arg,2004,48.68642
arg,2005,48.8988
arg,2006,49.11201
arg,2007,49.32598
arg,2008,49.54077
arg,2009,49.7563
arg,2010,49.97256
arg,2011,50.18866
arg,2012,50.40497
arg,2013,50.61825
arg,2014,50.83252
arg,2015,51.04762
arg,2016,51.26354
arm,2000,46.26396
arm,2001,46.3519
arm,2002,46.43121
arm,2003,46.50705
arm,2004,46.58209
arm,2005,46.65712
arm,2006,48.09726
arm,2007,49.52208
arm,2008,50.96552
arm,2009,52.42774
arm,2010,53.90871
arm,2011,55.40848
arm,2012,56.92706
arm,2013,58.46433
arm,2014,60.021
arm,2015,61.59785
arm,2016,63.13673
arm,2017,64.61479
arm,2018,66.10913
arm,2019,67.7628
arm,2020,69.32908
aus,2000,58.78889
aus,2001,58.78889
aus,2002,58.78889
aus,2003,58.78889
aus,2004,58.78889
aus,2005,59.75581
aus,2006,60.72272
aus,2007,61.68963
aus,2008,62.65654
aus,2009,63.62346
aus,2010,64.59037
aus,2011,65.55728
aus,2012,66.52419
aus,2013,67.49111
aus,2014,68.45802
aus,2015,69.42493
aus,2016,70.39184
aus,2017,71.35876
aus,2018,72.32567
aus,2019,73.29258
aus,2020,74.25949
aut,2000,99.68162
aut,2001,99.6794
aut,2002,99.67718
aut,2003,99.67332
aut,2004,99.66922
aut,2005,99.66514
aut,2006,99.66109
aut,2007,99.65703
aut,2008,99.65299
aut,2009,99.64897
aut,2010,99.64496
aut,2011,99.64097
aut,2012,99.63942
aut,2013,99.63908
aut,2014,99.63873
aut,2015,99.63836
aut,2016,99.63799
aut,2017,99.63759
aut,2018,99.63913
aut,2019,99.64077
aut,2020,99.64252
aze,2000,18.66677
aze,2001,19.5967
aze,2002,20.52351
aze,2003,21.44683
aze,2004,22.36676
aze,2005,23.12101
aze,2006,23.68295
aze,2007,24.18673
aze,2008,24.39743
aze,2009,24.50816
aze,2010,24.60806
aze,2011,24.69717
aze,2012,24.77529
aze,2013,24.84187
aze,2014,24.71673
aze,2015,24.52326
aze,2016,23.65737
aze,2017,22.78796
aze,2018,21.91512
aze,2019,21.03919
bel,2000,73.84432
bel,2001,73.84455
bel,2002,73.84479
bel,2003,73.84502
bel,2004,74.72611
bel,2005,75.60719
bel,2006,76.48827
bel,2007,77.36934
bel,2008,78.25043
bel,2009,79.13137
bel,2010,80.01222
bel,2011,80.89307
bel,2012,81.77392
bel,2013,82.65477
bel,2014,83.53562
bel,2015,84.41647
bel,2016,85.29732
bel,2017,86.17817
bel,2018,87.05901
bel,2019,87.93987
bel,2020,88.82071
bgd,2000,17.66102
bgd,2001,18.73701
bgd,2002,19.82436
bgd,2003,20.90848
bgd,2004,21.98916
bgd,2005,23.07214
bgd,2006,24.14788
bgd,2007,25.22125
bgd,2008,26.29209
bgd,2009,27.35956
bgd,2010,28.42292
bgd,2011,29.48124
bgd,2012,30.53366
bgd,2013,31.5795
bgd,2014,32.61817
bgd,2015,33.64912
bgd,2016,34.67175
bgd,2017,35.68557
bgd,2018,36.69011
bgd,2019,37.68488
bgd,2020,38.66942
bgr,2000,50.98889
bgr,2001,50.83996
bgr,2002,50.70176
bgr,2003,50.56549
bgr,2004,50.43131
bgr,2005,50.29902
bgr,2006,50.16857
bgr,2007,50.04006
bgr,2008,49.91346
bgr,2009,51.41793
bgr,2010,53.13918
bgr,2011,54.93686
bgr,2012,56.76194
bgr,2013,58.61382
bgr,2014,60.58087
bgr,2015,62.62218
bgr,2016,64.69306
bgr,2017,66.79305
bgr,2018,68.60084
bgr,2019,70.41275
bgr,2020,72.22877
bhr,2000,68.17329
bhr,2001,69.38426
bhr,2002,70.59948
bhr,2003,71.81379
bhr,2004,73.02783
bhr,2005,74.24183
bhr,2006,75.4558
bhr,2007,76.66972
bhr,2008,77.88361
bhr,2009,79.09746
bhr,2010,80.31127
bhr,2011,81.52504
bhr,2012,82.73877
bhr,2013,83.95247
bhr,2014,85.16612
bhr,2015,86.37974
bhr,2016,87.59332
bhr,2017,88.80686
bhr,2018,90.02036
bhr,2019,91.23382
bhr,2020,91.23382
bih,2000,16.94551
bih,2001,17.6029
bih,2002,18.25262
bih,2003,18.89493
bih,2004,19.52949
bih,2005,20.15755
bih,2006,20.77816
bih,2007,21.39091
bih,2008,21.99617
bih,2009,22.59391
bih,2010,24.79574
bih,2011,27.07621
bih,2012,29.36756
bih,2013,31.59673
bih,2014,33.67337
bih,2015,35.32234
bih,2016,36.97916
bih,2017,38.64422
bih,2018,40.3184
blr,2000,84.14757
blr,2001,84.2206
blr,2002,84.29303
blr,2003,84.3647
blr,2004,83.73663
blr,2005,83.06431
blr,2006,82.39375
blr,2007,81.72437
blr,2008,81.05577
