global,time,eg_use_crnw_zs
world,1960,3.07773
world,1961,2.96897
world,1962,2.81511
world,1963,2.67433
world,1964,2.5605
world,1965,2.45402
world,1966,2.37216
world,1967,2.25161
world,1968,2.20943
world,1969,2.12499
world,1970,2.38103
world,1971,12.64148
world,1972,12.33359
world,1973,11.9234
world,1974,12.17985
world,1975,12.36742
world,1976,11.95257
world,1977,11.80171
world,1978,11.64143
world,1979,11.58351
world,1980,11.90207
world,1981,12.21871
world,1982,12.54101
world,1983,12.68936
world,1984,12.59015
world,1985,12.48166
world,1986,12.43229
world,1987,12.29275
world,1988,12.0258
world,1989,11.97412
world,1990,8.99245
world,1991,9.05904
world,1992,9.2246
world,1993,9.13966
world,1994,9.12898
world,1995,9.05656
world,1996,8.94162
world,1997,8.93786
world,1998,9.00532
world,1999,9.09024
world,2000,8.93304
world,2001,8.72507
world,2002,8.63159
world,2003,8.47613
world,2004,8.19938
world,2005,8.10015
world,2006,8.04069
world,2007,7.89181
world,2008,7.85651
world,2009,7.95505
world,2010,7.73067
world,2011,7.60019
world,2012,7.5726
world,2013,7.57846
world,2014,7.46367
world,2015,3.93521
