geo,time,sl_tlf_0714_sw_fe_zs
afg,2011,39.31083
ago,2001,71.6
alb,2000,55.40751
alb,2010,93.7577
arg,2012,95.20606
arm,2010,100
aze,2000,94.31818
aze,2005,93.7
bdi,2000,48.07492
bdi,2010,81.54492
ben,2012,63.7
bfa,2010,41.6099
bgd,2003,36.02422
bgd,2006,68.9
bgd,2013,51.58558
bih,2000,94.88636
bih,2006,100
blr,2012,100
blz,2001,81.0033
bol,2009,90.45122
bol,2013,92.81448
bol,2015,94.32
bra,2011,96.84028
bra,2013,95.3277
bra,2014,97.04624
bra,2015,96.36
caf,2000,38.7574
caf,2010,67.5823
chl,2003,94.57415
chl,2012,99.8
civ,2000,45.92593
civ,2012,52.77841
cmr,2001,41.29682
cmr,2011,82.1
cod,2000,58.5
cod,2010,75.82755
cod,2014,86.69036
cog,2012,94.9
col,2012,89.9
col,2014,92.6925
col,2015,94.21
cri,2011,90.21647
cri,2016,86.79
dom,2009,97.2
dom,2012,98.29176
dom,2014,98.90826
dza,2013,94.86931
ecu,2011,79.11371
ecu,2015,94.62219
egy,2009,28.8
eth,2011,65.44935
gab,2012,98.47362
geo,2006,98.9
gha,2006,80.4
gha,2012,88.75694
gin,1994,1
gin,2012,45.6
gmb,2000,50.53695
gmb,2008,75.1
gmb,2015,44.04706
gnb,2000,32.3
gnb,2006,63.5
gnb,2014,74.14293
gtm,2012,72.91198
gtm,2014,76.38998
gtm,2015,58.17102
hnd,2013,65
hnd,2014,68.75794
hti,2012,92.46329
idn,2010,58.6
ind,2000,10.4
ind,2012,17.7
irq,2000,33.6866
irq,2011,52.6
jam,2011,100
jor,2007,95.5
jor,2016,97.97
kaz,1996,97.9
kaz,2006,97.7
ken,1999,53.1
ken,2000,85.1
ken,2009,68.22243
kgz,1998,94.7
kgz,2007,99.5
kgz,2014,99.66239
khm,2001,82.55772
khm,2012,81.4
lao,2010,9.48806
lbr,2010,73.65747
lka,1999,95.3
lka,2009,98.70501
lso,2000,89.86126
mar,1999,3.8
mda,2000,96.90058
mda,2009,100
mdg,2001,16.50624
mdg,2007,61.7
mex,2011,89.5135
mex,2013,87.614
mkd,2011,97.76328
mli,2013,44.1
mng,2000,74.68124
mng,2012,97.46875
mng,2013,99.13078
moz,2008,80.8491
mrt,2007,53.3
mrt,2011,58.09768
mwi,2011,88.90082
mwi,2014,96.02836
mwi,2015,92.9
nam,1999,93.63719
ner,2012,40.9
nga,2010,63.4
nga,2011,73.74391
nic,2001,81.99333
nic,2010,87.16442
nic,2012,86.24588
npl,1999,53.8
npl,2008,83.75919
npl,2014,89.79323
pak,2011,4.8364
pan,2012,89.7
pan,2014,91.06548
per,2011,71.43003
per,2014,74.13695
per,2015,74.33888
phl,2001,91.21371
phl,2011,91.7
prt,2001,96.34271
pry,2005,75.4
pry,2014,94.00127
rou,2000,86
rwa,2000,70.29703
rwa,2010,91.79093
rwa,2011,82.21651
rwa,2014,83.3
sdn,2000,39.04676
sdn,2008,28.00307
sdn,2014,70.58881
sen,2011,39.8
sen,2015,63.704
sle,2000,43.5
sle,2013,74.7
slv,2003,91.38297
slv,2012,90.1
slv,2013,89.11151
som,2006,38
srb,2005,98.4
srb,2014,100
ssd,2008,21.73724
swz,2000,85.95831
swz,2010,98.3201
syr,2006,67.9
tcd,2010,50.3
tcd,2015,45.26325
tgo,2010,86.20982
tgo,2014,80.6755
tha,2005,96.5
tjk,2005,87.9
tls,2007,61
tto,2000,100
tto,2006,100
tun,2012,77.8
tur,1999,30.47628
tur,2006,51.5
tza,2001,62.93299
tza,2011,76.41268
tza,2014,72.36736
uga,2012,93.92823
ukr,2012,99.7
ury,2009,92.35971
uzb,2000,96.4455
uzb,2005,97.9
ven,2003,90.90909
ven,2006,89.80596
ven,2013,82.9524
vnm,2012,83.4
yem,1999,15.65505
yem,2010,51.59588
zaf,1999,94.5
zmb,2008,81.65272
zwe,1999,88.6
