global,time,fp_wpi_totl
world,1968,2.4214
world,1969,2.51882
world,1970,2.64502
world,1971,2.76036
world,1972,2.9189
world,1973,3.36372
world,1974,4.08251
world,1975,4.54555
world,1976,4.98136
world,1977,5.55758
world,1978,6.03407
world,1979,6.89025
world,1980,8.2549
world,1981,9.08244
world,1982,10.1604
world,1983,11.47336
world,1984,13.07796
world,1985,14.57391
world,1986,15.52809
world,1987,17.40167
world,1988,19.84505
world,1989,22.13632
world,1990,27.92964
world,1991,31.85445
world,1992,36.44784
world,1993,42.73101
world,1994,54.00429
world,1995,62.31645
world,1996,66.29703
world,1997,69.4036
world,1998,71.59384
world,1999,74.6728
world,2000,80.3558
world,2001,83.10163
world,2002,84.84018
world,2003,89.10684
world,2004,94.46101
world,2005,100
world,2006,105.08753
world,2007,110.03524
world,2008,120.31089
world,2009,115.49087
