geo,time,ic_frm_bkwc_zs
afg,2008,2.5
afg,2014,3.9
ago,2006,2.3
ago,2010,13.4
alb,2005,28.4
alb,2007,33.3
alb,2013,23
alb,2019,30.4
arg,2006,28.7
arg,2010,33.3
arg,2017,29.6
arm,2002,10.9
arm,2005,46.3
arm,2013,43
arm,2020,35.7
atg,2010,46.3
aze,2002,4.1
aze,2005,0.4
aze,2013,16.9
aze,2019,19.4
bdi,2006,25.5
bdi,2014,57.9
bel,2020,54.1
ben,2009,39.4
ben,2016,26
bfa,2006,19.4
bfa,2009,33.1
bgd,2007,43.1
bgd,2013,29.9
bgr,2002,22.8
bgr,2004,25.5
bgr,2005,37.2
bgr,2007,46.7
bgr,2013,40.6
bgr,2019,43.8
bhs,2010,28.5
bih,2002,20.7
bih,2005,45.4
bih,2013,45.3
bih,2019,40.4
blr,2002,10.3
blr,2005,21.5
blr,2013,33.3
blr,2018,31.1
blz,2010,57
bol,2006,39.4
bol,2010,40.5
bol,2017,38
bra,2009,52.3
brb,2010,38.7
btn,2009,59.4
btn,2015,42
bwa,2006,15.9
bwa,2010,32.1
caf,2011,25.3
chl,2006,48.9
chl,2010,55.1
chn,2012,22.1
civ,2009,8.3
civ,2016,15.3
cmr,2006,41.9
cmr,2009,41.6
cmr,2016,20.2
cod,2006,5.8
cod,2010,8.8
cod,2013,8.7
cog,2009,9.7
col,2006,55.7
col,2010,49.2
col,2017,52.7
cpv,2006,19.4
cpv,2009,49.8
cri,2005,15.8
cri,2010,30.1
cyp,2019,42.2
cze,2002,21.4
cze,2005,28.2
cze,2013,46.6
cze,2019,29.4
deu,2005,42.2
dji,2013,25.2
dma,2010,37.9
dnk,2020,42.7
dom,2010,72.4
dom,2016,45.8
dza,2007,28.6
ecu,2006,41.9
ecu,2010,42.3
ecu,2017,40.2
egy,2007,9.8
egy,2008,7.5
egy,2013,6.3
egy,2016,2.4
egy,2020,4.8
eri,2009,5.7
esp,2005,35.8
est,2002,24.3
est,2005,21.6
est,2013,25.1
est,2019,26.2
eth,2006,40.7
eth,2011,13.6
eth,2015,16.4
fin,2020,42
fji,2009,50.7
fsm,2009,19.4
gab,2009,8.5
geo,2002,29
geo,2005,27.8
geo,2013,28
geo,2019,31.5
gha,2007,21.4
gha,2013,25.3
gin,2006,2.6
gin,2016,11.4
gmb,2006,14.3
gmb,2018,13.7
gnb,2006,1.1
grc,2005,26.2
grc,2018,16.8
grd,2010,50.3
gtm,2006,22.8
gtm,2010,26.2
gtm,2017,30
guy,2010,59.3
hnd,2006,36
hnd,2010,25.6
hnd,2016,38.1
hrv,2002,32.6
hrv,2005,45.9
hrv,2007,63.2
hrv,2013,37.8
hrv,2019,31.2
hun,2002,27.6
