global,time,se_prm_rept_zs
world,1970,9.91158
world,1971,9.80035
world,1972,9.74748
world,1973,9.54459
world,1974,9.2908
world,1975,9.06944
world,1976,8.92625
world,1977,8.86085
world,1978,8.81522
world,1979,8.5751
world,1980,8.56968
world,1981,8.3558
world,1982,8.2372
world,1983,8.08449
world,1984,7.86798
world,1985,7.58991
world,1986,7.55034
world,1987,7.25392
world,1988,7.18707
world,1989,7.08618
world,1990,6.85057
world,1991,6.70482
world,1992,6.3575
world,1993,6.09667
world,1994,5.94872
world,1995,5.80868
world,1996,5.56648
world,1997,5.32705
world,1998,5.33706
world,1999,5.24998
world,2000,5.25244
world,2001,5.04686
world,2002,5.05319
world,2003,4.9386
world,2004,4.85766
world,2005,4.81128
world,2006,4.71688
world,2007,4.73433
world,2008,4.60044
world,2009,4.72232
world,2010,4.68659
world,2011,4.61744
world,2012,4.09206
world,2013,3.84917
world,2014,3.545
world,2015,3.26072
world,2016,3.17765
world,2017,3.18294
world,2018,3.13966
