geo,time,se_adt_1524_lt_ma_zs
gnb,1979,59.69437
gnb,2000,74.80124
gnb,2014,71.25033
gnq,2000,97.6079
gnq,2010,97.69076
grc,1981,99.04806
grc,1991,98.98843
grc,2001,98.89446
grc,2005,99.53356
grc,2007,99.44521
grc,2009,99.51223
grc,2011,98.72913
grc,2018,99.26
grd,1970,98.84536
grd,1984,98.95
grd,1994,98.95
grd,2004,98.95
grd,2014,98.95
gtm,1994,81.72106
gtm,2002,86.37878
gtm,2012,95.46641
gtm,2013,94.18228
gtm,2014,95.48186
gtm,2018,95.37834
gum,1980,95.35726
gum,1990,99.9
guy,2009,92.42121
guy,2014,96.33186
hnd,2001,86.89099
hnd,2007,92.69526
hnd,2010,94.44801
hnd,2011,94.93154
hnd,2012,94.00283
hnd,2013,93.85074
hnd,2014,95.04737
hnd,2015,94.99325
hnd,2016,94.94519
hnd,2018,94.89199
hnd,2019,94.84312
hrv,1991,99.66618
hrv,2001,99.64426
hrv,2011,99.71204
hti,1982,51.26135
hti,2003,82.65737
hti,2006,74.36741
hti,2016,83.3535
hun,1980,99.42166
hun,2014,98.69
idn,1980,89.59121
idn,1990,97.40227
idn,2004,98.86708
idn,2006,97.02747
idn,2008,99.53748
idn,2009,99.55003
idn,2011,98.80384
idn,2014,99.68156
idn,2015,99.70176
idn,2016,99.68345
idn,2018,99.71748
idn,2020,99.77767
ind,1981,66.31487
ind,1991,73.50972
ind,2001,84.19224
ind,2006,88.41184
ind,2011,90.04483
ind,2018,92.99297
irn,1976,70.90017
irn,1986,84.52608
irn,1991,92.4355
irn,1996,95.51682
irn,2005,98.10998
irn,2006,97.14548
irn,2008,98.25652
irn,2012,98.33392
irn,2013,98.10902
irn,2014,98.19154
irn,2016,98.26797
irq,2000,88.91217
irq,2012,87.3
irq,2013,82.4
irq,2014,91.9
irq,2016,93.4
irq,2017,94.9
isr,1983,99.05457
ita,1981,99.69759
ita,2001,99.80447
ita,2011,99.85103
ita,2018,99.92
jam,1999,87.31139
jam,2014,93.86
jor,1979,95.79214
jor,2003,99.32879
jor,2005,98.931
jor,2007,98.95204
jor,2010,98.75873
jor,2011,99.05083
jor,2012,99.00204
jor,2018,99.19612
kaz,1989,99.69771
kaz,1999,99.81603
kaz,2009,99.80391
kaz,2010,99.94014
kaz,2018,99.94014
ken,2000,93.30952
ken,2007,83.20542
ken,2014,86.93869
ken,2018,87.59
kgz,1999,99.65078
kgz,2009,99.70463
kgz,2018,99.69
khm,1998,81.84629
khm,2004,87.92011
khm,2008,89.38368
khm,2009,88.35612
khm,2014,89.92461
khm,2015,91.86412
kor,2008,99.90809
kwt,1975,77.69223
kwt,1980,81.28816
kwt,1985,90.69233
kwt,1995,93.79989
kwt,2005,99.69097
kwt,2006,98.52218
kwt,2007,98.39884
kwt,2008,98.56516
kwt,2010,99.06282
kwt,2012,98.73638
kwt,2013,99.25229
kwt,2015,99.15068
kwt,2017,99.05684
kwt,2018,98.77679
kwt,2020,99.1044
lao,1995,78.81579
lao,2000,88.06197
lao,2001,82.59933
lao,2005,89.18749
lao,2011,77.27267
lao,2015,94.40438
lbn,2007,98.39606
lbn,2009,99.16173
lbn,2018,99.66274
lbr,1984,62.82729
lbr,2007,63.45102
lbr,2017,64.95713
lby,1984,97.85204
lby,1994,99.42
lby,2004,99.85
lka,1981,91.87977
lka,2001,95.06529
lka,2006,97.02708
lka,2008,97.33251
lka,2010,97.68654
lka,2016,98.41123
lka,2017,98.54505
lka,2018,98.50948
lka,2019,98.71962
lso,2000,84.82558
lso,2009,74.18503
lso,2014,79.60804
ltu,1989,99.64118
ltu,2001,99.66222
ltu,2011,99.84547
lva,1989,99.75005
lva,2000,99.71818
lva,2011,99.80219
lva,2018,99.78
mac,1981,95.14239
mac,2001,99.43009
mac,2006,99.58699
mac,2011,99.65497
mac,2016,99.72689
mar,1982,58.11692
mar,1994,71.38491
mar,2004,80.80267
mar,2008,85.80525
mar,2009,86.72862
mar,2011,88.82942
mar,2012,94.62719
mar,2018,98.04
mda,1989,99.72015
mda,2000,99.40321
mda,2014,99.8067
mdg,2000,72.65446
mdg,2005,58.86296
mdg,2009,65.91478
mdg,2012,78.41248
mdg,2018,80.57806
mdv,1977,84.13037
mdv,1985,94.88721
mdv,1990,98.07731
mdv,1995,98.03439
mdv,2000,98.03439
mdv,2006,99.24022
mdv,2014,99.08133
mdv,2016,98.39115
mex,1980,93.08719
mex,1990,95.96346
mex,2000,96.7512
mex,2002,97.9407
mex,2004,97.5173
mex,2005,97.64425
mex,2006,98.10612
mex,2007,98.19888
mex,2008,98.40971
mex,2009,98.67003
mex,2010,98.37557
mex,2011,98.41656
