geo,time,cm_mkt_trad_cd
are,2006,20187670000
are,2007,47604080000
are,2008,71135377000
are,2009,65802580000
are,2010,27717670000
are,2011,15004370000
are,2012,17951830000
are,2014,144064467737.54401
are,2015,57598340000
are,2016,49467630000
are,2017,44169460000
are,2018,25429860000
are,2019,29251300000
are,2020,37509250000
arg,1975,450000000
arg,1976,806000000
arg,1977,239000000
arg,1978,352000000
arg,1979,1471500000
arg,1980,1115000000
arg,1981,184050000
arg,1982,242900000
arg,1983,175700000
arg,1984,253300000
arg,1985,474410000
arg,1986,239220000
arg,1987,143980000
arg,1988,4272730000
arg,1989,396070000
arg,1990,800770000
arg,1991,4548690000
arg,1992,15738610000
arg,1993,49764530000
arg,1994,112828000000
arg,1995,31903600000
arg,1996,31303500000
arg,1997,38206640000
arg,1998,26064460000
arg,1999,11862190000
arg,2000,9145630000
arg,2001,6662000000
arg,2002,1168610000
arg,2003,2929510000
arg,2004,4551450000
arg,2005,5257770000
arg,2006,3387990000
arg,2007,4845000000
arg,2008,3337600000
arg,2009,1510580000
arg,2010,2544790000
arg,2011,2454310000
arg,2012,1462140000
arg,2013,2237310000
arg,2014,3522520000
arg,2015,2699820000
arg,2016,4360745593.33447
arg,2017,6592777693.4465
arg,2018,4571173455.16617
arg,2019,2983330000
arg,2020,2183040000
aus,1975,1171000000
aus,1976,1340000000
aus,1977,1483000000
aus,1978,883000000
aus,1979,2005310000
aus,1980,4948400000
aus,1981,7788180000
aus,1982,4921550000
aus,1983,9334800000
aus,1984,10108440000
aus,1985,15263050000
aus,1986,22661000000
aus,1987,57498550000
aus,1988,40964150000
aus,1989,43548950000
aus,1990,40186100000
aus,1991,45671250000
aus,1992,42055310000
aus,1993,66719950000
aus,1994,99588430000
aus,1995,98197350000
aus,1996,144964000000
aus,1997,150211750000
aus,1998,155533610000
aus,1999,198808400000
aus,2000,213223310000
aus,2001,240570260000
aus,2002,290946000000
aus,2003,421669680000
aus,2004,544922320000
aus,2005,612669600000
aus,2006,858943720000
aus,2007,1373259640000
aus,2008,839733940000
aus,2009,841481100000
aus,2010,1131337350000
aus,2011,1128482900000
aus,2012,905665740000
aus,2013,787881310000
aus,2014,703485810000
aus,2015,750636340000
aus,2016,794977154799.65405
aus,2017,842771714903.79199
aus,2018,774026908423.875
aus,2019,834226020000
aus,2020,1226164220000
aut,1975,67000000
aut,1976,96000000
aut,1977,74000000
aut,1978,85000000
aut,1979,91200000
aut,1980,105300000
aut,1981,84300000
aut,1982,73100000
aut,1983,132600000
aut,1984,113400000
aut,1985,801730000
aut,1986,1195600000
aut,1987,1383730000
aut,1988,1989650000
aut,1989,26209560000
aut,1990,57671350000
aut,1991,7685860000
aut,1992,4757560000
aut,1993,6586150000
aut,1994,8772950000
aut,1995,13000810000
aut,1996,10338400000
aut,1997,12071580000
aut,1998,18056390000
aut,1999,11813170000
aut,2000,9665760000
aut,2001,7313690000
aut,2002,6507290000
aut,2003,12035820000
aut,2004,25927690000
aut,2005,43328140000
aut,2006,82970200000
aut,2007,129135230000
aut,2008,98137240000
aut,2009,51509760000
aut,2010,48838610000
aut,2011,38787870000
aut,2012,23639550000
aut,2013,26528040000
aut,2014,28719260000
aut,2015,31732950000
aut,2016,26552486712.2248
aut,2017,39986893431.8602
aut,2018,39431841593.2242
aut,2019,33479930000
aut,2020,39779610000
bel,1975,576010000
bel,1976,661000000
bel,1977,620000000
bel,1978,723000000
bel,1979,1056010000
bel,1980,772530000
bel,1981,621220000
bel,1982,1034380000
bel,1983,1315560000
bel,1984,1442630000
bel,1985,2211400000
bel,1986,4801260000
bel,1987,8049500000
bel,1988,8238000000
bel,1989,8493120000
bel,1990,7285890000
bel,1991,6761040000
bel,1992,7770800000
bel,1993,10556370000
bel,1994,12992300000
bel,1995,15196200000
bel,1996,21877400000
bel,1997,28467060000
bel,1998,58960900000
bel,1999,50562290000
bel,2000,38584170000
bel,2001,37775700000
bel,2002,38167730000
bel,2003,41355490000
bel,2004,75105190000
bel,2005,106522720000
bel,2006,135253470000
bel,2007,231569720000
bel,2008,190715380000
bel,2009,123238720000
bel,2010,107418060000
bel,2011,103250420000
bel,2012,100925430000
bel,2013,115306850000
bel,2014,107247760000
bgd,1993,14800000
bgd,1994,107700000
bgd,1995,150060000
bgd,1996,852940000
bgd,1997,569150000
bgd,1998,1008800000
bgd,1999,968390000
bgd,2000,935530000
bgd,2001,261100000
bgd,2004,248100000
bgd,2005,205560000
bgd,2006,236490000
bgd,2007,707840000
bgd,2008,1461690000
bgd,2009,2339290000
bgd,2010,4837590000
bgd,2011,2224437040
bgd,2012,1443100000
bgd,2013,1235919200
bgd,2014,15809430000
bgd,2015,13612290000
bgd,2016,15320840000
bgd,2017,26503040000
bgd,2018,16142121137.697
bgd,2019,13126870000
bgd,2020,14920160000
bgr,1993,2200000
bgr,1994,2200000
bgr,1995,4200000
bgr,1996,9690000
bgr,1997,43330000
bgr,1998,146110000
bgr,1999,5800000
bgr,2000,4110000
bgr,2001,70300000
bgr,2002,163100000
bgr,2003,116210000
bgr,2004,458150000
bgr,2005,781480000
bgr,2006,1868260000
bgr,2007,6784270000
bgr,2008,1314850000
bgr,2009,487090000
bgr,2010,377250000
bgr,2011,321870000
bgr,2012,362000000
bgr,2013,879600000
bgr,2019,170420000
bgr,2020,212590000
bhr,1994,160200000
bhr,1995,106100000
bhr,1996,176700000
bhr,1997,479500000
bhr,1998,576390000
bhr,1999,445390000
bhr,2000,245440000
bhr,2001,191500000
bhr,2002,215000000
bhr,2003,266730000
bhr,2004,311640000
bhr,2005,702290000
bhr,2006,1381120000
bhr,2007,1044720000
bhr,2008,2083620000
bhr,2009,466280000
bhr,2010,287560000
bhr,2011,156130000
bhr,2012,278400000
bhr,2013,604600000
bhr,2014,717800000
bhr,2015,294040000
bhr,2016,332914102.22103
bhr,2017,562999038.2233
bhr,2018,969893333.33333
bhr,2019,759730000
bhr,2020,592970000
blr,2014,25060000
blr,2015,8440000
blr,2016,18380000
blr,2017,21990000
blr,2018,14200000
blr,2019,14970000
blr,2020,6050000
bmu,1995,32100000
bmu,1996,35700000
bmu,1997,96400000
bmu,1998,97600000
bmu,1999,226000000
bmu,2000,136000000
bmu,2001,213000000
bmu,2002,92000000
bmu,2003,50720000
bmu,2004,63970000
bmu,2005,68350000
bmu,2006,157000000
bmu,2007,161920000
bmu,2008,102000000
bmu,2009,30990000
bmu,2010,104510000
bmu,2011,18730000
bmu,2012,29260000
bmu,2013,44100000
bmu,2014,23670000
bmu,2015,15310000
bmu,2016,216970000
bmu,2017,39140000
bmu,2018,49150000
bmu,2019,22750000
bra,1979,3243400000
bra,1980,5375700000
bra,1981,6183900000
bra,1982,5925400000
bra,1983,3508700000
bra,1984,7413700000
bra,1985,16579730000
bra,1986,28909560000
bra,1987,9826800000
bra,1988,6100000000
bra,1989,4152600000
bra,1990,5842900000
bra,1991,11767600000
bra,1992,23062200000
bra,1993,35188000000
bra,1994,81758100000
bra,1995,78902600000
bra,1996,116128300000
bra,1997,217399100000
bra,1998,172862330000
bra,1999,158849900000
bra,2000,94051280000
bra,2001,64476950000
bra,2002,39374690000
bra,2003,70478750000
bra,2004,113682350000
bra,2005,170920010000
bra,2006,279476770000
bra,2007,645438740000
bra,2008,569862390000
bra,2009,707866810000
bra,2010,908131940000
bra,2011,824916470000
bra,2012,831638950000
bra,2013,739678310000
bra,2014,644171360000
bra,2015,419977770000
bra,2016,561080859110.75598
bra,2017,642502620122.41882
bra,2018,769196108517.93604
bra,2019,1038725260000
bra,2020,1373595920000
brb,1993,4400000
brb,1994,5700000
brb,1995,3110000
brb,1996,6160000
brb,1997,23170000
brb,1998,31830000
brb,1999,10190000
brb,2000,48100000
brb,2001,10300000
brb,2010,33600000
brb,2011,117180000
brb,2012,16000000
brb,2013,6400000
brb,2014,8700000
brb,2019,13790000
brb,2020,6260000
bwa,1994,30000000
bwa,1995,37910000
bwa,1996,28510000
bwa,1997,56400000
bwa,1998,66250000
bwa,1999,36710000
can,1975,5208850000
can,1976,6368860000
can,1977,6667000000
can,1978,10159000000
can,1979,18077390000
can,1980,27156300000
can,1981,23686730000
can,1982,16468200000
can,1983,28169400000
can,1984,25308240000
can,1985,38991270000
can,1986,57184660000
can,1987,93254500000
can,1988,68777140000
can,1989,89380290000
can,1990,68125140000
can,1991,73335290000
can,1992,75705320000
can,1993,133358660000
can,1994,156142060000
can,1995,183405600000
can,1996,264981700000
can,1997,337957940000
can,1998,356701110000
can,1999,392672780000
can,2000,628487350000
can,2001,445950640000
can,2002,448461700000
can,2003,506548290000
can,2004,706494160000
can,2005,932109740000
can,2006,1237142820000
can,2007,1744996560000
can,2008,1502829750000
can,2009,1332847390000
can,2010,1404844510000
can,2011,1473875430000
can,2012,1347972580000
can,2013,1323581430000
can,2014,1343788840000
can,2015,1096074730000
can,2016,1153366674108.80005
can,2017,1280149390000
can,2018,1373654878943.51001
can,2019,1432565050000
can,2020,1010509350000
chanisl,1999,73500000
chanisl,2000,34460000
chanisl,2001,59800000
chanisl,2002,46990000
chanisl,2003,8470000
chanisl,2004,12520000
chanisl,2005,2750000
chanisl,2006,780000
chanisl,2007,100000
che,1975,31659000000
che,1976,43140000000
che,1977,36001110000
che,1978,42907390000
che,1979,69497400000
che,1980,79167200000
che,1981,74911900000
che,1983,126768600000
che,1984,130547100000
che,1985,214595940000
che,1986,130547100000
che,1987,426770400000
che,1988,388573800000
che,1989,413779500000
che,1990,400523200000
che,1991,73511430000
che,1992,72399770000
che,1993,187135350000
che,1994,255674000000
che,1995,319117000000
che,1996,415205600000
che,1997,540289320000
che,1998,688088100000
che,1999,465251450000
che,2000,634098120000
che,2001,586594590000
che,2002,490762350000
che,2003,448671720000
che,2004,43853810000
che,2005,56648390000
che,2006,81267490000
che,2007,1259262900000
che,2008,1412767510000
che,2009,770619190000
che,2010,875368250000
che,2011,827906500000
che,2012,591987480000
che,2013,699584830000
che,2014,734057670000
che,2015,955219290000
che,2016,837238026509.57312
che,2017,948337108766.27905
che,2018,938346173391.60486
che,2019,965703570000
che,2020,1307702760000
chl,1980,753000000
chl,1981,449000000
chl,1982,221000000
chl,1983,107000000
chl,1984,100000000
chl,1985,144000000
chl,1986,755000000
chl,1987,1266000000
chl,1988,1525000000
chl,1989,1879000000
chl,1990,1577000000
chl,1991,1768840000
chl,1992,1921160000
chl,1993,2641310000
chl,1994,5298300000
chl,1995,11086000000
chl,1996,1078430000
chl,1997,7427600000
chl,1998,4299050000
chl,1999,6521940000
chl,2000,5763660000
chl,2001,4071120000
chl,2002,2661800000
chl,2003,7562670000
chl,2004,13081570000
chl,2005,20450590000
chl,2006,27812170000
chl,2007,45162640000
chl,2008,28872350000
chl,2009,37034010000
chl,2010,57925320000
chl,2011,51266630000
chl,2012,46491890000
chl,2013,41226990000
chl,2014,27130870000
chl,2015,19674570000
chl,2016,23973143323.6123
chl,2017,38092071235.14551
chl,2018,43564837993.389
chl,2019,36732170000
chl,2020,39727610000
chn,1993,39965300000
chn,1994,68172600000
chn,1995,77528800000
chn,1996,307739100000
chn,1997,371054900000
chn,1998,284389900000
chn,2000,752583100000
chn,2001,462779500000
chn,2002,338208200000
chn,2003,388001840000
chn,2004,511495930000
chn,2005,392366700000
chn,2006,1158991130000
chn,2007,6305448050000
chn,2008,3905057640000
chn,2009,7830776640000
chn,2010,8257742340000
chn,2011,6673984990000
chn,2012,5027199160000
chn,2013,7695981020000
chn,2014,11959329140000
