geo,time,en_atm_meth_eg_zs
abw,1970,4.192
abw,1971,4.06868
abw,1972,3.99438
abw,1973,3.94586
abw,1974,3.83208
abw,1975,3.75878
abw,1976,4.63814
abw,1977,4.56828
abw,1978,7.66517
abw,1979,8.27208
abw,1980,8.35802
abw,1981,8.8432
abw,1982,9.06155
abw,1983,8.78281
abw,1984,9.24059
abw,1985,9.91178
abw,1986,7.86288
abw,1987,9.62494
abw,1988,9.98187
abw,1989,10.70427
afg,1970,11.43528
afg,1971,11.55545
afg,1972,13.76352
afg,1973,12.47632
afg,1974,13.05916
afg,1975,12.39262
afg,1976,11.36981
afg,1977,11.98338
afg,1978,11.57153
afg,1979,11.17907
afg,1980,13.43022
afg,1981,13.05503
afg,1982,13.0184
afg,1983,13.946
afg,1984,15.80817
afg,1985,15.98522
afg,1986,17.78914
afg,1987,13.32271
afg,1988,14.0994
afg,1989,9.84373
afg,1990,27.98216
afg,1991,25.24807
afg,1992,22.91435
afg,1993,20.69741
afg,1994,18.08036
afg,1995,15.31729
afg,1996,13.49446
afg,1997,12.16981
afg,1998,11.08108
afg,1999,9.94103
afg,2000,10.57602
afg,2001,11.75214
afg,2002,9.56211
afg,2003,9.14634
afg,2004,8.90052
afg,2005,8.56898
afg,2006,26.86367
afg,2007,38.67403
afg,2008,45.06089
ago,1970,23.81396
ago,1971,37.95337
ago,1972,36.56904
ago,1973,35.38563
ago,1974,39.73514
ago,1975,34.38322
ago,1976,36.26689
ago,1977,34.93519
ago,1978,33.99649
ago,1979,27.35161
ago,1980,32.10696
ago,1981,35.34438
ago,1982,32.09679
ago,1983,32.97817
ago,1984,40.89712
ago,1985,40.56713
ago,1986,42.06231
ago,1987,33.71109
ago,1988,45.35508
ago,1989,41.74681
ago,1990,24.93935
ago,1991,26.15311
ago,1992,27.34048
ago,1993,28.61736
ago,1994,29.71145
ago,1995,30.9439
ago,1996,33.5206
ago,1997,34.37354
ago,1998,32.81453
ago,1999,34.97537
ago,2000,34.86957
ago,2001,36.75743
ago,2002,37.41419
ago,2003,36.54372
ago,2004,38.30139
ago,2005,40.11572
ago,2006,44.32328
ago,2007,45.07587
ago,2008,48.27283
alb,1970,37.6249
alb,1971,38.62806
alb,1972,40.20076
alb,1973,39.81382
alb,1974,38.95369
alb,1975,39.71267
alb,1976,39.12699
alb,1977,38.36399
alb,1978,38.07697
alb,1979,37.81236
alb,1980,37.06597
alb,1981,35.63293
alb,1982,35.95414
alb,1983,35.93291
alb,1984,36.85961
alb,1985,37.61881
alb,1986,36.70601
alb,1987,34.67582
alb,1988,33.77678
alb,1989,32.23991
alb,1990,16.39344
alb,1991,14.16667
alb,1992,12
alb,1993,9.26966
alb,1994,5.81114
alb,1995,3.8835
alb,1996,4.05063
alb,1997,4.26667
alb,1998,4.14365
alb,1999,4.06504
alb,2000,4
alb,2001,4.33604
alb,2002,4.67033
alb,2003,4.61957
alb,2004,5.01393
alb,2005,5.30726
alb,2006,5.09915
alb,2007,5.29412
alb,2008,5.26316
and,1990,0
and,1991,0
and,1992,0
and,1993,0
and,1994,0
and,1995,0
and,1996,0
and,1997,0
and,1998,0
and,1999,0
and,2000,0
and,2001,0
and,2002,0
and,2003,0
and,2004,0
and,2005,0
and,2006,0
and,2007,0
and,2008,0
are,1970,98.45292
are,1971,98.692
are,1972,98.76745
are,1973,98.92556
are,1974,98.95685
are,1975,99.01427
are,1976,99.31332
are,1977,99.13694
