geo,time,sh_dyn_ncom_ma_zs
afg,2000,43.9
afg,2001,44.1
afg,2002,43.6
afg,2003,42.9
afg,2004,42.5
afg,2005,41.8
afg,2006,41.3
afg,2007,40.7
afg,2008,40
afg,2009,39.1
afg,2010,38.3
afg,2011,37.5
afg,2012,36.8
afg,2013,36.2
afg,2014,35.7
afg,2015,35.4
afg,2016,35.1
afg,2017,35
afg,2018,34.7
afg,2019,34.4
ago,2000,32.8
ago,2001,32.5
ago,2002,31.4
ago,2003,31.1
ago,2004,31.1
ago,2005,29.8
ago,2006,30.5
ago,2007,28.7
ago,2008,28.8
ago,2009,26.9
ago,2010,27.6
ago,2011,26.7
ago,2012,27.5
ago,2013,27.4
ago,2014,26.1
ago,2015,26
ago,2016,25.4
ago,2017,24.8
ago,2018,24.9
ago,2019,25.2
alb,2000,23.5
alb,2001,19.6
alb,2002,20.2
alb,2003,21.2
alb,2004,20.6
alb,2005,25.2
alb,2006,25.1
alb,2007,24.9
alb,2008,24.3
alb,2009,23.2
alb,2010,21.8
alb,2011,18.8
alb,2012,18.1
alb,2013,17.5
alb,2014,17.3
alb,2015,17
alb,2016,16.9
alb,2017,16.9
alb,2018,16.8
alb,2019,16.7
are,2000,25.6
are,2001,25.5
are,2002,25.2
are,2003,24.9
are,2004,24.5
are,2005,24.5
are,2006,24
are,2007,23.8
are,2008,22.7
are,2009,22.4
are,2010,22.2
are,2011,21.9
are,2012,21.9
are,2013,21.7
are,2014,21.6
are,2015,21.3
are,2016,21
are,2017,20.7
are,2018,20.1
are,2019,19.8
arg,2000,26.6
arg,2001,26.4
arg,2002,26.7
arg,2003,26.2
arg,2004,25.1
arg,2005,24.5
arg,2006,23.8
arg,2007,24.3
arg,2008,23.1
arg,2009,22.9
arg,2010,22.8
arg,2011,22.4
arg,2012,22.1
arg,2013,21.6
arg,2014,20.7
arg,2015,20.8
arg,2016,21
arg,2017,20.4
arg,2018,20.3
arg,2019,19.7
arm,2000,34.1
arm,2001,33.6
arm,2002,33.7
arm,2003,33.5
arm,2004,33.9
arm,2005,33.9
arm,2006,33.9
arm,2007,33.9
arm,2008,35.6
arm,2009,35.6
arm,2010,33.9
arm,2011,32
arm,2012,31.3
arm,2013,30.3
arm,2014,30.5
arm,2015,30.6
arm,2016,30.5
arm,2017,30
arm,2018,28.1
arm,2019,28
atg,2000,21.8
atg,2001,20.7
atg,2002,22.2
atg,2003,21.3
atg,2004,20.9
atg,2005,19
atg,2006,19.6
atg,2007,23.8
atg,2008,24.1
atg,2009,21.5
atg,2010,20
atg,2011,19.3
atg,2012,18.6
atg,2013,18.8
atg,2014,19
atg,2015,18.8
atg,2016,17.6
atg,2017,17.3
atg,2018,17.6
atg,2019,17.5
aus,2000,16
aus,2001,15.5
aus,2002,14.9
aus,2003,14.4
aus,2004,14
aus,2005,13.9
aus,2006,13.4
aus,2007,13
aus,2008,12.7
aus,2009,12.2
aus,2010,12.1
aus,2011,11.9
aus,2012,11.3
aus,2013,11.4
aus,2014,11.2
aus,2015,11.3
aus,2016,10.9
aus,2017,10.5
aus,2018,10.6
aus,2019,10.4
aut,2000,20.2
aut,2001,19.2
aut,2002,18.1
aut,2003,17.8
aut,2004,17.1
aut,2005,16.6
aut,2006,16.3
aut,2007,15.9
aut,2008,15.7
aut,2009,16.1
aut,2010,16.2
aut,2011,15.8
aut,2012,15.2
aut,2013,15.2
aut,2014,14.8
aut,2015,14.7
aut,2016,14.2
aut,2017,13.7
aut,2018,13.8
aut,2019,12.9
aze,2000,39.7
aze,2001,39
aze,2002,39
aze,2003,39.2
aze,2004,39.4
aze,2005,39.6
aze,2006,39.1
aze,2007,38.2
aze,2008,38.3
aze,2009,37.9
aze,2010,37.4
aze,2011,37.4
aze,2012,37.2
aze,2013,36.5
aze,2014,36.2
aze,2015,36.1
aze,2016,35.9
aze,2017,35.8
aze,2018,34.7
aze,2019,34.4
bdi,2000,38.5
bdi,2001,36.5
bdi,2002,35.3
bdi,2003,34.2
bdi,2004,33.5
bdi,2005,33.1
bdi,2006,32.3
bdi,2007,31.5
bdi,2008,30.7
bdi,2009,30.1
bdi,2010,29.8
bdi,2011,29.5
bdi,2012,29.2
bdi,2013,28.8
bdi,2014,28.1
bdi,2015,27.6
bdi,2016,27.4
bdi,2017,27.2
bdi,2018,27.1
bdi,2019,26.9
bel,2000,20.3
bel,2001,19.8
bel,2002,19.6
bel,2003,18.8
bel,2004,17.7
bel,2005,17.7
bel,2006,17.3
bel,2007,16.7
bel,2008,17
bel,2009,16.2
bel,2010,16.3
bel,2011,15.8
bel,2012,15.3
bel,2013,14.8
bel,2014,14.3
bel,2015,14.2
bel,2016,13.8
bel,2017,13.6
bel,2018,13.3
bel,2019,13
ben,2000,28.5
ben,2001,28.6
ben,2002,28.6
ben,2003,28.5
ben,2004,28.4
ben,2005,28.1
ben,2006,27.8
ben,2007,27.6
ben,2008,27.2
ben,2009,27.2
ben,2010,27
ben,2011,26.9
ben,2012,26.7
ben,2013,26.4
ben,2014,26.1
ben,2015,25.9
ben,2016,25.6
ben,2017,25.2
ben,2018,24.9
ben,2019,24.5
bfa,2000,27.7
bfa,2001,27.7
bfa,2002,27.8
bfa,2003,27.5
bfa,2004,27.4
bfa,2005,27.5
bfa,2006,27.4
bfa,2007,27.5
bfa,2008,27.6
bfa,2009,27.8
bfa,2010,28
bfa,2011,28
bfa,2012,28.4
bfa,2013,28.3
bfa,2014,28
bfa,2015,27.8
bfa,2016,27.5
bfa,2017,27.1
bfa,2018,26.8
bfa,2019,26.4
bgd,2000,27.4
bgd,2001,26.8
bgd,2002,26.8
bgd,2003,26.9
bgd,2004,26.8
bgd,2005,27.2
bgd,2006,27.9
bgd,2007,27.8
bgd,2008,27
bgd,2009,26
bgd,2010,24.9
bgd,2011,23
bgd,2012,21.9
bgd,2013,21.3
bgd,2014,21
bgd,2015,20.7
bgd,2016,20.6
bgd,2017,21.1
bgd,2018,21.2
bgd,2019,21.2
bgr,2000,36.9
bgr,2001,36.7
bgr,2002,36.5
bgr,2003,37
bgr,2004,36.6
bgr,2005,36.8
bgr,2006,36.7
bgr,2007,35.7
bgr,2008,34.5
bgr,2009,34.9
bgr,2010,34.5
bgr,2011,33.8
bgr,2012,32.7
bgr,2013,32.5
bgr,2014,33.2
bgr,2015,32.8
bgr,2016,32.8
bgr,2017,32.8
bgr,2018,32.5
bgr,2019,32.1
bhr,2000,30.8
bhr,2001,30.4
bhr,2002,29
bhr,2003,27.9
bhr,2004,26.5
bhr,2005,25.2
bhr,2006,23.1
bhr,2007,22.4
bhr,2008,21
bhr,2009,19.7
bhr,2010,18.5
bhr,2011,17.6
bhr,2012,16.8
bhr,2013,16.4
bhr,2014,16.3
bhr,2015,16.2
bhr,2016,16.2
bhr,2017,16.2
bhr,2018,16.3
bhr,2019,16.4
bhs,2000,23.1
bhs,2001,24.3
bhs,2002,22.7
bhs,2003,22.3
bhs,2004,24.6
bhs,2005,23.6
bhs,2006,24.3
bhs,2007,23.4
bhs,2008,23.6
bhs,2009,23.4
bhs,2010,24
bhs,2011,23.7
bhs,2012,23.1
bhs,2013,21.6
bhs,2014,21.9
bhs,2015,22.7
bhs,2016,23
bhs,2017,22.7
bhs,2018,23.4
bhs,2019,23.6
bih,2000,27.4
bih,2001,27.1
bih,2002,27.1
bih,2003,26.7
bih,2004,25.9
bih,2005,27.5
bih,2006,26.5
bih,2007,27.8
bih,2008,26.2
bih,2009,26
bih,2010,25.3
bih,2011,25.2
bih,2012,24.4
bih,2013,24.5
bih,2014,24.3
bih,2015,24.6
bih,2016,24.2
bih,2017,23.9
bih,2018,24
bih,2019,24
blr,2000,46.1
blr,2001,47.9
blr,2002,49.4
blr,2003,48.5
blr,2004,47.6
blr,2005,48.4
blr,2006,46.9
blr,2007,44.3
blr,2008,44.7
blr,2009,44.5
blr,2010,44.8
blr,2011,44.6
blr,2012,40.2
blr,2013,38.7
blr,2014,38
blr,2015,36.6
blr,2016,36.5
blr,2017,36.1
blr,2018,36.4
blr,2019,35.7
blz,2000,26.1
blz,2001,22
blz,2002,20.7
blz,2003,20.2
blz,2004,20.8
blz,2005,19.3
blz,2006,18.7
blz,2007,18.3
blz,2008,16.9
blz,2009,18
blz,2010,18.1
blz,2011,17.3
blz,2012,16.7
blz,2013,16.6
blz,2014,17.7
blz,2015,18.3
blz,2016,17.9
blz,2017,18.1
blz,2018,18.1
blz,2019,18.5
bol,2000,20.1
bol,2001,19.6
bol,2002,19.1
bol,2003,18.7
bol,2004,18.1
bol,2005,17.7
bol,2006,17.3
bol,2007,17.3
bol,2008,17.1
bol,2009,17
bol,2010,16.9
bol,2011,17.1
bol,2012,16.9
bol,2013,17.1
bol,2014,17.3
bol,2015,17.5
bol,2016,17.7
bol,2017,17.5
bol,2018,17.5
bol,2019,17.5
bra,2000,25.7
bra,2001,25.1
bra,2002,24.5
bra,2003,24.1
bra,2004,23.9
bra,2005,22.7
bra,2006,22.4
bra,2007,22.1
bra,2008,22
bra,2009,21.6
bra,2010,21.3
bra,2011,21.1
bra,2012,20.5
bra,2013,20.1
bra,2014,19.6
bra,2015,19.5
bra,2016,19.7
bra,2017,19
bra,2018,18.9
bra,2019,18.6
brb,2000,19.4
brb,2001,18.4
brb,2002,18.9
brb,2003,18.8
brb,2004,19.2
brb,2005,19.1
brb,2006,18.9
brb,2007,18.6
brb,2008,18.1
brb,2009,17.4
brb,2010,17.1
brb,2011,16.7
brb,2012,16.3
brb,2013,16.6
brb,2014,16.8
brb,2015,16.6
brb,2016,16.8
brb,2017,16.8
brb,2018,17
brb,2019,17.5
brn,2000,26.7
brn,2001,26
brn,2002,25.2
brn,2003,25
brn,2004,24.1
brn,2005,24.1
brn,2006,24
brn,2007,23.6
brn,2008,23.3
brn,2009,22.2
brn,2010,21.7
brn,2011,21.2
brn,2012,20.9
brn,2013,21.1
brn,2014,20.5
brn,2015,20.4
brn,2016,20.2
brn,2017,20.7
brn,2018,20.5
brn,2019,20.2
btn,2000,23.2
btn,2001,22.9
btn,2002,22.6
btn,2003,22.5
btn,2004,22.2
btn,2005,21.9
btn,2006,21.7
btn,2007,21.5
btn,2008,21.1
btn,2009,20.9
btn,2010,20.4
btn,2011,20.3
btn,2012,20.3
btn,2013,20
btn,2014,20
btn,2015,19.8
btn,2016,19.4
btn,2017,19.8
btn,2018,19.6
btn,2019,19.6
bwa,2000,48.8
bwa,2001,48.3
bwa,2002,47.4
bwa,2003,46.6
bwa,2004,46
bwa,2005,45.2
bwa,2006,43.7
bwa,2007,41.1
bwa,2008,40
bwa,2009,38.9
bwa,2010,38.6
bwa,2011,37.5
bwa,2012,37.5
bwa,2013,37
bwa,2014,35.6
bwa,2015,35.1
bwa,2016,34.2
bwa,2017,33.8
bwa,2018,33.7
bwa,2019,32.7
caf,2000,47
caf,2001,46.2
caf,2002,46.1
caf,2003,45.5
caf,2004,45
caf,2005,44.5
caf,2006,45.1
caf,2007,44.9
caf,2008,44.6
caf,2009,44.9
caf,2010,44.7
caf,2011,44.3
caf,2012,43.8
caf,2013,43.7
caf,2014,43.8
caf,2015,43.5
caf,2016,42.9
caf,2017,42.6
caf,2018,41.5
caf,2019,40.9
can,2000,17.6
can,2001,17
can,2002,16.7
can,2003,16.2
can,2004,15.8
can,2005,15.2
can,2006,14.7
can,2007,14.7
can,2008,14.2
can,2009,13.8
can,2010,13.2
can,2011,12.9
can,2012,12.7
can,2013,12.4
can,2014,12.3
can,2015,12
can,2016,12.2
can,2017,11.9
can,2018,11.5
can,2019,11.2
che,2000,16.3
che,2001,15.6
che,2002,14.6
che,2003,14.7
che,2004,14.1
che,2005,14
che,2006,13
che,2007,13.3
che,2008,12.8
che,2009,12.3
che,2010,12.2
che,2011,11.6
che,2012,11.6
che,2013,11.3
che,2014,11.1
che,2015,10.8
che,2016,10.3
che,2017,10.3
che,2018,9.9
che,2019,9.6
chl,2000,17.4
chl,2001,17.9
chl,2002,17.3
chl,2003,17.4
chl,2004,16.9
chl,2005,16.7
chl,2006,16.1
chl,2007,16.4
chl,2008,15.8
chl,2009,16
chl,2010,15.7
chl,2011,15.5
chl,2012,15.1
chl,2013,14.9
chl,2014,14.6
chl,2015,14.1
chl,2016,13.4
chl,2017,12.7
chl,2018,12.4
chl,2019,12
chn,2000,27.7
chn,2001,27.3
chn,2002,27
chn,2003,26.8
chn,2004,26.8
chn,2005,26.1
chn,2006,24.9
chn,2007,24.3
chn,2008,24.1
chn,2009,23.9
chn,2010,23.8
chn,2011,23.6
chn,2012,23.3
chn,2013,22.8
chn,2014,22.1
chn,2015,21.7
chn,2016,21.4
chn,2017,20.8
chn,2018,20.4
chn,2019,20.2
civ,2000,32
civ,2001,31.5
civ,2002,30.9
civ,2003,30.7
civ,2004,30.5
civ,2005,29.9
civ,2006,29.7
civ,2007,29.3
civ,2008,28.3
civ,2009,28.2
civ,2010,28.3
civ,2011,28
civ,2012,27.9
civ,2013,27.4
civ,2014,26.6
civ,2015,25.8
civ,2016,25
civ,2017,24.4
civ,2018,24
civ,2019,23.6
cmr,2000,30.6
cmr,2001,31
cmr,2002,30.9
cmr,2003,31.1
cmr,2004,31.1
cmr,2005,31.6
cmr,2006,31.7
cmr,2007,31.3
cmr,2008,30.9
cmr,2009,30.6
cmr,2010,30.1
cmr,2011,30
cmr,2012,29.9
cmr,2013,29.1
cmr,2014,28.4
cmr,2015,27.6
cmr,2016,27
cmr,2017,26.4
cmr,2018,26
cmr,2019,25.7
cod,2000,31.5
cod,2001,31.2
cod,2002,30.5
cod,2003,30.8
cod,2004,30.3
cod,2005,29.7
cod,2006,29.4
cod,2007,28.7
cod,2008,28.8
cod,2009,29.1
cod,2010,28.8
cod,2011,28.5
cod,2012,28.1
cod,2013,27.5
cod,2014,26.9
cod,2015,26.2
cod,2016,25.8
cod,2017,25.7
cod,2018,26.1
cod,2019,26
cog,2000,37.1
cog,2001,34.9
cog,2002,32.6
cog,2003,31.1
cog,2004,30.3
cog,2005,28.9
cog,2006,28.1
cog,2007,27.6
cog,2008,27.1
cog,2009,27
cog,2010,26.3
cog,2011,26.1
cog,2012,26.3
cog,2013,25.6
cog,2014,24.8
