global,time,iq_cpa_gndr_xq
world,2005,3.47368
world,2006,3.44231
world,2007,3.43333
world,2008,3.43333
world,2009,3.42857
world,2010,3.43506
world,2011,3.39744
world,2012,3.36875
world,2013,3.35802
world,2014,3.32237
world,2015,3.30921
world,2016,3.23973
world,2017,3.21622
world,2018,3.23973
world,2019,3.25333
world,2020,3.26027
