geo,time,sh_prv_smok
afg,2000,36.9
afg,2005,32.7
afg,2010,29.1
afg,2015,26
afg,2018,23.8
afg,2019,23.8
afg,2020,23.3
alb,2000,35
alb,2005,31.3
alb,2010,28
alb,2015,25.1
alb,2018,23
alb,2019,23
alb,2020,22.4
and,2000,35.9
and,2005,34.8
and,2010,34
and,2015,33
and,2018,32
and,2019,32
and,2020,31.8
arg,2000,34
arg,2005,31.5
arg,2010,28.9
arg,2015,26.6
arg,2018,24.9
arg,2019,24.9
arg,2020,24.5
arm,2000,32
arm,2005,30.3
arm,2010,28.6
arm,2015,26.9
arm,2018,25.8
arm,2019,25.8
arm,2020,25.5
aus,2000,24.4
aus,2005,21.1
aus,2010,18.2
aus,2015,15.7
aus,2018,14
aus,2019,14
aus,2020,13.6
aut,2000,52.3
aut,2005,43.8
aut,2010,37.1
aut,2015,31.2
aut,2018,27.1
aut,2019,27.1
aut,2020,26.4
aze,2000,28.7
aze,2005,27.6
aze,2010,26.2
aze,2015,25.2
aze,2018,24.2
aze,2019,24.2
aze,2020,24
bdi,2000,24
bdi,2005,19.8
bdi,2010,16.6
bdi,2015,13.9
bdi,2018,12.2
bdi,2019,12.2
bdi,2020,11.8
bel,2000,33.4
bel,2005,30.5
bel,2010,28
bel,2015,25.7
bel,2018,23.9
bel,2019,23.9
bel,2020,23.4
ben,2000,16.7
ben,2005,13.4
ben,2010,10.7
ben,2015,8.6
ben,2018,7.2
ben,2019,7.2
ben,2020,6.9
bfa,2000,29.8
bfa,2005,24.7
bfa,2010,20.5
bfa,2015,17
bfa,2018,14.9
bfa,2019,14.9
bfa,2020,14.3
bgd,2000,57.6
bgd,2005,50.3
bgd,2010,44
bgd,2015,38.9
bgd,2018,35.2
bgd,2019,35.2
bgd,2020,34.7
bgr,2000,47.5
bgr,2005,45
bgr,2010,42.9
bgr,2015,40.7
bgr,2018,39.4
bgr,2019,39.4
bgr,2020,39
bhr,2000,22.2
bhr,2005,20
bhr,2010,18.1
bhr,2015,16.4
bhr,2018,15.2
bhr,2019,15.2
bhr,2020,14.9
bhs,2000,10.7
bhs,2005,10.7
bhs,2010,10.7
bhs,2015,10.6
bhs,2018,10.7
bhs,2019,10.7
bhs,2020,10.6
bih,2000,46.6
bih,2005,43.4
bih,2010,40.3
bih,2015,37.7
bih,2018,35.5
bih,2019,35.5
bih,2020,35
blr,2000,41.8
blr,2005,38.8
blr,2010,35.8
blr,2015,33
blr,2018,30.9
blr,2019,30.9
blr,2020,30.5
blz,2000,15
blz,2005,13
blz,2010,11.3
blz,2015,9.7
blz,2018,8.8
blz,2019,8.8
blz,2020,8.5
bol,2000,32.1
bol,2005,24.9
bol,2010,19.5
bol,2015,15.6
bol,2018,13.2
bol,2019,13.2
bol,2020,12.7
bra,2000,23.8
bra,2005,20.4
bra,2010,17.4
bra,2015,14.9
bra,2018,13.2
bra,2019,13.2
bra,2020,12.8
brb,2000,10.2
brb,2005,9.7
brb,2010,9.2
brb,2015,8.8
brb,2018,8.5
brb,2019,8.5
brb,2020,8.5
brn,2000,16.7
brn,2005,16.5
brn,2010,16.4
brn,2015,16.3
brn,2018,16.2
brn,2019,16.2
brn,2020,16.2
bwa,2000,33.2
bwa,2005,28.5
bwa,2010,24.8
bwa,2015,21.7
bwa,2018,19.8
bwa,2019,19.8
bwa,2020,19.4
can,2000,28.4
can,2005,23.3
can,2010,19.3
can,2015,15.8
can,2018,13.6
can,2019,13.6
can,2020,13
che,2000,28.3
che,2005,27.7
che,2010,26.9
che,2015,26.2
che,2018,25.7
che,2019,25.7
che,2020,25.5
chl,2000,46.9
chl,2005,41.7
chl,2010,37.1
chl,2015,32.9
chl,2018,29.9
chl,2019,29.9
chl,2020,29.2
chn,2000,26.7
chn,2005,26.6
chn,2010,26.2
chn,2015,25.9
chn,2018,25.7
chn,2019,25.7
chn,2020,25.6
civ,2000,18.7
civ,2005,15.8
civ,2010,13.2
