geo,time,dt_nfl_mlat_cd
afg,2006,103209000
afg,2007,138845000
afg,2008,94500000
afg,2009,107893000
afg,2010,75035000
afg,2011,61379000
afg,2012,50447000
afg,2013,32498000
afg,2014,11501000
afg,2015,-8410000
afg,2016,-9416000
afg,2017,-19137000
afg,2018,-15409000
afg,2019,-20149000
afg,2020,-20692000
ago,1989,3792000
ago,1990,745000
ago,1991,35634000
ago,1992,20946000
ago,1993,13992000
ago,1994,32877000
ago,1995,28471000
ago,1996,37752000
ago,1997,27315000
ago,1998,36422000
ago,1999,37501000
ago,2000,-3785000
ago,2001,6635000
ago,2002,14943000
ago,2003,3145000
ago,2004,16109000
ago,2005,25665000
ago,2006,12533000
ago,2007,3358000
ago,2008,7969000
ago,2009,15212000
ago,2010,3137000
ago,2011,10661000
ago,2012,36939000
ago,2013,47153000
ago,2014,670486000
ago,2015,478825000
ago,2016,431742000
ago,2017,184473000
ago,2018,44363000
ago,2019,585438000
ago,2020,201062000
alb,1992,2065000
alb,1993,25841000
alb,1994,35976000
alb,1995,47969000
alb,1996,39408000
alb,1997,21016000
alb,1998,68231000
alb,1999,110018000
alb,2000,98376000
alb,2001,52451000
alb,2002,102147000
alb,2003,91851000
alb,2004,95203000
alb,2005,66708000
alb,2006,91297000
alb,2007,104551000
alb,2008,143939000
alb,2009,150581000
alb,2010,102567000
alb,2011,172671000
alb,2012,190215000
alb,2013,115069000
alb,2014,254712000
alb,2015,-19494000
alb,2016,-11472000
alb,2017,240258000
alb,2018,148435000
alb,2019,1153000
alb,2020,68557000
arg,1970,62220000
arg,1971,85024000
arg,1972,54985000
arg,1973,116755000
arg,1974,117965000
arg,1975,59892000
arg,1976,66357000
arg,1977,63677000
arg,1978,158355000
arg,1979,97333000
arg,1980,24668000
arg,1981,170193000
arg,1982,120076000
arg,1983,268910000
arg,1984,123532000
arg,1985,216372000
arg,1986,363650000
arg,1987,700533000
arg,1988,363461000
arg,1989,427003000
arg,1990,327916000
arg,1991,263698000
arg,1992,-235504000
arg,1993,1961734000
arg,1994,117214000
arg,1995,1422103000
arg,1996,1024384000
arg,1997,1103985000
arg,1998,2830234000
arg,1999,2034355000
arg,2000,1093633000
arg,2001,1844272000
arg,2002,-1447960000
arg,2003,-720879000
arg,2004,-217658000
arg,2005,-483564000
arg,2006,-700503000
arg,2007,-213585000
arg,2008,-267644000
arg,2009,1420134000
arg,2010,784131000
arg,2011,973456000
arg,2012,380835000
arg,2013,1065544000
arg,2014,461070000
arg,2015,-78025000
arg,2016,462198000
arg,2017,1065617000
arg,2018,1669175000
arg,2019,879669000
arg,2020,1426269000
arm,1993,63364000
arm,1994,37320000
arm,1995,102366000
arm,1996,111871000
arm,1997,75962000
arm,1998,19756000
arm,1999,66120000
arm,2000,50584000
arm,2001,62967000
arm,2002,50576000
arm,2003,66029000
arm,2004,65271000
arm,2005,22398000
arm,2006,56739000
arm,2007,95387000
arm,2008,79730000
arm,2009,308838000
arm,2010,109522000
arm,2011,143637000
arm,2012,209805000
arm,2013,181132000
arm,2014,220632000
arm,2015,384749000
arm,2016,409764000
arm,2017,300564000
arm,2018,86699000
arm,2019,86222000
arm,2020,-36019000
aze,1994,8152000
aze,1995,89521000
aze,1996,43542000
aze,1997,24482000
aze,1998,44746000
aze,1999,87625000
aze,2000,47649000
aze,2001,30127000
aze,2002,63738000
aze,2003,77738000
aze,2004,46156000
aze,2005,41128000
aze,2006,77365000
aze,2007,192948000
aze,2008,183015000
aze,2009,319475000
aze,2010,314548000
aze,2011,464529000
aze,2012,642027000
aze,2013,162730000
aze,2014,457707000
aze,2015,385203000
aze,2016,890798000
aze,2017,913955000
aze,2018,245407000
aze,2019,302362000
aze,2020,-219827000
bdi,1970,923000
bdi,1971,201000
bdi,1972,-645000
bdi,1973,-25000
bdi,1974,522000
bdi,1975,2901000
bdi,1976,1541000
bdi,1977,5645000
bdi,1978,8646000
bdi,1979,15360000
bdi,1980,20268000
bdi,1981,16065000
bdi,1982,28470000
bdi,1983,52324000
bdi,1984,47847000
bdi,1985,38957000
bdi,1986,71242000
bdi,1987,88304000
bdi,1988,67711000
bdi,1989,55375000
bdi,1990,52237000
bdi,1991,54464000
bdi,1992,75320000
bdi,1993,58255000
bdi,1994,33005000
bdi,1995,28797000
bdi,1996,22438000
bdi,1997,3378000
bdi,1998,17457000
bdi,1999,6976000
bdi,2000,28799000
bdi,2001,2285000
bdi,2002,27081000
bdi,2003,31222000
bdi,2004,8461000
bdi,2005,19785000
bdi,2006,27233000
bdi,2007,19023000
bdi,2008,14305000
bdi,2009,25787000
bdi,2010,29145000
bdi,2011,24628000
bdi,2012,29240000
bdi,2013,-11973000
bdi,2014,15149000
bdi,2015,2946000
bdi,2016,9013000
bdi,2017,-2603000
bdi,2018,-1055000
bdi,2019,29309000
bdi,2020,-48000
ben,1970,145000
ben,1971,2186000
ben,1972,2578000
ben,1973,6672000
ben,1974,5110000
ben,1975,10019000
ben,1976,11019000
ben,1977,19653000
ben,1978,15694000
ben,1979,16752000
ben,1980,24015000
ben,1981,21443000
ben,1982,29399000
ben,1983,37168000
ben,1984,30522000
ben,1985,24788000
ben,1986,46599000
ben,1987,37882000
ben,1988,42445000
ben,1989,52445000
ben,1990,72112000
ben,1991,67091000
ben,1992,60682000
ben,1993,53624000
ben,1994,62269000
ben,1995,64153000
ben,1996,73130000
ben,1997,24210000
ben,1998,37049000
ben,1999,55537000
ben,2000,13328000
ben,2001,99730000
ben,2002,45569000
ben,2003,34556000
ben,2004,67975000
ben,2005,73110000
ben,2006,70887000
ben,2007,129546000
ben,2008,129850000
ben,2009,100766000
ben,2010,137129000
ben,2011,74081000
ben,2012,76795000
ben,2013,269181000
ben,2014,187947000
ben,2015,168607000
ben,2016,166278000
ben,2017,245342000
ben,2018,42034000
ben,2019,88181000
ben,2020,421704000
bfa,1970,11000
bfa,1971,456000
bfa,1972,2851000
bfa,1973,5465000
bfa,1974,6358000
bfa,1975,8616000
bfa,1976,8363000
bfa,1977,24876000
bfa,1978,26304000
bfa,1979,30611000
bfa,1980,23299000
bfa,1981,36767000
bfa,1982,22302000
bfa,1983,31480000
bfa,1984,20567000
bfa,1985,32851000
bfa,1986,63980000
bfa,1987,44511000
bfa,1988,41115000
