geo,time,sp_rur_totl_zg
abw,1961,2.26769
abw,1962,1.46206
abw,1963,0.85921
abw,1964,0.61025
abw,1965,0.60301
abw,1966,0.63103
abw,1967,0.62009
abw,1968,0.60585
abw,1969,0.64015
abw,1970,0.59837
abw,1971,0.65955
abw,1972,0.71612
abw,1973,0.67408
abw,1974,0.51262
abw,1975,0.23699
abw,1976,-0.07671
abw,1977,-0.33421
abw,1978,-0.40926
abw,1979,-0.18505
abw,1980,0.23882
abw,1981,0.79975
abw,1982,1.31119
abw,1983,1.44024
abw,1984,1.01298
abw,1985,0.34605
abw,1986,-0.57421
abw,1987,-1.26586
abw,1988,-1.21611
abw,1989,-0.03298
abw,1990,1.85003
abw,1991,3.92793
abw,1992,6.05898
abw,1993,6.86587
abw,1994,6.45796
abw,1995,5.41212
abw,1996,4.32995
abw,1997,3.44676
abw,1998,2.90479
abw,1999,2.73783
abw,2000,2.83645
abw,2001,2.9128
abw,2002,2.91612
abw,2003,2.78423
abw,2004,2.43547
abw,2005,1.95589
abw,2006,1.4583
abw,2007,1.04545
abw,2008,0.784
abw,2009,0.73087
abw,2010,0.84657
abw,2011,0.58733
abw,2012,0.47286
abw,2013,0.52506
abw,2014,0.50202
abw,2015,0.42373
abw,2016,0.35482
abw,2017,0.29333
abw,2018,0.25074
abw,2019,0.19848
abw,2020,0.15983
afg,1961,1.58907
afg,1962,1.64553
afg,1963,1.6997
afg,1964,1.74792
afg,1965,1.7953
afg,1966,1.80524
afg,1967,1.81204
afg,1968,1.86459
afg,1969,1.98312
afg,1970,2.12111
afg,1971,2.2364
afg,1972,2.27141
afg,1973,2.20249
afg,1974,2.00818
afg,1975,1.71326
afg,1976,1.47873
afg,1977,1.23085
afg,1978,0.74685
afg,1979,-0.03083
afg,1980,-1.06379
afg,1981,-2.07066
afg,1982,-2.92337
afg,1983,-3.43966
afg,1984,-3.44956
afg,1985,-2.98171
afg,1986,-2.51243
afg,1987,-1.96154
afg,1988,-0.74606
afg,1989,2.0223
afg,1990,4.36411
afg,1991,6.78715
afg,1992,8.433
afg,1993,8.67767
afg,1994,7.54516
afg,1995,5.76951
afg,1996,3.90458
afg,1997,2.5202
afg,1998,1.83218
afg,1999,2.05386
afg,2000,2.85706
afg,2001,3.78595
afg,2002,4.37845
afg,2003,4.54993
afg,2004,4.13206
afg,2005,3.42042
afg,2006,2.72626
afg,2007,2.22627
afg,2008,1.99868
afg,2009,2.12535
afg,2010,2.47294
afg,2011,2.86605
afg,2012,3.12846
afg,2013,3.21334
afg,2014,3.07223
afg,2015,2.79022
afg,2016,2.48904
afg,2017,2.24061
afg,2018,2.05601
afg,2019,1.96484
afg,2020,1.93679
ago,1961,0.98678
ago,1962,0.92711
ago,1963,0.78227
ago,1964,0.48168
ago,1965,0.11002
ago,1966,-0.34247
ago,1967,-0.66722
ago,1968,-0.61159
ago,1969,-0.03954
ago,1970,0.87179
ago,1971,1.73232
ago,1972,2.40039
ago,1973,2.86814
ago,1974,2.9033
ago,1975,2.66839
ago,1976,2.37565
ago,1977,2.17786
ago,1978,2.0349
ago,1979,1.99044
ago,1980,2.00343
ago,1981,2.008
ago,1982,1.96434
ago,1983,1.90606
ago,1984,1.82565
ago,1985,1.73692
ago,1986,1.64068
ago,1987,1.54202
ago,1988,1.42477
ago,1989,1.2978
ago,1990,1.15531
ago,1991,1.01338
ago,1992,0.87615
ago,1993,0.76108
ago,1994,0.64749
ago,1995,1.14461
ago,1996,1.08359
ago,1997,1.03649
ago,1998,0.98801
ago,1999,0.95307
ago,2000,0.92104
ago,2001,0.89431
ago,2002,0.86302
ago,2003,0.85667
ago,2004,0.87003
ago,2005,0.90661
ago,2006,1.86797
ago,2007,1.90718
ago,2008,1.90989
ago,2009,1.88482
ago,2010,1.82623
ago,2011,1.76433
ago,2012,1.70522
ago,2013,1.63873
ago,2014,1.56028
ago,2015,1.50174
ago,2016,1.43635
ago,2017,1.37876
ago,2018,1.33774
ago,2019,1.30168
ago,2020,1.28408
alb,1961,2.77679
alb,1962,2.95239
alb,1963,2.85084
alb,1964,2.77614
alb,1965,2.64938
alb,1966,2.52977
alb,1967,2.52534
alb,1968,2.73754
alb,1969,2.74722
alb,1970,2.26996
alb,1971,2.13983
alb,1972,2.20955
alb,1973,2.07632
alb,1974,2.00868
alb,1975,2.01029
alb,1976,1.91649
alb,1977,1.91923
alb,1978,1.78079
alb,1979,1.69214
alb,1980,1.6532
alb,1981,1.60668
alb,1982,1.71385
alb,1983,1.71678
alb,1984,1.69821
alb,1985,1.6471
alb,1986,1.52108
alb,1987,1.58007
alb,1988,1.46797
alb,1989,2.26584
alb,1990,1.37526
alb,1991,-1.03157
alb,1992,-1.47753
alb,1993,-1.49048
alb,1994,-1.51015
alb,1995,-1.52539
alb,1996,-1.54574
alb,1997,-1.55825
alb,1998,-1.57769
alb,1999,-1.59423
alb,2000,-1.61439
alb,2001,-2.13682
alb,2002,-2.16909
alb,2003,-2.28975
alb,2004,-2.382
alb,2005,-2.51895
alb,2006,-2.68683
alb,2007,-2.86073
alb,2008,-2.92158
alb,2009,-2.8674
alb,2010,-2.74329
alb,2011,-2.56111
alb,2012,-2.50885
alb,2013,-2.52486
alb,2014,-2.55659
alb,2015,-2.63859
alb,2016,-2.50594
alb,2017,-2.43283
alb,2018,-2.57812
alb,2019,-2.74607
alb,2020,-2.878
and,1961,0.67967
and,1962,0.1603
and,1963,-0.35657
and,1964,-0.82497
and,1965,-1.32332
and,1966,-1.76735
and,1967,-2.23504
and,1968,-2.71458
and,1969,-2.9711
and,1970,-3.2073
and,1971,-3.33505
and,1972,-3.69481
and,1973,-3.97554
and,1974,-4.55163
and,1975,-5.20212
and,1976,-5.83916
and,1977,-6.28786
and,1978,-6.55582
and,1979,-6.42306
and,1980,-6.19802
and,1981,-5.82689
and,1982,-5.59826
and,1983,-5.55699
and,1984,-5.53333
and,1985,-5.67209
and,1986,0.73835
and,1987,7.18394
and,1988,7.06176
and,1989,7.00556
and,1990,6.89433
and,1991,7.29176
and,1992,7.51673
and,1993,7.18613
and,1994,6.44341
and,1995,5.53581
and,1996,4.44518
and,1997,3.5743
and,1998,3.38484
and,1999,3.97546
and,2000,5.20026
and,2001,7.30733
and,2002,9.01994
and,2003,9.44558
and,2004,9.15594
and,2005,8.29618
and,2006,7.46672
and,2007,6.83467
and,2008,4.21966
and,2009,1.54958
and,2010,0.82944
and,2011,-0.01059
and,2012,-0.7548
and,2013,-1.20238
and,2014,-1.11866
and,2015,-0.72345
and,2016,-0.06603
and,2017,0.43937
and,2018,0.7534
and,2019,0.83411
and,2020,0.72016
are,1961,5.29211
are,1962,7.2009
are,1963,7.51242
are,1964,6.30854
are,1965,4.66013
are,1966,2.95155
are,1967,2.31997
are,1968,4.71515
are,1969,10.6317
are,1970,14.37798
are,1971,16.81982
are,1972,17.63326
are,1973,17.59042
are,1974,16.93712
are,1975,15.95131
are,1976,14.62932
are,1977,13.19682
are,1978,11.7429
are,1979,9.87755
are,1980,7.96962
are,1981,7.42972
are,1982,7.15153
are,1983,6.43449
are,1984,6.30843
are,1985,6.53451
are,1986,6.59338
are,1987,6.54456
are,1988,6.61563
are,1989,6.57362
are,1990,6.47866
are,1991,6.46586
are,1992,6.49248
are,1993,6.37729
are,1994,6.11395
are,1995,5.81297
are,1996,4.20196
are,1997,2.98616
are,1998,3.06276
are,1999,3.17249
are,2000,3.37826
are,2001,3.0988
are,2002,3.04028
are,2003,4.32515
are,2004,6.99698
are,2005,9.83963
are,2006,12.22452
are,2007,12.99241
are,2008,11.74268
are,2009,8.88461
are,2010,5.54231
are,2011,2.40219
are,2012,0.0391
are,2013,-1.48633
are,2014,-1.91407
are,2015,-1.53837
are,2016,-0.99887
are,2017,-0.6975
are,2018,-0.50862
are,2019,-0.56226
are,2020,-0.76049
arg,1961,-0.69846
arg,1962,-0.5562
arg,1963,-0.59603
arg,1964,-0.64133
