global,time,ny_gnp_mktp_kd_zg
world,1982,0.26962
world,1983,2.8683
world,1984,4.5095
world,1985,3.56117
world,1986,3.17106
world,1987,3.68771
world,1988,4.43779
world,1989,3.9936
world,1990,2.47175
world,1991,1.2685
world,1992,1.55919
world,1993,1.12651
world,1994,2.69023
world,1995,2.62047
world,1996,3.52561
world,1997,3.83004
world,1998,2.85568
world,1999,3.67797
world,2000,4.49433
world,2001,2.06014
world,2002,2.11078
world,2003,3.22494
world,2004,4.39055
world,2005,3.94333
world,2006,4.51
world,2007,4.3383
world,2008,1.7996
world,2009,-1.32779
world,2010,4.38597
world,2011,3.263
world,2012,2.65121
world,2013,2.70885
world,2014,3.25357
world,2015,3.09484
world,2016,2.7796
world,2017,3.55597
world,2018,3.14462
world,2019,2.67055
world,2020,-3.36277
