global,time,ny_adj_dngy_gn_zs
world,1970,0.25534
world,1971,0.29244
world,1972,0.31478
world,1973,0.40922
world,1974,1.7563
world,1975,1.49884
world,1976,1.62885
world,1977,1.62828
world,1978,1.56387
world,1979,2.93878
world,1980,3.22822
world,1981,2.42046
world,1982,1.44585
world,1983,1.69595
world,1984,1.69386
world,1985,1.55079
world,1986,0.62541
world,1987,0.80753
world,1988,0.64405
world,1989,0.90868
world,1990,1.077
world,1991,0.62846
world,1992,0.62454
world,1993,0.62885
world,1994,0.52338
world,1995,0.51303
world,1996,0.69202
world,1997,0.59735
world,1998,0.31714
world,1999,0.5
world,2000,1.06853
world,2001,0.90358
world,2002,0.79236
world,2003,0.91614
world,2004,1.21828
world,2005,1.55865
world,2006,1.64489
world,2007,1.53047
world,2008,2.09685
world,2009,1.09619
world,2010,1.38453
world,2011,1.86796
world,2012,1.66923
world,2013,1.48254
world,2014,1.27317
world,2015,0.63664
world,2016,0.5213
world,2017,0.71647
world,2018,1.02727
world,2019,0.86234
