geo,time,sl_emp_mpyr_ma_zs
afg,1991,0.46
afg,1992,0.46
afg,1993,0.46
afg,1994,0.45
afg,1995,0.46
afg,1996,0.45
afg,1997,0.45
afg,1998,0.45
afg,1999,0.45
afg,2000,0.45
afg,2001,0.45
afg,2002,0.46
afg,2003,0.47
afg,2004,0.48
afg,2005,0.49
afg,2006,0.51
afg,2007,0.54
afg,2008,0.56
afg,2009,0.69
afg,2010,0.84
afg,2011,1.01
afg,2012,1.21
afg,2013,1.44
afg,2014,1.72
afg,2015,2.02
afg,2016,2.36
afg,2017,2.73
afg,2018,2.85
afg,2019,2.97
ago,1991,3.39
ago,1992,3.59
ago,1993,3.73
ago,1994,4.42
ago,1995,4.31
ago,1996,4.36
ago,1997,4.55
ago,1998,4.77
ago,1999,4.44
ago,2000,4.49
ago,2001,4.64
ago,2002,5.46
ago,2003,5.36
ago,2004,6.07
ago,2005,5.65
ago,2006,5.78
ago,2007,5.63
ago,2008,5.52
ago,2009,5.85
ago,2010,5.89
ago,2011,5.86
ago,2012,5.91
ago,2013,5.66
ago,2014,6.24
ago,2015,6.6
ago,2016,6.97
ago,2017,7.18
ago,2018,7.6
ago,2019,6.97
alb,1991,5.95
alb,1992,5.92
alb,1993,5.87
alb,1994,5.9
alb,1995,5.92
alb,1996,5.84
alb,1997,5.75
alb,1998,5.72
alb,1999,5.71
alb,2000,5.67
alb,2001,5.7
alb,2002,5.69
alb,2003,5.64
alb,2004,5.57
alb,2005,5.26
alb,2006,4.92
alb,2007,4.86
alb,2008,2.6
alb,2009,2.21
alb,2010,2.36
alb,2011,2.42
alb,2012,1.94
alb,2013,2.24
alb,2014,2.97
alb,2015,3.36
alb,2016,3.73
alb,2017,4.22
alb,2018,4.73
alb,2019,4.49
are,1991,1.4
are,1992,1.4
are,1993,1.4
are,1994,1.4
are,1995,1.4
are,1996,1.39
are,1997,1.39
are,1998,1.4
are,1999,1.4
are,2000,1.4
are,2001,1.41
are,2002,1.44
are,2003,1.48
are,2004,1.54
are,2005,1.6
are,2006,2.04
are,2007,2.61
are,2008,3.31
are,2009,3.27
are,2010,3.19
are,2011,3.13
are,2012,3.07
are,2013,3.03
are,2014,2.99
are,2015,2.96
are,2016,2.9
are,2017,3.02
are,2018,3.35
are,2019,3.92
arg,1991,6.84
arg,1992,7.54
arg,1993,7.53
arg,1994,6.37
arg,1995,7.08
arg,1996,6.18
arg,1997,6.06
arg,1998,6.08
arg,1999,5.9
arg,2000,6.07
arg,2001,5.83
arg,2002,5.11
arg,2003,4.86
arg,2004,5.15
arg,2005,5.16
arg,2006,5.29
arg,2007,5.77
arg,2008,5.76
arg,2009,5.49
arg,2010,5.61
arg,2011,5.75
arg,2012,4.88
arg,2013,4.83
arg,2014,4.31
arg,2015,4.49
arg,2016,4.64
arg,2017,4.82
arg,2018,4.86
arg,2019,4.83
arm,1991,0.3
arm,1992,0.34
arm,1993,0.38
arm,1994,0.39
arm,1995,0.42
arm,1996,0.46
arm,1997,0.5
arm,1998,0.55
arm,1999,0.61
arm,2000,0.61
arm,2001,0.62
arm,2002,0.61
arm,2003,0.62
arm,2004,0.64
arm,2005,0.66
arm,2006,0.67
arm,2007,0.71
arm,2008,0.77
arm,2009,0.93
arm,2010,0.83
arm,2011,0.95
arm,2012,0.8
arm,2013,0.7
arm,2014,2.14
arm,2015,1.4
arm,2016,1.6
arm,2017,1.83
arm,2018,1.36
arm,2019,1.38
aus,1991,9.02
aus,1992,8.79
aus,1993,8.76
aus,1994,8.97
aus,1995,9.06
aus,1996,8.83
aus,1997,8.95
aus,1998,9.11
aus,1999,8.94
aus,2000,9.28
aus,2001,9.45
aus,2002,9.24
aus,2003,9.09
aus,2004,9.11
aus,2005,9.17
aus,2006,8.89
aus,2007,8.3
aus,2008,8.42
aus,2009,8.58
aus,2010,8.53
aus,2011,8.09
aus,2012,8.01
aus,2013,7.97
aus,2014,7.98
aus,2015,7.78
aus,2016,7.88
aus,2017,7.94
aus,2018,7.53
aus,2019,7.57
aut,1991,6.4
aut,1992,6.42
aut,1993,6.42
aut,1994,6.46
aut,1995,6.46
aut,1996,6.56
aut,1997,6.48
aut,1998,6.74
aut,1999,6.47
aut,2000,6.48
aut,2001,6.38
aut,2002,6.99
aut,2003,6.8
aut,2004,5.93
aut,2005,6.55
aut,2006,6.64
aut,2007,6.74
aut,2008,6.43
aut,2009,6.58
aut,2010,6.64
aut,2011,6.62
aut,2012,6.6
aut,2013,6.42
aut,2014,6.72
aut,2015,6.32
aut,2016,6.33
aut,2017,6.42
aut,2018,6.36
aut,2019,6.76
aze,1991,5.97
aze,1992,6.3
aze,1993,8.76
aze,1994,8.91
aze,1995,7.98
aze,1996,8.44
aze,1997,9.15
aze,1998,10.32
aze,1999,10.47
aze,2000,9.93
aze,2001,10.11
aze,2002,9.45
aze,2003,10.39
aze,2004,11.51
aze,2005,10.82
aze,2006,10.76
aze,2007,12.38
aze,2008,13.57
aze,2009,14.9
aze,2010,14.56
aze,2011,10.68
aze,2012,10.58
aze,2013,11.36
aze,2014,11.51
aze,2015,16.06
aze,2016,15.41
aze,2017,15.4
aze,2018,15.46
aze,2019,16.69
bdi,1991,1.26
bdi,1992,1.19
bdi,1993,1.2
bdi,1994,1.27
bdi,1995,1.29
bdi,1996,1.33
bdi,1997,1.44
bdi,1998,1.45
bdi,1999,1.47
bdi,2000,1.61
bdi,2001,1.63
bdi,2002,1.69
bdi,2003,1.65
bdi,2004,1.62
bdi,2005,1.85
bdi,2006,1.84
bdi,2007,1.72
bdi,2008,1.7
bdi,2009,1.74
bdi,2010,1.69
bdi,2011,1.68
bdi,2012,1.69
bdi,2013,1.67
bdi,2014,1.65
bdi,2015,1.85
bdi,2016,1.87
bdi,2017,1.87
bdi,2018,1.88
bdi,2019,1.88
bel,1991,5.89
bel,1992,5.99
bel,1993,6.16
bel,1994,6.18
bel,1995,6.1
bel,1996,6.2
bel,1997,6.1
bel,1998,6.13
bel,1999,6.01
bel,2000,6.17
bel,2001,6.29
bel,2002,5.47
bel,2003,5.67
bel,2004,6.27
bel,2005,6.45
bel,2006,6.43
bel,2007,6.27
bel,2008,5.9
bel,2009,6.26
bel,2010,6.17
bel,2011,5.99
bel,2012,5.77
bel,2013,6.01
bel,2014,5.61
bel,2015,5.96
bel,2016,5.71
bel,2017,5.44
bel,2018,5.14
bel,2019,4.99
ben,1991,1.39
ben,1992,1.4
ben,1993,1.42
ben,1994,1.42
ben,1995,1.45
ben,1996,1.48
ben,1997,1.5
ben,1998,1.52
ben,1999,1.67
ben,2000,1.68
ben,2001,1.7
ben,2002,1.73
ben,2003,1.71
ben,2004,1.74
ben,2005,1.76
ben,2006,1.76
ben,2007,1.79
ben,2008,1.79
ben,2009,1.78
ben,2010,1.81
ben,2011,1.83
ben,2012,1.84
ben,2013,1.85
ben,2014,1.89
ben,2015,1.85
ben,2016,1.92
ben,2017,1.92
ben,2018,1.92
ben,2019,1.91
bfa,1991,0.99
bfa,1992,0.99
bfa,1993,1
bfa,1994,0.96
bfa,1995,0.97
bfa,1996,0.98
bfa,1997,0.98
bfa,1998,1.01
bfa,1999,1.2
bfa,2000,1.16
bfa,2001,1.16
bfa,2002,1.17
bfa,2003,1.19
bfa,2004,1.18
bfa,2005,1.19
bfa,2006,1.16
bfa,2007,1.09
bfa,2008,1.11
bfa,2009,1.06
bfa,2010,1.04
bfa,2011,1.01
bfa,2012,0.98
bfa,2013,0.95
bfa,2014,0.92
bfa,2015,0.92
bfa,2016,0.92
bfa,2017,0.92
bfa,2018,0.99
bfa,2019,0.98
bgd,1991,0.31
bgd,1992,0.32
bgd,1993,0.32
bgd,1994,0.32
bgd,1995,0.32
bgd,1996,0.32
bgd,1997,0.33
bgd,1998,0.33
bgd,1999,0.33
bgd,2000,0.33
bgd,2001,0.33
bgd,2002,0.33
bgd,2003,0.33
bgd,2004,0.33
bgd,2005,0.33
bgd,2006,0.33
bgd,2007,0.3
bgd,2008,0.28
bgd,2009,0.26
bgd,2010,0.24
bgd,2011,0.38
bgd,2012,0.62
bgd,2013,0.98
bgd,2014,1.53
bgd,2015,2.37
bgd,2016,3.64
bgd,2017,6.06
bgd,2018,6.71
bgd,2019,7.44
bgr,1991,2.83
bgr,1992,2.88
bgr,1993,2.9
bgr,1994,2.91
bgr,1995,2.92
bgr,1996,2.92
bgr,1997,2.99
bgr,1998,3.12
bgr,1999,3.3
bgr,2000,3.27
bgr,2001,5.23
bgr,2002,4.71
bgr,2003,5.04
bgr,2004,5.2
bgr,2005,5.18
bgr,2006,5.44
bgr,2007,5.52
bgr,2008,4.84
bgr,2009,4.7
bgr,2010,4.93
bgr,2011,4.83
bgr,2012,4.79
bgr,2013,5.4
bgr,2014,5.23
bgr,2015,5
bgr,2016,4.81
bgr,2017,4.9
bgr,2018,5.09
bgr,2019,4.78
bhr,1991,2.44
bhr,1992,2.46
bhr,1993,2.45
bhr,1994,2.44
bhr,1995,2.44
bhr,1996,2.44
bhr,1997,2.43
bhr,1998,2.44
bhr,1999,2.43
bhr,2000,2.35
bhr,2001,2.33
bhr,2002,2.29
bhr,2003,2.24
bhr,2004,2.73
bhr,2005,2.23
bhr,2006,2.25
bhr,2007,2.15
bhr,2008,2.11
bhr,2009,2.06
bhr,2010,1.45
bhr,2011,1.46
bhr,2012,1.48
bhr,2013,1.5
bhr,2014,1.52
bhr,2015,1.54
bhr,2016,1.53
bhr,2017,1.52
bhr,2018,1.5
bhr,2019,1.49
bhs,1991,8.6
bhs,1992,10
bhs,1993,9.13
bhs,1994,9.76
bhs,1995,9.29
bhs,1996,11.19
bhs,1997,10.56
bhs,1998,10.38
bhs,1999,11.49
bhs,2000,10.95
bhs,2001,10.44
bhs,2002,11.22
bhs,2003,9.73
bhs,2004,9.66
bhs,2005,9.4
bhs,2006,9.14
bhs,2007,8.91
bhs,2008,8.54
bhs,2009,9.01
bhs,2010,9.19
bhs,2011,9.33
bhs,2012,9.48
bhs,2013,9.37
bhs,2014,9.27
bhs,2015,9.23
bhs,2016,9.06
