global,time,en_atm_noxe_ag_zs
world,1970,57.65118
world,1971,58.0624
world,1972,56.3636
world,1973,56.97519
world,1974,56.74274
world,1975,58.05425
world,1976,57.12982
world,1977,57.09311
world,1978,57.20707
world,1979,57.28809
world,1980,58.00882
world,1981,58.31899
world,1982,57.49778
world,1983,58.59008
world,1984,60.02649
world,1985,60.13776
world,1986,59.6729
world,1987,58.78239
world,1988,60.34194
world,1989,60.69557
world,1990,78.18826
world,1991,78.1289
world,1992,78.11294
world,1993,77.91786
world,1994,75.7681
world,1995,75.70642
world,1996,75.44895
world,1997,75.32275
world,1998,76.33612
world,1999,77.32504
world,2000,76.7575
world,2001,76.99938
world,2002,77.29099
world,2003,76.96198
world,2004,77.12787
world,2005,77.08163
world,2006,77.23459
world,2007,77.67071
world,2008,77.86575
