geo,time,se_sec_cuat_po_fe_zs
dom,2016,25.86455
egy,1986,1.76339
egy,1996,6.77644
egy,2006,12.80739
egy,2017,12.67203
esp,2004,20.61548
esp,2005,22.28287
esp,2006,22.70179
esp,2007,23.30871
esp,2008,23.66749
esp,2009,24.37874
esp,2010,25.19321
esp,2011,26.00978
esp,2012,26.61984
esp,2014,28.86132
esp,2015,29.56356
esp,2016,30.2788
esp,2018,31.47732
esp,2020,34.10209
est,2000,34.03044
est,2020,54.89906
eth,2007,1.37115
eth,2011,3.78038
fin,1985,11.7
fin,1990,13.32668
fin,2013,37.70744
fin,2014,38.31182
fin,2015,38.72916
fin,2017,40.11681
fin,2019,41.73662
fji,1996,6.90427
fji,2007,14.55701
fra,1990,10.25227
fra,2004,19.74101
fra,2005,20.65707
fra,2007,22.69539
fra,2008,23.38543
fra,2009,24.64149
fra,2010,24.75402
fra,2011,25.5094
fra,2012,26.40516
fra,2013,27.83461
fra,2014,29.27767
fra,2015,31.28231
fra,2016,30.28495
fra,2017,30.97692
fra,2019,33.1335
gbr,2009,31.45684
gbr,2010,34.02222
gbr,2011,31.8825
gbr,2012,37.2988
geo,2002,48.43938
geo,2012,51.15748
geo,2014,52.69332
geo,2016,54.63801
geo,2017,61.61881
geo,2019,60.0919
gha,1970,0.1
gha,2010,8.07155
gin,1996,1.65631
gin,2010,1.89084
gin,2014,2.48537
gin,2018,2.84055
gmb,1973,0.09143
grc,1981,4.9
grc,2005,21.85983
grc,2006,21.69165
grc,2007,23.81443
grc,2008,24.30716
grc,2010,25.97694
grc,2014,28.72995
grc,2015,30.10105
grc,2016,26.38127
grc,2020,34.27048
grd,1970,0.44679
grd,1981,0.7844
grl,2012,15.70432
grl,2014,16.21852
grl,2015,16.73851
grl,2018,17.66078
grl,2019,18.33275
gtm,2002,3.19588
gtm,2006,2.36174
gtm,2012,2.21422
gtm,2013,3.37545
gtm,2014,8.58098
gum,1970,19.88012
gum,1980,30.85144
gum,1990,37.80649
guy,1970,0.39769
guy,1980,0.89971
guy,2002,2.42665
hkg,1971,1.37461
hkg,1976,2
hkg,1981,5.01067
hkg,1986,5.8
hkg,1991,8.31208
hkg,1996,12.16409
hkg,2006,19.73331
hkg,2008,20.3007
hkg,2009,20.27641
hkg,2010,20.55261
hkg,2011,21.846
hkg,2014,24.14948
hkg,2015,24.81957
hkg,2017,26.15938
hkg,2019,28.22413
hti,1971,0.19243
hti,1982,0.45418
hun,2001,12.55362
hun,2005,15.46709
hun,2011,22.93779
hun,2012,24.5008
hun,2013,30.51309
hun,2014,28.74326
hun,2015,29.06559
hun,2016,28.89218
hun,2020,32.91731
idn,2007,6.25873
idn,2008,6.05124
ind,1971,0.34053
ind,1981,1.0637
ind,2011,7.17074
irl,1971,3.60848
irl,1981,6.49269
irl,1991,12.7314
irl,2007,39.31735
irl,2010,45.52856
irl,2011,38.27864
irl,2017,43.89591
irn,2006,15.21264
irn,2008,14.28144
irn,2010,17.50903
irn,2012,18.3677
irn,2013,20.58201
irn,2014,21.12225
irn,2016,22.88965
irq,2013,16.47854
isl,2005,31.85861
isl,2019,48.48278
isl,2020,47.86977
ita,2001,9.09796
ita,2005,10.836
ita,2006,11.52306
ita,2007,12.20748
ita,2008,12.97637
ita,2009,13.00521
ita,2010,13.27504
ita,2011,13.27289
ita,2012,14.19653
ita,2014,15.15113
ita,2015,15.84856
ita,2020,18.40935
jam,1970,0.76134
jam,1982,1.8
jam,1991,2.57768
jam,2011,17.74049
jor,2003,16.13796
jor,2008,25.49592
jor,2010,25.72065
jor,2018,33.63992
jor,2020,33.84632
jpn,1970,4.79645
jpn,1980,9.5318
kaz,1989,11.7
kaz,1999,39.75751
kaz,2007,60.79193
kaz,2009,56.72292
kaz,2018,79.04382
ken,1979,0.6
ken,2009,6.33554
ken,2010,6.75701
kgz,1999,30.86216
kgz,2009,30.49339
khm,2007,0.9789
khm,2008,0.91437
khm,2009,0.96275
khm,2014,3.57588
khm,2015,2.71598
kir,1978,0.4102
kna,1970,0.6
kna,1980,1.41129
kwt,1988,15.80181
kwt,2005,18.09389
kwt,2006,18.15597
kwt,2007,17.43613
kwt,2008,18.12441
kwt,2012,20.375
kwt,2013,17.62596
kwt,2015,20.27724
kwt,2017,24.25728
kwt,2018,25.56145
lbr,1974,0.79761
lby,1984,5.2
lca,1970,0.4
lca,1980,0.7629
lca,2010,18.1723
lca,2013,17.16829
lca,2019,17.58053
lie,1970,0.8
lie,2000,4.55396
lka,2001,35.73408
lka,2008,29.79556
lka,2009,30.18272
lso,2006,1.67623
lso,2008,5.62527
ltu,2005,47.41473
ltu,2006,49.95716
ltu,2007,51.07751
ltu,2008,51.1827
ltu,2009,52.16684
ltu,2010,52.74856
ltu,2011,53.65822
ltu,2012,53.90017
ltu,2013,54.16007
ltu,2014,55.39402
ltu,2015,56.58366
ltu,2016,57.67239
ltu,2017,58.43132
ltu,2020,62.03967
lux,1991,8.82182
lux,2001,33.41039
lux,2007,24.2067
lva,1989,13.01152
lva,2004,34.41173
lva,2005,34.50569
lva,2006,39.5079
lva,2007,31.94267
lva,2008,34.89537
lva,2009,36.15928
lva,2010,38.43682
lva,2011,40.61329
lva,2012,42.53242
lva,2013,44.76406
lva,2014,45.18272
lva,2015,45.63121
lva,2016,47.09792
lva,2018,51.20036
lva,2019,55.6172
mac,1970,0.87453
mac,2006,13.54994
mac,2011,18.73685
mac,2016,25.99633
mco,1975,10.10489
mda,1989,10.6
mda,2007,33.66563
mda,2008,34.24798
mda,2009,35.16977
mda,2010,35.42511
mda,2011,36.53989
mda,2012,51.33627
mdv,2006,3.32724
mex,2016,14.00814
mex,2017,14.49476
mex,2018,15.34176
mex,2020,18.28479
mhl,2011,14.15365
mkd,2002,10.72637
mkd,2020,22.53001
mli,1976,0.05378
mli,2006,2.56494
mli,2011,1.72312
mli,2015,6.6057
mli,2016,2.95546
mli,2018,3.54663
mli,2020,1.51893
mlt,2000,6.16514
mlt,2005,9.02893
mlt,2007,13.15363
mlt,2010,15.78502
mlt,2011,15.94858
mlt,2012,18.56656
mlt,2013,19.97374
mlt,2014,20.38247
mlt,2015,21.42603
mlt,2016,21.96828
mlt,2018,27.68112
mlt,2020,31.76395
mmr,2019,11.4943
mng,2000,32.32971
mng,2010,40.1131
mng,2020,46.3619
mrt,1988,0.3
mus,1972,0.47625
mus,1983,1.93704
mus,1990,0.9
mus,2000,6.16514
mus,2011,10.57862
mwi,1977,0.07729
mwi,1987,0.16093
mwi,1998,0.25429
mys,1980,1.01675
mys,1996,5.52377
mys,2000,9.9032
mys,2005,4.84695
mys,2009,14.90082
mys,2010,15.69834
mys,2016,21.71651
mys,2019,23.44106
nam,1991,3.75812
nam,2001,5.08324
ner,2012,0.96024
nld,1971,4.8
nld,2005,25.61837
nld,2007,28.37862
nld,2008,27.91347
nld,2009,28.84649
nld,2010,28.95826
nld,2011,28.66701
nld,2012,29.15531
nld,2013,27.63562
nld,2014,28.30348
nld,2015,29.16947
nld,2016,30.06864
nld,2018,31.89527
nld,2020,35.6632
nor,1970,4.7
nor,1975,6.2
nor,1980,8.85705
nor,1990,16.29098
nor,2004,29.05755
nor,2005,30.14445
nor,2006,31.01567
nor,2007,31.90443
nor,2008,33.21681
nor,2009,33.97801
nor,2010,35.01201
nor,2011,36.36808
nor,2014,39.45579
nor,2015,40.19691
nor,2016,41.19283
nor,2017,42.27925
nor,2019,44.10386
npl,1971,0.03689
npl,1981,0.30948
npl,2001,2.69195
npl,2011,5.34393
nzl,1981,27.12127
nzl,1991,32.88385
nzl,2001,32.72749
nzl,2006,39.12833
nzl,2011,43.97468
nzl,2012,43.30794
nzl,2014,41.07334
nzl,2015,39.83462
nzl,2016,41.83322
nzl,2020,48.13676
omn,2003,13.61971
omn,2008,17.33988
omn,2010,19.97161
omn,2015,27.16537
omn,2020,31.46599
pak,2005,2.10417
pak,2006,3.5205
pak,2008,3.38158
pak,2009,4.50911
pak,2010,4.73928
pak,2011,4.57596
pak,2012,4.91369
pak,2013,5.22017
pak,2014,6.08884
pak,2016,6.08884
pak,2017,6.16783
pak,2018,2.65594
pak,2019,3.66775
pan,1980,7.74741
pan,1990,14.29216
pan,2000,12.2255
pan,2010,25.77227
per,1972,2.99389
per,1981,8.18871
per,1993,18.43971
per,2004,11.75915
per,2005,15.13868
per,2006,16.00166
per,2007,17.06192
per,2008,17.22771
per,2009,17.83239
per,2010,19.90957
per,2011,20.9165
per,2012,21.73032
per,2013,20.57744
per,2014,20.96669
per,2015,20.84088
per,2018,21.14508
phl,1970,8.80017
phl,1975,11.24749
phl,1980,15.07201
phl,1990,18.99497
phl,2000,16.24831
phl,2004,28.97518
phl,2008,30.98133
phl,2010,32.10374
phl,2013,34.26012
phl,2017,23.15165
phl,2019,33.14015
pol,2002,17.88861
pol,2008,23.34611
pol,2009,24.99535
pol,2010,26.6428
pol,2011,27.73382
pol,2012,28.53498
pol,2013,29.55441
pol,2014,30.84604
pol,2016,32.51405
pol,2020,36.21068
pri,1970,11.2852
pri,1980,18.30281
pri,1990,30.18621
pri,2000,40.08494
pri,2005,45.12981
pri,2006,44.40076
pri,2007,44.45611
pri,2008,46.34042
pri,2011,47.93033
pri,2017,55.35476
prt,2004,11.86456
prt,2005,12.16933
prt,2006,12.83829
prt,2007,13.23752
prt,2008,13.69339
prt,2009,13.98445
prt,2010,14.9116
prt,2011,15.89382
prt,2012,17.09152
prt,2013,18.3956
prt,2014,20.32187
prt,2015,21.08305
prt,2016,22.01965
prt,2017,22.3955
prt,2018,21.99003
prt,2019,23.7718
prt,2020,25.81061
pry,2005,14.96953
pry,2006,11.89319
pyf,2007,17.88201
qat,1986,15.3
qat,2004,34.96276
qat,2007,38.33902
qat,2008,41.51422
qat,2009,43.2807
qat,2010,36.25558
qat,2011,35.19431
qat,2012,37.75203
qat,2013,38.52913
qat,2014,40.22638
qat,2016,40.24642
qat,2017,41.05662
rou,1992,5.46898
rou,2002,10.90891
rou,2007,13.30027
rou,2008,14.14302
rou,2009,14.68985
rou,2010,15.08642
rou,2011,15.96585
rou,2012,16.54444
rou,2013,17.15765
rou,2014,16.9006
rou,2015,17.57986
rou,2016,17.60848
rou,2017,17.80679
rou,2019,18.65981
rus,1989,13.78574
rus,2002,60.32495
rus,2010,64.73761
rwa,1978,0.09446
sau,2000,9.4599
sau,2004,19.41986
sau,2013,24.49958
sau,2017,30.8005
sau,2020,36.44291
sen,2006,1.64623
sen,2011,1.6035
sen,2013,2.57515
sen,2017,4.55425
sgp,2005,34.40527
sgp,2006,32.87253
sgp,2007,34.11811
sgp,2008,36.28095
sgp,2009,37.21604
sgp,2010,42.42228
sgp,2011,42.60574
sgp,2012,44.27297
sgp,2013,45.84262
