geo,time,bm_trf_prvt_cd
atg,2008,14026806.66667
atg,2009,11441480.37037
atg,2010,16022895.92593
atg,2011,14510124.07407
atg,2012,14915648.88889
atg,2013,15363517.40741
atg,2014,76357110.90999
atg,2015,85925654.99201
atg,2016,88757301.58072
atg,2017,98477547.28423
atg,2018,100928288.4717
atg,2019,100339677.32562
atg,2020,103799917.19126
aus,1989,921536547.98816
aus,1990,1167324049.91069
aus,1991,1317003558.73609
aus,1992,1560499301.56662
aus,1993,1573129398.5324
aus,1994,1691880308.87861
aus,1995,1763528046.43462
aus,1996,2533331756.18925
aus,1997,3153437313.37923
aus,1998,2789071484.04484
aus,1999,2840983333.61222
aus,2000,2412852071.80628
aus,2001,1929479129.56976
aus,2002,2103260101.91833
aus,2003,2620399556.31921
aus,2004,3308147990.30515
aus,2005,3786552128.11524
aus,2006,4290193178.36683
aus,2007,4830374369.5431
aus,2008,5270424943.49929
aus,2009,4877667407.4989
aus,2010,6195213902.78616
aus,2011,8201467068.60697
aus,2012,8245076206.14269
aus,2013,5858830102.04799
aus,2014,5145758148.99671
aus,2015,4371481474.02176
aus,2016,4326393911.88663
aus,2017,4628971674.64426
aus,2018,4791073579.80649
aus,2019,4841368607.60736
aus,2020,5061049935.24333
aut,2005,2478177709.43602
aut,2006,1879847469.37847
aut,2007,2088062130.07289
aut,2008,2923796601.37005
aut,2009,2351897010.17449
aut,2010,2238698001.8759
aut,2011,2427504869.72402
aut,2012,2472960558.10795
aut,2013,2849366420.91283
aut,2014,2401348181.1484
aut,2015,4278356345.63631
aut,2016,4806819101.6759
aut,2017,4923385571.84331
aut,2018,5124789057.10624
aut,2019,4920080363.41992
aut,2020,4543005474.64436
aze,1995,13220000
aze,1996,40539000
aze,1997,47039000
aze,1998,76361000
aze,1999,45799000
aze,2000,58610000
aze,2001,97260000
aze,2002,152600000
aze,2003,84915000
aze,2004,68282000
aze,2005,135025000
aze,2006,174810000
aze,2007,299430000
aze,2008,433409000
aze,2009,550426000
aze,2010,879408000
aze,2011,1175809000
aze,2012,1970880000
aze,2013,1714586000
aze,2014,1815795000
aze,2015,980534000
aze,2016,530042000
aze,2017,378257000
aze,2018,403923000
aze,2019,459485000
aze,2020,569414000
bdi,1985,1159989.47724
bdi,1986,1629134.0554
bdi,1987,1788549.23838
bdi,1988,1709462.5877
bdi,1989,579831.93277
bdi,1990,309479.26221
bdi,1991,385648.19427
bdi,1992,518476.31971
bdi,1993,572534.80517
bdi,1994,748033.44382
bdi,1995,1149114.6412
bdi,1996,545010.12948
bdi,1997,3981826.82506
bdi,1998,1668282.71474
bdi,1999,726095.1536
bdi,2000,745830.28834
bdi,2001,1303661.89494
bdi,2002,1774484.53262
bdi,2003,1437069.33181
bdi,2004,1705877.00972
bdi,2005,1731268.05716
bdi,2006,2541306.30589
bdi,2007,241618.74968
bdi,2008,1968894.36468
bdi,2009,3243186.12126
bdi,2010,12661646.2342
bdi,2011,13540370.37233
bdi,2012,9931122.4523
bdi,2013,15929294.59104
bdi,2014,20718740.70594
bdi,2015,29813378.51579
bdi,2016,31144910.83588
bdi,2017,23880443.36357
bdi,2018,32256405.81602
bel,2002,4519628001.12646
bel,2003,6393760457.60237
bel,2004,7153508833.80232
bel,2005,7703491718.11638
bel,2006,7030143894.9616
bel,2007,7830027672.21619
bel,2008,9414154350.19703
bel,2009,10919957313.2431
bel,2010,10736588910.8225
bel,2011,11804147003.5173
bel,2012,12079776772.5652
bel,2013,11936478426.3659
bel,2014,12297463499.0771
bel,2015,11049809048.1461
bel,2016,11265282226.6282
bel,2017,11911309207.476
bel,2018,14878162722.0879
bel,2019,15638435737.3106
bel,2020,16496140122.4984
ben,1974,3190631.93721
ben,1975,3107605.74347
ben,1976,1812090.83215
ben,1977,1908989.736
ben,1978,2472791.97368
ben,1979,3046234.44524
ben,1980,3582930.67455
ben,1981,3694824.39584
ben,1982,2604941.30276
ben,1983,2750179.49889
ben,1984,5286565.42139
ben,1985,2225867.88362
ben,1986,2887620.42384
ben,1987,3327382.17277
ben,1988,17645564.64643
ben,1989,17496096.52463
ben,1990,23638018.15267
ben,1991,24492842.19651
ben,1992,23057759.94078
ben,1993,23350189.88623
ben,1994,24411717.16675
ben,1995,27675535.53846
ben,1996,32645725.07476
ben,1997,16742355.28343
ben,1998,30509273.42866
ben,1999,13516426.0308
ben,2000,7744210.39734
ben,2001,8085770.96091
ben,2002,14010112.0013
ben,2003,5299213.03546
ben,2004,5023343.35434
ben,2005,32192946.00602
ben,2006,54038314.07708
ben,2007,105460601.81611
ben,2008,71502235.51001
ben,2009,69446006.21449
ben,2010,63553687.6655
ben,2011,56363793.01792
ben,2012,78466756.71737
ben,2013,100188474.76346
ben,2014,136596250.66636
ben,2015,87466638.72933
ben,2016,75343869.28691
ben,2017,68938318.59943
ben,2018,87023995.32692
ben,2019,83155153.73649
ben,2020,99380100.39426
bfa,2005,71352116.27739
bfa,2006,75402120.65192
bfa,2007,82016787.54469
bfa,2008,89147973.78106
bfa,2009,87732462.22933
bfa,2010,106035991.1295
bfa,2011,107546202.22538
bfa,2012,89662974.58689
bfa,2013,160710610.34812
bfa,2014,171888081.17832
bfa,2015,196643605.66056
bfa,2016,202708170.40305
bfa,2017,212841941.6251
bfa,2018,226547272.19412
bfa,2019,219944662.41639
bfa,2020,232630308.85153
bgd,1976,720442.67739
bgd,1977,517298.77539
bgd,1978,266491.79308
bgd,1979,195129.68571
bgd,1980,392002.40057
bgd,1981,223066.70546
bgd,1982,133171.51112
bgd,1983,202555.75202
bgd,1984,196470.69614
bgd,1985,448446.37921
bgd,1986,296348.01581
bgd,1987,420076.93729
bgd,1988,1455752.39685
bgd,1989,650759.21909
bgd,1990,669008.38661
bgd,1991,328857.80084
bgd,1992,718599.49534
bgd,1993,1512358.24654
bgd,1994,2188895.76285
bgd,1995,1840394.25138
bgd,1996,3290716.67515
bgd,1997,3737096.50706
bgd,1998,4975832.14312
bgd,1999,4256030.04513
bgd,2000,6243043.72633
bgd,2001,4380000.71535
bgd,2002,5475816.61836
bgd,2003,7550308.18152
bgd,2004,11933279.55653
bgd,2005,9821934.4239
bgd,2006,7378715.25363
bgd,2007,8153226.13457
bgd,2008,149365251.94222
bgd,2009,265928219.62189
bgd,2010,361320189.93375
bgd,2011,484315606.94864
bgd,2012,243594264.442
bgd,2013,52609103.06311
bgd,2014,77378436.16383
bgd,2015,88225764.37639
bgd,2016,115639075.20235
bgd,2017,110811493.89316
bgd,2018,145981283.82783
bgd,2019,204352995.86799
bgd,2020,218914141.38476
bgd,2021,273776564.22352
bgr,1980,22000000
bgr,1981,16000000
bgr,1982,21000000
bgr,1983,25000000
bgr,1984,28000000
bgr,1985,25000000
bgr,1986,22000000
bgr,1987,53000000
bgr,1988,80000000
bgr,1989,66000000
bgr,1990,107000000
bgr,1991,54300000
bgr,1992,71200000
bgr,1993,249000000
bgr,1994,183400000
bgr,1995,124900000
bgr,1996,127400000
bgr,1997,38100000
bgr,1998,20222154.61085
bgr,1999,16184350.15052
bgr,2000,44915487.58917
bgr,2001,59311770.9676
bgr,2002,90388481.72842
bgr,2003,138262010.31076
bgr,2004,166244050.52384
bgr,2005,186650049.48423
bgr,2006,197109407.21328
bgr,2007,321628790.19134
bgr,2008,445336077.3922
bgr,2009,220691271.39654
bgr,2010,54120000
bgr,2011,59850000
bgr,2012,77280000
bgr,2013,55680000
bgr,2014,112140000
bgr,2015,321510000
bgr,2016,384260000
bgr,2017,426200000
bgr,2018,571950000
bgr,2019,655820000
bgr,2020,592390000
bhr,1975,76359039.38397
bhr,1976,84934456.17707
bhr,1977,101099456.84595
bhr,1978,131886851.22996
bhr,1979,93549169.18161
bhr,1980,95755908.5547
bhr,1981,106648936.45385
bhr,1982,117553191.802
bhr,1983,102127659.84608
bhr,1984,125531915.03273
bhr,1985,234840425.53192
bhr,1986,264627659.57447
bhr,1987,244148936.17021
bhr,1988,193085106.38298
bhr,1989,198936170.21277
bhr,1990,332180851.06383
bhr,1991,369148936.17021
bhr,1992,335638297.87234
bhr,1993,395744692.25328
bhr,1994,430585146.46404
bhr,1995,499734081.31802
bhr,1996,559308558.98279
bhr,1997,634840484.62611
bhr,1998,725000072.30719
bhr,1999,856171707.01306
bhr,2000,1012681829.78723
bhr,2001,1286918851.06383
bhr,2002,871542553.19149
bhr,2003,1082180851.06383
bhr,2004,1119946808.51064
bhr,2005,1223404255.31915
bhr,2006,1530851063.82979
bhr,2007,1482771276.59574
bhr,2008,1774489021.2766
bhr,2009,1390957446.80851
bhr,2010,1641755319.14894
bhr,2011,2050000000
bhr,2012,2074468085.10638
bhr,2013,2165957446.80851
bhr,2014,2364361702.12766
bhr,2015,2367287234.04255
bhr,2016,2391489361.70213
bhr,2017,2465957446.80851
bhr,2018,3268882978.7234
bhs,1976,3000000
bhs,1977,17000000
bhs,1978,21100000
bhs,1979,14800000
bhs,1980,18300000
bhs,1981,12600000
bhs,1982,16900000
bhs,1983,8800000
bhs,1984,13100000
bhs,1985,13200000
bhs,1986,13700000
bhs,1987,17300000
bhs,1988,27100000
bhs,1989,2300000
bhs,1990,4200000
bhs,1991,2500000
bhs,1992,4200000
bhs,1993,4300000
bhs,1994,3000000
bhs,1995,3900000
bhs,1996,4100000
bhs,1997,5700000
bhs,1998,4900000
bhs,1999,6200000
bhs,2000,5170000
bhs,2001,5120000
bhs,2002,7837730
bhs,2003,6450000
bhs,2004,8100000
bhs,2005,10786350
bhs,2006,7490000
bhs,2007,10310000
bhs,2008,88695910
bhs,2009,74470000
bhs,2010,91150000
bhs,2011,150230000
bhs,2012,111352000
bhs,2013,120525000
bhs,2014,119458244.969
bhs,2015,177609054.9772
bhs,2016,241854550.6041
bhs,2017,265643574.19403
bhs,2018,261816406.8758
bhs,2019,241646559.35
bhs,2020,219771188.27
bih,1998,86250002.47026
bih,1999,86437316.38166
bih,2000,75375705.84711
bih,2001,72915689.46797
bih,2002,101912796.83852
bih,2003,123155324.69442
bih,2004,209600835.64748
bih,2005,140253761.71655
bih,2006,164710999.69265
bih,2007,58506709.43557
bih,2008,46966309.58334
bih,2009,49423891.2445
bih,2010,41123218.46091
bih,2011,48670666.86147
bih,2012,44496914.48521
bih,2013,47258828.70483
bih,2014,54154915.49985
bih,2015,60372387.68659
bih,2016,62892188.54213
bih,2017,64726036.97034
bih,2018,86994562.21828
bih,2019,86562229.00055
bih,2020,100433068.4234
blr,1993,4700000
blr,1994,24500000
blr,1995,28600000
blr,1996,33700000
blr,1997,17800000
blr,1998,3000000
blr,1999,10100000
blr,2000,13600000
blr,2001,36200000
blr,2002,52900000
blr,2003,54900000
blr,2004,76900000
blr,2005,92700000
blr,2006,108100000
blr,2007,155000000
blr,2008,222600000
blr,2009,219700000
blr,2010,195900000
blr,2011,242900000
blr,2012,344100000
blr,2013,263000000
blr,2014,373600000
blr,2015,331300000
blr,2016,420000000
blr,2017,556100000
blr,2018,736100000
blr,2019,832800000
blr,2020,763700000
blr,2021,801563921.19
blz,1984,2500000
blz,1985,2000000
blz,1986,2950000
blz,1987,2300000
blz,1988,2600000
blz,1989,2350000
blz,1990,3150000
blz,1991,2900000
blz,1992,3500000
blz,1993,2800000
blz,1994,3936000
blz,1995,3735000
blz,1996,1035000
blz,1997,1155000
blz,1998,1100000
blz,1999,1229500
blz,2000,1043047.17
blz,2001,11734203.25148
blz,2002,12810610.46892
blz,2003,15107957.4602
blz,2004,12560496.45269
blz,2005,14769318.10935
blz,2006,15751110.52897
blz,2007,17997058.92861
blz,2008,23859601.85482
blz,2009,18663326.30644
blz,2010,18566226.37239
blz,2011,20088837.12096
blz,2012,23223727.77447
blz,2013,26724640.31735
blz,2014,28292194.39713
blz,2015,36565744.83646
blz,2016,41787793.13181
blz,2017,41376441.61778
blz,2018,39285805.76366
blz,2019,38256120.50119
blz,2020,38404968.8587
bmu,2006,131780000
bmu,2007,154620942.38808
bmu,2008,178746102.71009
bmu,2009,211797866.13862
bmu,2010,213566694.64358
bmu,2011,216720567.08706
bmu,2012,234915262.5033
bmu,2013,242133952.1681
bmu,2014,262331640.6813
bmu,2015,309516487.10636
bmu,2016,327651584.50844
bmu,2017,375052234.51966
bmu,2018,333211454.25653
bmu,2019,383390154.7889
bmu,2020,391924678.37295
bol,1976,800000
bol,1977,900000
bol,1978,1000000
bol,1979,1000000
bol,1980,1300000
bol,1981,1200000
bol,1982,1200000
bol,1983,1200000
bol,1984,1100000
bol,1985,1500000
bol,1986,700000
bol,1987,1100000
bol,1988,4100000
bol,1989,1300000
bol,1990,1300000
bol,1991,1600000
bol,1992,1800000
bol,1993,2200000
bol,1994,2000000
bol,1995,2000000
bol,1996,2800000
bol,1997,6800000
bol,1998,9700000
bol,1999,26600000
bol,2000,31200000
bol,2001,30180000
bol,2002,34100000
bol,2003,40381410.24611
bol,2004,46179782.92616
bol,2005,62464367.35045
bol,2006,69596356.36687
bol,2007,76218289.447
bol,2008,102890649.60072
bol,2009,99720000
bol,2010,103534071.7
bol,2011,117431765.4478
bol,2012,147352141.87424
bol,2013,169698357.51338
bol,2014,179723866.76576
bol,2015,208709393.78474
bol,2016,221120853.80517
bol,2017,232966268.61235
bol,2018,251494594.4226
bol,2019,294278014.98471
bol,2020,214186265.42713
bra,1975,13000000
bra,1976,4000000
bra,1977,16000000
bra,1978,37000000
bra,1979,187000000
bra,1980,158000000
bra,1981,149000000
bra,1982,190000000
bra,1983,20000000
bra,1984,16000000
bra,1985,10000000
bra,1986,38000000
bra,1987,30000000
bra,1988,7000000
bra,1989,10000000
bra,1990,39000000
bra,1991,39000000
bra,1992,52000000
bra,1993,64000000
bra,1994,110000000
bra,1995,161000000
bra,1996,180000000
bra,1997,239018000
bra,1998,257436000
bra,1999,198943000
bra,2000,233079000
bra,2001,231895000
bra,2002,178892000
bra,2003,197111000
bra,2004,223689000
bra,2005,353085000
bra,2006,420655000
bra,2007,813450000
bra,2008,983276000
