global,time,dt_oda_odat_cd
world,1960,4266510253.90625
world,1961,5263470214.84375
world,1962,5363790039.0625
world,1963,5829490234.375
world,1964,5780260253.90625
world,1965,6319899902.34375
world,1966,6425359863.28125
world,1967,6505080078.125
world,1968,5885640136.71875
world,1969,5952000000
world,1970,6574020019.53125
world,1971,7489750000
world,1972,7943260253.90625
world,1973,10592700195.3125
world,1974,14316839843.75
world,1975,18382650390.625
world,1976,17741070312.5
world,1977,18543939453.125
world,1978,24892791015.625
world,1979,28217009765.625
world,1980,33923820312.5
world,1981,32628810546.875
world,1982,29677349609.375
world,1983,28472390625
world,1984,29485240234.375
world,1985,31429939453.125
world,1986,36894898437.5
world,1987,40696648437.5
world,1988,43560320312.5
world,1989,44908121093.75
world,1990,56992640625
world,1991,60315570312.5
world,1992,59485910156.25
world,1993,54643871093.75
world,1994,58873511718.75
world,1995,57608417968.75
world,1996,54725230468.75
world,1997,47624121093.75
world,1998,50350960937.5
world,1999,51755082031.25
world,2000,48684570312.5
world,2001,50846082031.25
world,2002,60718582031.25
world,2003,70148929687.5
world,2004,78650679687.5
world,2005,107103093750
world,2006,105563539062.5
world,2007,106720140625
world,2008,124805570312.5
world,2009,124591007812.5
world,2010,128556500000
world,2011,139476078125
world,2012,133544906250
world,2013,151136015625
world,2014,161370468750
world,2015,146690734375
world,2016,158644656250
world,2017,164829781250
world,2018,166254859375
world,2019,167800328125
