global,time,bm_gsr_insf_zs
world,1982,3.7437
world,1983,3.71052
world,1984,4.16901
world,1985,4.47158
world,1986,4.54003
world,1987,4.81959
world,1988,4.87046
world,1989,4.69281
world,1990,5.20751
world,1991,5.57714
world,1992,6.80739
world,1993,6.25871
world,1994,4.89262
world,1995,5.2972
world,1996,4.8852
world,1997,5.21592
world,1998,5.01853
world,1999,6.42009
world,2000,6.51973
world,2001,7.05694
world,2002,7.57196
world,2003,7.73506
world,2004,8.01033
world,2005,8.07031
world,2006,9.24982
world,2007,9.21244
world,2008,8.86974
world,2009,9.30156
world,2010,9.26768
world,2011,8.98482
world,2012,8.64469
world,2013,8.70527
world,2014,8.43945
world,2015,8.25763
world,2016,8.39822
world,2017,8.26463
world,2018,8.04241
world,2019,7.95046
world,2020,10.18537
