geo,time,er_mrn_ptmr_zs
abw,2017,0.00011
abw,2018,0.00011
abw,2019,0.00011
abw,2020,0.00011
abw,2021,0.00011
ago,2016,0.00486
ago,2017,0.00493
ago,2018,0.00493
ago,2019,0.00493
ago,2020,0.00493
ago,2021,0.00493
alb,2016,2.71443
alb,2017,2.71803
alb,2018,2.71803
alb,2019,2.83928
alb,2020,2.83928
alb,2021,2.83928
are,2016,4.26971
are,2017,11.27035
are,2018,11.27035
are,2019,11.27034
are,2020,11.48045
are,2021,11.48045
arg,2016,4.01994
arg,2017,3.79699
arg,2018,3.79699
arg,2019,11.76767
arg,2020,11.76653
arg,2021,11.76653
asm,2016,8.71082
asm,2017,8.71588
asm,2018,8.71588
asm,2019,8.71588
asm,2020,0.00221
asm,2021,8.72374
atg,2016,0.19172
atg,2017,0.1815
atg,2018,0.1815
atg,2019,0.1815
atg,2020,0.29951
atg,2021,0.29994
aus,2016,40.65344
aus,2017,40.55941
aus,2018,40.55941
aus,2019,40.55941
aus,2020,40.84466
aus,2021,44.33664
aze,2016,0.43653
aze,2017,0.43693
aze,2018,0.43693
aze,2019,0.43693
aze,2020,0.43693
aze,2021,0.43693
bel,2016,36.65118
bel,2017,36.65524
bel,2018,36.65524
bel,2019,36.65342
bel,2020,36.65342
bel,2021,36.65342
ben,2017,0
ben,2018,0
bgd,2016,5.35694
bgd,2017,5.35719
bgd,2018,5.35719
bgd,2019,5.35694
bgd,2020,5.35694
bgd,2021,5.35694
bgr,2016,8.10306
bgr,2017,8.10331
bgr,2018,8.10331
bgr,2019,8.10862
bgr,2020,8.10834
bgr,2021,8.10834
bhr,2016,1.24463
bhr,2017,1.24224
bhr,2018,1.24224
bhr,2019,1.24228
bhr,2020,1.24228
bhr,2021,1.24228
bhs,2016,0.56566
bhs,2017,7.92289
bhs,2018,7.92289
bhs,2019,7.92288
bhs,2020,7.92288
bhs,2021,7.92288
bih,2017,0
bih,2018,0
blz,2016,10.08006
blz,2017,10.07888
blz,2018,10.07888
blz,2019,10.07892
blz,2020,11.01918
blz,2021,11.01918
