geo,time,sl_tlf_acti_1524_ma_zs
afg,1990,62.13
afg,1991,61.987
afg,1992,61.762
afg,1993,61.494
afg,1994,61.204
afg,1995,60.886
afg,1996,60.816
afg,1997,60.847
afg,1998,60.938
afg,1999,61.05
afg,2000,61.173
afg,2001,61.376
afg,2002,61.572
afg,2003,61.767
afg,2004,61.969
afg,2005,62.17
afg,2006,62.067
afg,2007,61.975
afg,2008,61.877
afg,2009,61.761
afg,2010,61.631
afg,2011,61.598
afg,2012,61.561
afg,2013,60.954
afg,2014,60.307
afg,2015,59.612
afg,2016,58.842
afg,2017,58.013
afg,2018,57.828
afg,2019,57.629
afg,2020,51.098
ago,1990,56.006
ago,1991,56.241
ago,1992,56.354
ago,1993,56.248
ago,1994,56.238
ago,1995,56.196
ago,1996,56.324
ago,1997,56.285
ago,1998,56.127
ago,1999,55.887
ago,2000,55.614
ago,2001,55.607
ago,2002,55.589
ago,2003,55.456
ago,2004,55.361
ago,2005,55.305
ago,2006,55.48
ago,2007,55.63
ago,2008,55.733
ago,2009,55.731
ago,2010,55.718
ago,2011,57.831
ago,2012,57.937
ago,2013,57.933
ago,2014,57.859
ago,2015,57.683
ago,2016,57.51
ago,2017,57.275
ago,2018,56.945
ago,2019,56.547
ago,2020,55.618
alb,1990,58.753
alb,1991,60.927
alb,1992,61.314
alb,1993,60.701
alb,1994,60.157
alb,1995,59.273
alb,1996,58.493
alb,1997,59.179
alb,1998,58.413
alb,1999,57.357
alb,2000,56.727
alb,2001,55.958
alb,2002,55.56
alb,2003,52.688
alb,2004,49.802
alb,2005,46.907
alb,2006,43.918
alb,2007,40.944
alb,2008,38.012
alb,2009,39.315
alb,2010,39.522
alb,2011,51.511
alb,2012,44.41
alb,2013,35.691
alb,2014,37.166
alb,2015,39.244
alb,2016,37.16
alb,2017,37.97
alb,2018,43.192
alb,2019,42.922
alb,2020,39.452
are,1990,64.461
are,1991,65.095
are,1992,65.451
are,1993,65.869
are,1994,65.774
are,1995,65.692
are,1996,65.15
are,1997,64.777
are,1998,64.516
are,1999,64.338
are,2000,64.236
are,2001,63.971
are,2002,63.965
are,2003,63.9
are,2004,63.619
are,2005,63.145
are,2006,62.109
are,2007,61.49
are,2008,61.143
are,2009,61.132
are,2010,61.525
are,2011,61.855
are,2012,62.317
are,2013,62.896
are,2014,63.531
are,2015,64.152
are,2016,63.838
are,2017,63.533
are,2018,61.345
are,2019,61.34
are,2020,56.671
arg,1990,55.942
arg,1991,55.713
arg,1992,55.54
arg,1993,55.317
arg,1994,55.208
arg,1995,55.65
arg,1996,55.494
arg,1997,55.106
arg,1998,54.941
arg,1999,55.224
arg,2000,55.256
arg,2001,55.526
arg,2002,56.225
arg,2003,55.493
arg,2004,54.749
arg,2005,53.477
arg,2006,52.567
arg,2007,51.289
arg,2008,50.006
arg,2009,50.652
arg,2010,49.478
arg,2011,49.658
arg,2012,49.345
arg,2013,48.995
arg,2014,46.409
arg,2015,46.442
arg,2016,46.486
arg,2017,46.539
arg,2018,46.053
arg,2019,45.708
arg,2020,38.37
arm,1990,36.702
arm,1991,36.565
arm,1992,36.483
arm,1993,36.453
arm,1994,36.462
arm,1995,36.499
arm,1996,36.592
arm,1997,36.699
arm,1998,36.814
arm,1999,36.931
arm,2000,37.047
arm,2001,37.119
arm,2002,37.181
arm,2003,37.23
arm,2004,37.26
arm,2005,37.267
arm,2006,37.248
arm,2007,37.21
arm,2008,36.618
arm,2009,37.61
arm,2010,41.576
arm,2011,46.506
arm,2012,46.186
arm,2013,45.841
arm,2014,43.4
arm,2015,44.78
arm,2016,41.285
arm,2017,39.35
arm,2018,38.928
arm,2019,38.762
arm,2020,35.309
aus,1990,75.244
aus,1991,72.537
aus,1992,72.194
aus,1993,71.643
aus,1994,72.929
aus,1995,73.643
aus,1996,73.776
aus,1997,72.523
aus,1998,72.071
aus,1999,71.823
aus,2000,71.861
aus,2001,72.234
aus,2002,71.669
aus,2003,71.398
aus,2004,71.167
aus,2005,72.006
aus,2006,72.051
aus,2007,71.777
aus,2008,71.947
aus,2009,70.389
aus,2010,69.6
aus,2011,68.783
aus,2012,68.225
aus,2013,67.374
aus,2014,66.872
aus,2015,67.793
aus,2016,67.199
aus,2017,67.4
aus,2018,68.118
aus,2019,68.243
aus,2020,65.915
aut,1990,66.227
aut,1991,66.596
aut,1992,66.934
aut,1993,65.046
aut,1994,65.233
aut,1995,64.563
aut,1996,62.83
aut,1997,61.353
aut,1998,61.589
aut,1999,62.537
aut,2000,60.619
aut,2001,59.211
aut,2002,60.442
aut,2003,59.635
aut,2004,60.064
aut,2005,61.865
aut,2006,61.756
aut,2007,62.801
aut,2008,62.838
aut,2009,62.786
aut,2010,62.525
aut,2011,63.542
aut,2012,63.045
aut,2013,62.203
aut,2014,60.657
aut,2015,60.633
aut,2016,60.223
aut,2017,58.418
aut,2018,59.45
aut,2019,60.227
aut,2020,59.393
