global,time,tm_tax_mrch_br_zs
world,1995,29.94
world,1996,34.44
world,1997,29.8
world,1998,29.58
world,1999,34.94
world,2000,34.55
world,2001,33.83
world,2002,35.02
world,2003,35.27
world,2004,30.83
world,2005,31.02
world,2006,35.17
world,2007,32.85
world,2008,32.33
world,2009,31.16
world,2010,34.44
world,2011,33.75
world,2012,32.79
world,2013,33.13
world,2014,30.19
world,2015,30.68
world,2016,31.12
world,2017,35.5
