geo,time,sl_gdp_pcap_em_kd
afg,2002,5572.1848
afg,2003,5742.15372
afg,2004,5529.23236
afg,2005,5900.21414
afg,2006,6055.20527
afg,2007,6771.4643
afg,2008,6889.84467
afg,2009,8199.54684
afg,2010,9118.78898
afg,2011,8743.61768
afg,2012,9421.78292
afg,2013,9451.82117
afg,2014,9241.04762
afg,2015,8950.3945
afg,2016,8795.23408
afg,2017,8698.01717
afg,2018,8490.0857
afg,2019,8522.60601
afg,2020,9226.5471
ago,1991,14563.0916
ago,1992,13281.1761
ago,1993,9776.12844
ago,1994,9578.64836
ago,1995,10645.54881
ago,1996,11706.10162
ago,1997,12150.9263
ago,1998,12297.09795
ago,1999,12136.81522
ago,2000,12071.73764
ago,2001,12164.5393
ago,2002,13355.81062
ago,2003,13279.90255
ago,2004,14208.30618
ago,2005,15750.79464
ago,2006,16958.05028
ago,2007,18641.23416
ago,2008,19972.65633
ago,2009,19414.90815
ago,2010,20758.32732
ago,2011,20273.31914
ago,2012,21242.25134
ago,2013,21524.43876
ago,2014,21778.39242
ago,2015,21221.65438
ago,2016,19973.62026
ago,2017,19260.3366
ago,2018,18226.04048
ago,2019,17481.65477
ago,2020,16330.16063
alb,1991,8933.12586
alb,1992,10588.79589
alb,1993,11082.46292
alb,1994,11532.17141
alb,1995,12402.22367
alb,1996,13573.05605
alb,1997,12327.46124
alb,1998,14120.40028
alb,1999,16364.11256
alb,2000,17246.01101
alb,2001,18767.31674
alb,2002,19417.59825
alb,2003,20481.18746
alb,2004,21675.72123
alb,2005,23070.35252
alb,2006,24651.61797
alb,2007,26650.75468
alb,2008,28172.60162
alb,2009,28274.35719
alb,2010,29231.70103
alb,2011,27140.08548
alb,2012,28646.05149
alb,2013,32144.65114
alb,2014,32764.73713
alb,2015,31777.70785
alb,2016,31069.94778
alb,2017,31065.01001
alb,2018,31103.77253
alb,2019,30965.90929
alb,2020,31821.78296
are,1991,208045.99004
are,1992,200055.78694
are,1993,188523.96274
are,1994,188788.59349
are,1995,189455.83229
are,1996,189248.42392
are,1997,193069.63991
are,1998,182918.73871
are,1999,177811.25772
are,2000,185729.28722
are,2001,173560.36277
are,2002,164462.02843
are,2003,164102.66763
are,2004,161354.52772
are,2005,148252.17667
are,2006,137145.24733
are,2007,119121.03469
are,2008,105290.14222
are,2009,88323.03089
are,2010,82156.09873
are,2011,83761.50818
are,2012,85407.99954
are,2013,88892.98268
are,2014,92422.51788
are,2015,96389.97973
are,2016,98028.35625
are,2017,99744.07744
are,2018,101400.80802
are,2019,103390.29235
are,2020,101411.6674
arg,1991,38730.15879
arg,1992,41007.81752
arg,1993,44855.45352
arg,1994,47162.7223
arg,1995,49386.61096
arg,1996,49879.13607
arg,1997,51066.97294
arg,1998,50728.02966
arg,1999,49520.10584
arg,2000,49153.41741
arg,2001,48106.87673
arg,2002,44530.03635
arg,2003,44773.40888
arg,2004,46454.79242
arg,2005,49079.60747
arg,2006,51264.46898
arg,2007,54764.99424
arg,2008,56458.42844
arg,2009,52560.31963
arg,2010,57248.4717
arg,2011,59024.43087
arg,2012,57927.29595
arg,2013,58863.01014
arg,2014,57248.89117
arg,2015,58423.30669
arg,2016,57072.55771
arg,2017,58316.73181
arg,2018,55878.912
arg,2019,53836.0305
arg,2020,52536.33192
arm,1991,12571.51794
arm,1992,7454.46478
arm,1993,7199.20726
arm,1994,7853.85577
arm,1995,8544.87884
arm,1996,9378.10865
arm,1997,9877.3983
arm,1998,10415.48109
arm,1999,10931.10379
arm,2000,11500.81793
arm,2001,12495.02459
arm,2002,14026.63301
arm,2003,15862.59644
arm,2004,17397.84122
arm,2005,19724.47101
