geo,time,sl_uem_intm_fe_zs
afg,2014,24.36
afg,2017,41.26
afg,2020,26.49
ago,2004,26.78
ago,2009,5.83
ago,2011,21.59
ago,2014,17.24
alb,2007,23.18
alb,2008,18.6
alb,2009,19.6
alb,2010,19.74
alb,2011,17.54
alb,2012,13.17
alb,2013,16.99
alb,2014,20.99
alb,2015,23.01
alb,2016,18.37
alb,2017,15.69
alb,2018,8.96
alb,2019,7.59
are,1995,3.8
are,2005,9.9
are,2017,11.87
are,2018,8.24
arg,2002,22.59
arg,2003,21.3
arg,2004,18.96
arg,2005,16.71
arg,2006,15.82
arg,2008,11
arg,2009,11.84
arg,2010,12.07
arg,2011,11.16
arg,2012,11.45
arg,2013,10.5
arg,2014,10.58
arg,2017,11.25
arg,2018,13.25
arg,2019,13.37
arg,2020,15.31
arm,2007,37.48
arm,2008,27.27
arm,2009,20.36
arm,2010,21.92
arm,2011,19.71
arm,2012,18.18
arm,2013,17.73
arm,2014,19.62
arm,2015,19.28
arm,2016,17.73
arm,2017,17.49
arm,2018,20.33
arm,2019,19.17
arm,2020,16.82
aus,1995,15.08
aus,1997,9.44
aus,1998,7.94
aus,2000,7.51
aus,2001,6.91
aus,2002,6.43
aus,2003,6.75
aus,2004,6.51
aus,2005,5.38
aus,2006,6.1
aus,2007,4.48
aus,2008,4.51
aus,2009,6.04
aus,2010,5.76
aus,2011,5.86
aus,2012,5.82
aus,2013,6.82
aus,2014,7.11
aus,2015,7.05
aus,2016,6.32
aus,2017,6.22
aut,1994,3.32
aut,1998,4.77
aut,1999,4.54
aut,2000,3.99
aut,2001,3.56
aut,2002,4.33
aut,2003,3.73
aut,2004,4.8
aut,2005,5.09
aut,2006,4.8
aut,2007,4.38
aut,2008,3.69
aut,2009,4.16
aut,2010,4.13
aut,2011,3.9
aut,2012,4.22
aut,2013,4.54
aut,2014,4.67
aut,2015,5
aut,2016,5.39
aut,2017,4.49
aut,2018,4.12
aut,2019,3.85
aut,2020,4.85
aze,2007,5.68
aze,2008,5.56
aze,2009,6.06
aze,2010,5.33
aze,2011,5.26
aze,2012,5.52
aze,2014,5.62
aze,2015,5.61
aze,2016,6.04
aze,2017,5.93
aze,2018,5.82
aze,2020,8.64
bdi,2014,24.82
bel,1998,12.73
bel,1999,10.26
bel,2000,9.12
bel,2001,6.81
bel,2002,7.86
bel,2003,9.25
bel,2004,9.16
bel,2005,10.34
bel,2006,10.02
bel,2007,9.67
bel,2008,8.6
bel,2009,8.96
bel,2010,9.45
bel,2011,7.76
bel,2012,8.63
bel,2013,8.56
bel,2014,8.8
bel,2015,8.97
bel,2016,8.25
bel,2017,7.7
bel,2018,6.14
bel,2019,5.23
bel,2020,6.22
ben,2011,8.37
ben,2018,3.26
bfa,2014,10.26
bfa,2018,12.8
bgd,2006,13.21
bgd,2010,7.75
bgd,2013,14.25
bgd,2016,16.2
bgd,2017,13.68
bgr,2000,15.64
bgr,2001,18.98
bgr,2002,17.66
bgr,2003,12.36
bgr,2004,11.11
bgr,2005,9.56
bgr,2006,8.36
bgr,2007,6.26
bgr,2008,4.76
bgr,2009,6.16
bgr,2010,9.47
bgr,2011,9.48
bgr,2012,10.44
bgr,2013,11.73
bgr,2014,10.43
bgr,2015,8.03
bgr,2016,6.55
bgr,2017,5.27
bgr,2018,4.14
bgr,2019,2.99
bgr,2020,4.4
bih,2006,31.08
bih,2007,35.22
bih,2008,29.61
bih,2009,28.62
bih,2010,33.01
bih,2011,33.19
bih,2012,34.41
bih,2013,32.13
bih,2014,32.42
bih,2015,33.78
bih,2016,31.62
bih,2017,24.26
bih,2018,21.84
bih,2019,20.41
bih,2020,20.53
blr,2016,6.1
blr,2017,5.29
blr,2018,4.72
blr,2019,4.79
blr,2020,3.55
blz,2005,16.3
blz,2012,17.57
blz,2013,14.97
blz,2014,16.59
blz,2015,14.09
blz,2016,13.27
blz,2017,13.05
blz,2019,15.4
bmu,2000,2.45
bmu,2009,3.55
bmu,2010,3.94
bmu,2012,4.51
bol,1999,8.51
bol,2001,11.17
bol,2002,10.36
bol,2004,9.81
bol,2005,9.54
bol,2006,9.58
bol,2007,13.21
bol,2008,6.09
bol,2009,5.76
bol,2011,4.55
bol,2012,4.17
bol,2013,3.66
bol,2014,4.66
bol,2015,6.13
bol,2016,6.38
bol,2017,6.37
bol,2018,5.77
bol,2019,7.08
bol,2020,13.47
bra,1995,7.66
bra,1996,8.39
bra,1997,10.47
bra,1998,12.27
bra,1999,13.48
bra,2001,12.63
bra,2002,13.19
bra,2003,13.79
bra,2004,13.22
bra,2005,13.96
bra,2006,12.76
bra,2007,13.08
bra,2008,11.47
bra,2009,12.96
bra,2011,10.58
bra,2012,5.01
bra,2013,5.13
bra,2014,4.72
bra,2015,8.73
bra,2016,16.18
bra,2017,17.4
bra,2018,17.01
bra,2019,16.96
bra,2020,19.67
brb,2015,8.66
brb,2016,12.88
brb,2017,10.48
brb,2018,11.54
brb,2019,9.74
brn,2014,9.17
brn,2017,10.42
brn,2018,9.62
brn,2019,8.33
btn,2009,20.55
btn,2010,13.6
btn,2012,9.83
btn,2013,11.75
btn,2015,10.08
bwa,2009,12.67
bwa,2010,29.55
bwa,2019,29.41
bwa,2020,33.12
can,1990,7.81
can,1991,9.51
can,1992,10.13
can,1993,11.13
can,1994,9.77
can,1995,9.31
can,1996,9.47
can,1997,9.04
can,1998,8.35
can,1999,7.56
can,2000,6.96
can,2001,6.97
can,2002,7.47
can,2003,7.3
can,2004,6.99
can,2005,6.66
can,2006,6.22
can,2007,5.94
can,2008,6.14
can,2009,7.97
can,2010,8.09
can,2011,7.81
can,2012,7.74
can,2013,7.89
can,2014,7.64
can,2015,7.71
can,2016,7.28
can,2017,6.94
can,2018,6.62
can,2019,6.7
can,2020,12.91
can,2021,9.65
che,1991,2.88
che,1992,3
che,1993,4
che,1994,3.7
che,1995,3.16
che,1998,3.07
che,1999,2.78
che,2000,2.75
che,2001,2.9
che,2002,2.94
che,2003,3.94
che,2004,4.03
che,2005,4.13
che,2006,4.23
che,2007,4.06
che,2008,3.74
che,2009,3.83
che,2010,4.82
che,2011,4.01
che,2012,4.34
che,2013,4.6
che,2014,4.71
che,2015,4.5
che,2016,4.66
che,2017,4.42
che,2018,4.76
che,2019,4.44
che,2020,4.56
chl,1998,11.94
chl,2000,12.93
chl,2003,14.1
chl,2006,8.61
chl,2007,10.18
chl,2009,14.64
chl,2010,10.77
chl,2011,9.88
chl,2012,9.08
chl,2013,8.12
chl,2014,7.89
chl,2015,8.01
chl,2016,8.43
chl,2017,7.98
chl,2018,8.51
chl,2019,8.98
chl,2020,12.37
civ,2012,24.8
civ,2013,19.77
civ,2016,14.78
civ,2017,8.31
cmr,2007,12.82
cmr,2014,11.44
cod,2005,10.04
cod,2012,6.89
cog,2005,35
cog,2009,22.54
col,2002,23.15
col,2003,23.51
col,2004,21.69
col,2005,19.43
col,2007,17.22
col,2008,17.13
col,2009,18.12
col,2010,17.56
col,2011,16.65
col,2012,15.66
col,2013,14.47
col,2014,13.35
col,2015,13.1
col,2016,13.14
col,2017,14.02
col,2018,14.02
col,2019,14.78
com,2014,16.17
cpv,2015,41.84
cpv,2017,17.66
cpv,2018,17.18
cpv,2019,15.05
cri,1996,7.63
cri,1997,6.44
cri,1998,5.35
cri,1999,7.77
cri,2000,5.69
cri,2001,8.16
cri,2002,8.64
cri,2003,6.9
cri,2004,10.89
cri,2005,10.92
cri,2006,9.15
cri,2007,6.8
cri,2008,5.67
cri,2010,8.46
cri,2011,14.53
cri,2012,12.55
cri,2013,12.72
cri,2014,12.77
cri,2015,14.97
cri,2016,12.41
cri,2017,12.43
cri,2018,16.38
cri,2019,17.23
cri,2020,25.7
cub,2006,1.95
cub,2007,1.87
cub,2008,1.74
cub,2009,1.86
cub,2010,2.73
cym,2011,7.17
cym,2012,6.1
cym,2013,8.77
cym,2014,5.75
cym,2015,5.74
cyp,2000,9.14
cyp,2001,5.75
cyp,2002,4.46
cyp,2003,3.77
cyp,2004,4.91
cyp,2005,6.82
cyp,2006,5.22
cyp,2007,4.33
cyp,2008,4.4
cyp,2009,5.82
cyp,2010,6.99
cyp,2011,9.21
cyp,2012,11.27
cyp,2013,17.3
cyp,2014,17.78
cyp,2015,16.51
