global,time,se_xpd_totl_gd_zs
world,1999,4.10883
world,2000,3.85934
world,2001,4.03374
world,2002,3.98716
world,2003,4.11728
world,2004,3.99239
world,2005,4.04941
world,2006,4.02608
world,2007,4.12729
world,2008,4.3646
world,2009,4.66376
world,2010,4.48422
world,2011,4.30266
world,2012,4.2
world,2013,4.38733
world,2014,4.60634
world,2015,4.25688
world,2016,4.16481
world,2017,4.32824
world,2018,4.25572
world,2019,3.6632
