geo,time,sp_pop_65up_to_zs
are,1970,1.43744
are,1971,1.21382
are,1972,1.15568
are,1973,1.21381
are,1974,1.33725
are,1975,1.49097
are,1976,1.45519
are,1977,1.44762
are,1978,1.45732
are,1979,1.4622
are,1980,1.44736
are,1981,1.40943
are,1982,1.34649
are,1983,1.28315
are,1984,1.2382
are,1985,1.21698
are,1986,1.1907
are,1987,1.18308
are,1988,1.18803
are,1989,1.19605
are,1990,1.2001
are,1991,1.17626
are,1992,1.14619
are,1993,1.11332
are,1994,1.08208
are,1995,1.05433
are,1996,1.05316
are,1997,1.06758
are,1998,1.08726
are,1999,1.0979
are,2000,1.09258
are,2001,1.04084
are,2002,0.99029
are,2003,0.94584
are,2004,0.91177
are,2005,0.8876
are,2006,0.80328
are,2007,0.74734
are,2008,0.71218
are,2009,0.69284
are,2010,0.68559
are,2011,0.74201
are,2012,0.80258
are,2013,0.85985
are,2014,0.9047
are,2015,0.93337
are,2016,0.98699
are,2017,1.03468
are,2018,1.085
are,2019,1.15655
are,2020,1.26441
arg,1960,5.53188
arg,1961,5.6698
arg,1962,5.80478
arg,1963,5.93894
arg,1964,6.07427
arg,1965,6.21224
arg,1966,6.36835
arg,1967,6.52095
arg,1968,6.66896
arg,1969,6.81067
arg,1970,6.94549
arg,1971,7.09168
arg,1972,7.22475
arg,1973,7.34685
arg,1974,7.4599
arg,1975,7.56505
arg,1976,7.69777
arg,1977,7.81745
arg,1978,7.92564
arg,1979,8.02471
arg,1980,8.1175
arg,1981,8.19779
arg,1982,8.27809
arg,1983,8.3574
arg,1984,8.43251
arg,1985,8.503
arg,1986,8.60993
arg,1987,8.69575
arg,1988,8.76966
arg,1989,8.84361
arg,1990,8.92239
arg,1991,9.03202
arg,1992,9.14175
arg,1993,9.2472
arg,1994,9.34026
arg,1995,9.41818
arg,1996,9.50736
arg,1997,9.58281
arg,1998,9.64461
arg,1999,9.6928
arg,2000,9.72864
arg,2001,9.78162
arg,2002,9.81521
arg,2003,9.83829
arg,2004,9.8615
arg,2005,9.89138
arg,2006,9.94201
arg,2007,9.99532
arg,2008,10.05388
arg,2009,10.1197
arg,2010,10.19502
arg,2011,10.29701
arg,2012,10.40101
arg,2013,10.50734
arg,2014,10.6164
arg,2015,10.72882
arg,2016,10.85998
arg,2017,10.98971
arg,2018,11.11779
arg,2019,11.24311
arg,2020,11.36651
arm,1960,6.3481
arm,1961,6.10067
arm,1962,5.87626
arm,1963,5.68311
arm,1964,5.53161
arm,1965,5.42812
arm,1966,5.40286
arm,1967,5.41706
arm,1968,5.45844
arm,1969,5.50861
arm,1970,5.55724
arm,1971,5.63688
arm,1972,5.68571
arm,1973,5.71822
arm,1974,5.75294
arm,1975,5.79735
arm,1976,5.86729
arm,1977,5.94478
arm,1978,6.00537
arm,1979,6.01425
arm,1980,5.95951
arm,1981,5.87933
arm,1982,5.75115
arm,1983,5.60598
arm,1984,5.48433
arm,1985,5.4108
arm,1986,5.3487
arm,1987,5.31619
arm,1988,5.3347
arm,1989,5.43442
arm,1990,5.63212
arm,1991,6.07527
arm,1992,6.62214
arm,1993,7.23176
arm,1994,7.83353
arm,1995,8.38147
arm,1996,8.78181
arm,1997,9.08704
arm,1998,9.34636
arm,1999,9.64104
arm,2000,10.01576
arm,2001,10.43034
arm,2002,10.9163
arm,2003,11.39605
arm,2004,11.74711
arm,2005,11.9
arm,2006,11.90495
arm,2007,11.73191
arm,2008,11.45381
arm,2009,11.18292
arm,2010,10.99385
arm,2011,10.86487
arm,2012,10.81126
arm,2013,10.81292
arm,2014,10.83934
arm,2015,10.8774
arm,2016,10.97872
arm,2017,11.09664
arm,2018,11.25382
arm,2019,11.48367
arm,2020,11.80288
atg,1960,4.23787
atg,1961,4.20538
atg,1962,4.17077
atg,1963,4.11449
atg,1964,4.044
atg,1965,3.9831
atg,1966,3.98565
atg,1967,3.98752
atg,1968,3.96827
atg,1969,3.94807
atg,1970,3.93131
atg,1971,4.12076
atg,1972,4.28796
atg,1973,4.42891
atg,1974,4.53897
atg,1975,4.61268
atg,1976,4.82467
atg,1977,5.02099
atg,1978,5.19859
atg,1979,5.34769
atg,1980,5.48291
atg,1981,5.71197
atg,1982,5.94215
atg,1983,6.16311
atg,1984,6.3639
atg,1985,6.56945
atg,1986,6.84166
atg,1987,7.12283
atg,1988,7.4161
atg,1989,7.69256
atg,1990,7.96123
atg,1991,7.86214
atg,1992,7.74302
atg,1993,7.59992
atg,1994,7.45045
atg,1995,7.28848
atg,1996,7.18652
atg,1997,7.05679
atg,1998,6.91167
atg,1999,6.75068
atg,2000,6.57888
atg,2001,6.61037
atg,2002,6.66582
atg,2003,6.74275
atg,2004,6.84874
atg,2005,6.98091
atg,2006,7.01054
atg,2007,7.05377
atg,2008,7.12554
atg,2009,7.22454
atg,2010,7.35789
atg,2011,7.47538
atg,2012,7.61871
atg,2013,7.78443
atg,2014,7.96115
atg,2015,8.15681
atg,2016,8.36057
atg,2017,8.57523
atg,2018,8.79983
atg,2019,9.05496
atg,2020,9.33227
aus,1960,8.61062
aus,1961,8.6302
aus,1962,8.64033
aus,1963,8.6425
aus,1964,8.63509
aus,1965,8.61869
aus,1966,8.54341
aus,1967,8.46112
aus,1968,8.37843
aus,1969,8.30378
aus,1970,8.24389
aus,1971,8.34574
aus,1972,8.44193
aus,1973,8.5404
aus,1974,8.65274
aus,1975,8.7857
aus,1976,8.93762
aus,1977,9.11767
aus,1978,9.3083
aus,1979,9.48156
aus,1980,9.62378
aus,1981,9.78212
aus,1982,9.89438
aus,1983,9.98634
aus,1984,10.09544
aus,1985,10.24052
aus,1986,10.37847
aus,1987,10.54506
aus,1988,10.72552
aus,1989,10.8992
aus,1990,11.05875
aus,1991,11.25645
aus,1992,11.43517
aus,1993,11.5938
aus,1994,11.73355
aus,1995,11.85706
aus,1996,11.9658
aus,1997,12.05933
aus,1998,12.14346
aus,1999,12.22798
aus,2000,12.32367
aus,2001,12.4153
aus,2002,12.51592
aus,2003,12.62689
aus,2004,12.74558
aus,2005,12.87112
aus,2006,12.9266
aus,2007,12.98193
aus,2008,13.05874
aus,2009,13.18565
aus,2010,13.37656
aus,2011,13.63031
aus,2012,13.93029
aus,2013,14.25266
aus,2014,14.56532
aus,2015,14.85461
aus,2016,15.14112
aus,2017,15.40402
aus,2018,15.65648
aus,2019,15.9212
aus,2020,16.21306
aut,1960,12.15172
aut,1961,12.33807
aut,1962,12.5298
aut,1963,12.72162
aut,1964,12.90754
aut,1965,13.08719
aut,1966,13.30245
aut,1967,13.49723
aut,1968,13.672
aut,1969,13.82895
aut,1970,13.97068
aut,1971,14.17441
aut,1972,14.34853
aut,1973,14.49788
aut,1974,14.6247
aut,1975,14.72879
aut,1976,14.93732
aut,1977,15.12129
aut,1978,15.25339
aut,1979,15.28634
aut,1980,15.19541
aut,1981,15.06867
aut,1982,14.81266
aut,1983,14.50495
aut,1984,14.25798
aut,1985,14.13625
aut,1986,14.18638
aut,1987,14.35254
aut,1988,14.58005
aut,1989,14.78569
aut,1990,14.92147
aut,1991,15.08034
aut,1992,15.17326
aut,1993,15.211
aut,1994,15.21311
aut,1995,15.18986
aut,1996,15.24527
aut,1997,15.2779
aut,1998,15.30337
aut,1999,15.33687
aut,2000,15.38991
aut,2001,15.52006
aut,2002,15.65034
aut,2003,15.79435
aut,2004,15.97298
aut,2005,16.19732
aut,2006,16.48998
aut,2007,16.82292
aut,2008,17.17351
aut,2009,17.50523
aut,2010,17.79838
aut,2011,18.0531
aut,2012,18.27449
aut,2013,18.47298
aut,2014,18.65962
aut,2015,18.84048
aut,2016,18.90915
aut,2017,18.95657
aut,2018,19.00157
aut,2019,19.07561
aut,2020,19.204
aze,1960,5.384
aze,1961,5.29399
aze,1962,5.22718
aze,1963,5.17853
aze,1964,5.14209
