geo,time,sl_uem_totl_fe_zs
afg,1991,13.615
afg,1992,13.816
afg,1993,13.712
afg,1994,13.722
afg,1995,14.235
afg,1996,14
afg,1997,13.805
afg,1998,13.833
afg,1999,13.845
afg,2000,13.846
afg,2001,13.849
afg,2002,14.355
afg,2003,14.222
afg,2004,14.047
afg,2005,14.303
afg,2006,14.179
afg,2007,14.417
afg,2008,14.188
afg,2009,14.44
afg,2010,14.487
afg,2011,14.14
afg,2012,14.453
afg,2013,14.248
afg,2014,14.152
afg,2015,14.094
afg,2016,14.084
afg,2017,14.063
afg,2018,14.012
afg,2019,14.065
afg,2020,16.863
afg,2021,19.09
ago,1991,3.606
ago,1992,3.584
ago,1993,3.579
ago,1994,3.502
ago,1995,3.441
ago,1996,3.404
ago,1997,3.374
ago,1998,3.338
ago,1999,3.3
ago,2000,3.258
ago,2001,3.213
ago,2002,3.156
ago,2003,3.128
ago,2004,3.072
ago,2005,3.022
ago,2006,2.978
ago,2007,2.925
ago,2008,2.879
ago,2009,2.842
ago,2010,10.925
ago,2011,7.721
ago,2012,7.715
ago,2013,7.741
ago,2014,7.754
ago,2015,7.781
ago,2016,7.807
ago,2017,7.81
ago,2018,7.829
ago,2019,7.835
ago,2020,8.774
ago,2021,9.112
alb,1991,10.272
alb,1992,27.106
alb,1993,23.031
alb,1994,18.939
alb,1995,14.122
alb,1996,12.937
alb,1997,15.745
alb,1998,19.778
alb,1999,20.391
alb,2000,18.533
alb,2001,18.955
alb,2002,18.284
alb,2003,17.402
alb,2004,16.706
alb,2005,16.422
alb,2006,16.084
alb,2007,16.399
alb,2008,13.744
alb,2009,15.708
alb,2010,15.879
alb,2011,13.749
alb,2012,11.482
alb,2013,13.356
alb,2014,15.456
alb,2015,17.114
alb,2016,14.467
alb,2017,12.499
alb,2018,11.871
alb,2019,11.322
alb,2020,13.168
alb,2021,11.93
are,1991,2.574
are,1992,2.515
are,1993,2.476
are,1994,2.404
are,1995,2.359
are,1996,2.436
are,1997,2.501
are,1998,2.614
are,1999,2.679
are,2000,2.717
are,2001,3.643
are,2002,4.514
are,2003,5.331
are,2004,6.213
are,2005,7.208
are,2006,6.939
are,2007,6.832
are,2008,6.612
are,2009,6.474
are,2010,6.109
are,2011,5.739
are,2012,5.445
are,2013,5.107
are,2014,4.789
are,2015,4.47
are,2016,4.208
are,2017,7.111
are,2018,6.583
are,2019,5.892
are,2020,7.47
are,2021,8.125
arg,1991,5.745
arg,1992,6.708
arg,1993,12.53
arg,1994,13.902
arg,1995,22.168
arg,1996,19.174
arg,1997,17.603
arg,1998,14.016
arg,1999,15.14
arg,2000,16.338
arg,2001,17.193
arg,2002,18.827
arg,2003,17.551
arg,2004,15.781
arg,2005,13.563
arg,2006,12.39
arg,2007,10.46
arg,2008,9.721
arg,2009,9.853
arg,2010,9.188
arg,2011,8.501
arg,2012,8.819
arg,2013,8.484
arg,2014,8.374
arg,2015,8.624
arg,2016,9.234
arg,2017,9.473
arg,2018,10.541
arg,2019,10.698
arg,2020,12.375
arg,2021,13.277
arm,1991,2.137
arm,1992,2.413
arm,1993,7.468
arm,1994,8.592
arm,1995,10.235
