global,time,sl_uem_totl_ne_zs
world,1994,4.8446
world,1996,5.57957
world,1999,6.1639
world,2000,5.32213
world,2001,6.00802
world,2003,6.41907
world,2005,5.49643
world,2006,5.70717
world,2007,5.47653
world,2009,6.25057
world,2010,5.39517
world,2011,5.84274
world,2012,5.3524
world,2013,5.61672
world,2014,5.58248
world,2017,5.68534
world,2018,5.24453
world,2019,5.7158
