global,time,sh_prg_anem
world,2000,40.9
world,2001,40.6
world,2002,40.4
world,2003,40.2
world,2004,39.9
world,2005,39.5
world,2006,39.2
world,2007,38.8
world,2008,38.4
world,2009,38
world,2010,37.6
world,2011,37.3
world,2012,37
world,2013,36.9
world,2014,36.7
world,2015,36.6
world,2016,36.6
world,2017,36.5
world,2018,36.5
world,2019,36.5
