geo,time,sh_hiv_pmtc_zs
afg,2000,0
afg,2001,0
afg,2002,0
afg,2003,0
afg,2004,0
afg,2005,0
afg,2006,0
afg,2007,0
afg,2008,0
afg,2009,1
afg,2010,2
afg,2011,1
afg,2012,1
afg,2013,3
afg,2014,4
afg,2015,3
afg,2016,4
afg,2017,8
afg,2018,7
afg,2019,9
afg,2020,10
ago,2000,0
ago,2001,0
ago,2002,0
ago,2003,0
ago,2004,1
ago,2005,2
ago,2006,10
ago,2007,9
ago,2008,11
ago,2009,13
ago,2010,14
ago,2011,10
ago,2012,12
ago,2013,20
ago,2014,31
ago,2015,29
ago,2016,26
ago,2017,25
ago,2018,34
ago,2019,53
ago,2020,68
are,2000,0
are,2001,0
are,2002,0
are,2003,0
are,2004,0
are,2005,0
are,2006,0
arg,2000,37
arg,2001,43
arg,2002,47
arg,2003,54
arg,2004,54
arg,2005,68
arg,2006,72
arg,2007,79
arg,2008,83
arg,2009,91
arg,2010,95
arg,2011,95
arg,2012,95
arg,2013,95
arg,2014,95
arg,2015,95
arg,2016,95
arg,2017,96
arg,2018,94
arg,2019,96
arg,2020,97
arm,2000,0
arm,2001,0
arm,2002,0
arm,2003,0
arm,2004,0
arm,2005,16
arm,2006,11
arm,2007,13
arm,2008,13
arm,2009,21
arm,2010,28
arm,2011,26
arm,2012,26
arm,2013,40
arm,2014,61
arm,2015,60
arm,2016,77
arm,2017,75
arm,2018,99
arm,2019,97
arm,2020,90
aze,2000,0
aze,2001,0
aze,2002,0
aze,2003,0
aze,2004,0
aze,2005,0
aze,2006,0
aze,2007,1
aze,2008,5
aze,2009,14
aze,2010,12
aze,2011,22
aze,2012,28
aze,2013,43
aze,2014,63
aze,2015,64
aze,2016,81
aze,2017,97
aze,2018,94
aze,2019,83
aze,2020,97
bdi,2000,0
bdi,2001,0
bdi,2002,1
bdi,2003,3
bdi,2004,5
bdi,2005,12
bdi,2006,14
bdi,2007,14
bdi,2008,20
bdi,2009,23
bdi,2010,38
bdi,2011,40
bdi,2012,42
bdi,2013,48
bdi,2014,55
bdi,2015,62
bdi,2016,74
bdi,2017,69
bdi,2018,66
bdi,2019,61
bdi,2020,55
ben,2000,0
ben,2001,0
ben,2002,0
ben,2003,0
ben,2004,0
ben,2005,0
ben,2006,0
ben,2007,0
ben,2008,24
ben,2009,27
ben,2010,13
ben,2011,17
ben,2012,19
ben,2013,17
ben,2014,31
ben,2015,51
ben,2016,66
ben,2017,62
ben,2018,75
ben,2019,91
ben,2020,98
bfa,2000,0
bfa,2001,0
bfa,2002,0
bfa,2003,1
bfa,2004,2
bfa,2005,5
bfa,2006,11
bfa,2007,11
bfa,2008,10
bfa,2009,18
bfa,2010,21
bfa,2011,24
bfa,2012,25
bfa,2013,27
bfa,2014,35
bfa,2015,100
bfa,2016,100
bfa,2017,100
bfa,2018,97
bfa,2019,100
bfa,2020,89
bih,2000,0
bih,2001,0
bih,2002,0
bih,2003,0
bih,2004,0
bih,2005,0
bih,2006,0
bih,2007,0
bih,2008,0
bih,2009,0
bih,2010,0
bih,2011,0
bol,2000,0
bol,2001,0
bol,2002,0
bol,2003,0
bol,2004,0
bol,2005,0
bol,2006,5
bol,2007,11
bol,2008,12
bol,2009,34
bol,2010,43
bol,2011,54
bol,2012,79
bol,2013,66
bol,2014,70
bol,2015,85
bol,2016,97
bol,2017,97
bol,2018,100
bol,2019,92
bol,2020,98
brn,2000,0
brn,2001,0
brn,2002,0
brn,2003,0
brn,2004,0
brn,2005,0
brn,2006,0
bwa,2000,8
bwa,2001,17
bwa,2002,25
bwa,2003,34
bwa,2004,43
bwa,2005,69
bwa,2006,81
bwa,2007,75
bwa,2008,77
bwa,2009,85
bwa,2010,76
bwa,2011,69
bwa,2012,87
bwa,2013,88
bwa,2014,80
bwa,2015,83
bwa,2016,83
bwa,2017,95
bwa,2018,100
bwa,2019,100
bwa,2020,100
caf,2000,1
caf,2001,1
caf,2002,1
caf,2003,1
caf,2004,3
caf,2005,7
