geo,time,sl_slf_0714_fe_zs
alb,2010,1.77
arg,2004,28.06
arg,2012,13.39
aze,2005,2.2
bfa,2006,2.46
bgd,2013,5.84
bol,2009,1.66
bol,2013,0.93
bol,2015,1.39
bra,2011,6.49
bra,2013,5.88
bra,2014,5.25791
bra,2015,9.68
cmr,2007,1.92
col,2009,13.24
col,2012,11.27
col,2014,15.5
col,2015,13.9
cri,2011,8.3
cri,2016,0
dom,2009,11.81
dom,2012,23.62
ecu,2011,4.38
ecu,2015,0.14
gha,2012,1.56
gin,2010,4.16
gmb,2015,5.22
gtm,2006,3.52
gtm,2012,4.58
gtm,2014,1.43
gtm,2015,4.42553
hnd,2007,4.93
hnd,2011,11.82
hnd,2013,6.33
hnd,2014,8.61
idn,2010,1.23
ind,2010,6.03
ind,2012,6.59
jor,2007,0
jor,2016,1.26
kgz,2007,1.54
kgz,2014,3.80829
khm,2009,8.1
khm,2012,3.88
lao,2010,17.88
lbr,2010,18.04
lka,2009,1.75
mda,2009,0
mdg,2007,0
mex,2011,2.31
mex,2013,5.48
mli,2007,16.02
mng,2007,5.36
mng,2012,1.49
mwi,2015,10.23
nam,1999,0
ner,2006,3.46
ner,2009,4.75
nic,2005,0
nic,2010,3.82
nic,2012,5.35
npl,1999,4.3
npl,2008,5.71
pak,2011,14.3
pan,2008,10.97
pan,2010,11.79
pan,2012,9.36
pan,2014,5.61
per,2007,3.16
phl,2001,3.13
phl,2011,3.3
pry,2005,8.21
pry,2014,13.87
rou,2000,1.87
rwa,2008,11.65
rwa,2011,13.53
sdn,2008,17.49
sen,2011,3.99
slv,2011,2.22
slv,2012,1.33
slv,2013,3.59
ssd,2008,14.42
tgo,2010,8.73
tto,2006,19.56
tur,2006,1.7
tza,2006,58.88
tza,2011,5.05
tza,2014,2.52
uga,2006,1.34
uga,2012,11.79
ury,2009,17.93
ven,2006,26.34
ven,2013,20.31
vnm,2012,6.03
yem,2010,1.03
zaf,1999,8.72
zmb,2008,3.03
zwe,1999,2.5
