geo,time,se_prm_enrr_fe
abw,1999,111.15558
abw,2000,108.90179
abw,2001,107.72119
abw,2002,108.0091
abw,2003,105.32269
abw,2004,106.41501
abw,2005,107.81114
abw,2006,111.64685
abw,2007,112.61201
abw,2008,110.80958
abw,2009,112.12332
abw,2010,113.03634
abw,2011,103.71852
abw,2012,105.40282
abw,2013,114.72793
abw,2014,115.20468
afg,1970,8.9224
afg,1971,8.94142
afg,1972,9.18603
afg,1973,9.63943
afg,1974,9.73067
afg,1975,10.45442
afg,1976,11.06957
afg,1977,11.80538
afg,1978,12.63012
afg,1980,16.28938
afg,1981,18.03261
afg,1982,11.49034
afg,1984,14.01731
afg,1985,15.47144
afg,1986,18.04252
afg,1988,21.54541
afg,1989,20.73737
afg,1990,20.38771
afg,1991,19.21422
afg,1993,14.89356
afg,1994,26.49335
afg,1995,28.6594
afg,1999,3.84434
afg,2000,0
afg,2001,0
afg,2002,42.82885
afg,2003,66.69796
afg,2004,62.591
afg,2005,71.81207
afg,2006,77.6684
afg,2007,74.82184
afg,2008,77.98242
afg,2009,76.51035
afg,2010,80.63546
afg,2011,80.93683
afg,2012,86.32884
afg,2013,85.90214
afg,2014,86.7296
afg,2015,83.50442
afg,2016,82.55836
afg,2017,82.08028
afg,2018,82.85025
afg,2019,85.37661
ago,1971,44.2563
ago,1972,49.24879
ago,1982,106.55133
ago,1983,94.13476
ago,1986,71.45527
ago,1987,71.37289
ago,1988,69.01808
ago,1989,70.53279
ago,1990,69.7545
ago,1991,63.79913
ago,1992,59.38598
ago,1998,64.8345
ago,2008,96.4359
ago,2009,94.88482
ago,2010,94.05665
ago,2011,92.45637
ago,2015,105.88815
alb,1976,115.8728
alb,1978,112.30045
alb,1979,109.54504
alb,1980,105.62868
alb,1981,102.98488
alb,1982,102.03417
alb,1983,101.95049
alb,1984,102.02905
alb,1985,102.83941
alb,1986,103.10673
alb,1987,100.2263
alb,1988,100.08237
alb,1989,99.7493
alb,1990,99.68872
alb,1991,101.4418
alb,1992,100.39709
alb,1993,100.27136
alb,1994,100.8794
alb,1995,102.34688
alb,1996,104.85651
alb,1997,106.12852
alb,1998,105.47271
alb,1999,104.72027
alb,2000,104.04386
alb,2001,103.78212
alb,2002,101.11178
alb,2003,100.49498
alb,2004,98.86424
alb,2005,100.95622
alb,2006,98.30409
alb,2007,96.73367
alb,2008,95.80653
alb,2009,92.96703
alb,2010,93.80494
alb,2011,95.78378
alb,2012,98.40964
alb,2013,101.15748
alb,2014,106.12752
alb,2015,107.29018
alb,2016,107.53385
alb,2017,108.87005
alb,2018,109.11123
alb,2019,106.44361
alb,2020,101.58872
and,1975,92.04738
and,1983,104.32845
are,1971,64.38101
are,1972,68.2361
are,1973,73.73899
are,1974,75.59203
are,1975,76.91771
are,1976,89.29002
are,1977,96.04888
are,1978,96.09121
are,1979,93.27118
are,1980,90.45863
are,1981,86.47605
are,1982,90.49996
are,1983,90.99318
are,1984,91.63288
are,1985,91.21188
are,1986,92.79494
are,1987,93.73063
are,1988,96.25357
are,1989,100.63874
are,1990,104.63873
are,1991,105.6892
are,1992,101.25624
are,1993,99.33257
are,1994,99.45523
are,1995,99.97455
are,1996,97.39786
are,1997,92.99405
are,1998,89.90126
are,2007,102.08926
are,2012,100.89756
are,2013,100.07414
are,2014,104.061
are,2015,111.64165
are,2016,106.67191
are,2017,107.34338
are,2019,114.52776
are,2020,115.90204
arg,1970,106.1333
arg,1971,106.47805
arg,1972,105.53622
arg,1973,105.13987
arg,1974,105.49212
arg,1975,105.31028
arg,1976,104.95694
arg,1977,106.0368
arg,1978,106.40022
arg,1979,106.20402
arg,1980,106.38249
arg,1981,106.87102
arg,1982,106.83201
arg,1984,105.3488
arg,1985,105.85411
arg,1986,106.06504
arg,1987,106.9537
arg,1988,110.34347
arg,1990,106.01436
arg,1991,108.16306
arg,1996,109.34175
arg,1997,106.78477
arg,1998,110.7133
arg,1999,114.28767
arg,2000,115.16621
arg,2001,115.79878
arg,2002,116.38908
arg,2003,114.07844
arg,2004,115.28051
arg,2005,114.74708
arg,2006,116.85
arg,2007,117.87129
arg,2008,118.34758
arg,2009,117.63241
arg,2010,116.22167
arg,2011,114.91864
arg,2012,113.53876
arg,2013,111.52934
arg,2014,111.34255
arg,2015,111.2357
arg,2016,110.60607
arg,2017,109.62778
arg,2018,109.71597
arg,2019,109.62356
arm,1991,106.34886
arm,1992,102.15532
arm,1993,105.55861
arm,1994,97.87877
arm,1995,93.49443
arm,1996,94.85116
arm,1997,131.45091
arm,1999,141.03065
arm,2000,99.33167
arm,2001,103.27099
arm,2002,95.5247
arm,2003,94.15036
arm,2004,95.19813
arm,2005,96.34499
arm,2006,101.45639
arm,2007,114.60815
arm,2008,115.79814
arm,2009,112.78573
arm,2010,100.71847
arm,2011,99.44019
arm,2012,99.61921
arm,2013,99.10623
arm,2014,97.53677
arm,2015,95.77111
arm,2016,94.96555
arm,2017,94.2442
arm,2018,92.6959
arm,2019,92.10543
arm,2020,91.77408
asm,1982,97.73002
asm,1983,96.83192
asm,1984,98.11051
asm,1985,101.77116
asm,1986,100.22185
asm,1987,99.34765
asm,1988,100.02644
asm,1989,99.66718
asm,1990,100.09913
asm,1991,93.93064
asm,1992,88.10192
atg,1971,68.32845
atg,1974,97.75334
atg,1975,85.77828
atg,1976,89.38484
atg,1977,92.79491
atg,1978,83.2618
atg,1979,82.34471
atg,1984,101.87295
atg,1992,99.91251
atg,2007,112.50746
atg,2008,111.06027
atg,2009,108.63066
atg,2010,107.29104
atg,2011,106.41579
atg,2012,105.35117
atg,2014,103.29183
atg,2015,103.16389
