geo,time,tx_qty_mrch_xd_wd
abw,2000,100
abw,2001,104.88064
abw,2002,67.71089
abw,2003,78.88493
abw,2004,103.39696
abw,2005,90.31744
abw,2006,81.45093
abw,2007,82.82285
abw,2008,66.24113
abw,2009,36.71204
abw,2010,4.2871
abw,2011,62.32733
abw,2012,16.36352
abw,2013,3.39036
abw,2014,3.32152
abw,2015,5.18722
abw,2016,4.33192
abw,2017,1.89679
abw,2018,2.61529
abw,2019,1.76917
abw,2020,1.3471
afg,2000,100
afg,2001,44.58588
afg,2002,67.26746
afg,2003,94.12417
afg,2004,166.88467
afg,2005,192.4941
afg,2006,185.1069
afg,2007,180.93842
afg,2008,181.0358
afg,2009,140.31396
afg,2010,119.18647
afg,2011,99.85241
afg,2012,125.51772
afg,2013,156.26092
afg,2014,176.22614
afg,2015,185.58156
afg,2016,190.96727
afg,2017,212.96773
afg,2018,248.44725
afg,2019,241.25827
afg,2020,198.22105
ago,1985,46.11179
ago,1986,29.29901
ago,1987,47.28315
ago,1988,49.1591
ago,1989,51.42182
ago,1990,59.79847
ago,1991,45.36236
ago,1992,100.81167
ago,1993,63.13654
ago,1994,79.34369
ago,1995,74.6025
ago,1996,71.47227
ago,1997,91.61014
ago,1998,104.02139
ago,1999,103.3363
ago,2000,100
ago,2001,93.8671
ago,2002,118.04321
ago,2003,116.77562
ago,2004,130.93167
ago,2005,168.28906
ago,2006,187.213
ago,2007,229.22595
ago,2008,251.52442
ago,2009,244.55459
ago,2010,242.05898
ago,2011,228.38989
ago,2012,238.36556
ago,2013,236.62948
ago,2014,218.79088
ago,2015,229.21691
ago,2016,226.56822
ago,2017,221.53599
ago,2018,199.98975
ago,2019,188.02923
ago,2020,176.61106
alb,2000,100
alb,2001,118.81109
alb,2002,132.25051
alb,2003,170.65558
alb,2004,217.29819
alb,2005,224.76707
alb,2006,257.58403
alb,2007,325.53804
alb,2008,358.56443
alb,2009,318.38055
alb,2010,406.34889
alb,2011,448.28481
alb,2012,459.30885
alb,2013,555.16829
alb,2014,591.86769
alb,2015,530.09589
alb,2016,554.11934
alb,2017,614.20193
alb,2018,727.22718
alb,2019,701.36435
alb,2020,651.93184
and,2000,100
and,2001,117.68146
and,2002,144.36489
and,2003,200.53797
and,2004,270.36151
and,2005,289.01695
and,2006,292.80966
and,2007,257.67159
and,2008,227.11435
and,2009,167.92933
and,2010,153.20691
and,2011,183.37177
and,2012,172.30104
and,2013,164.96037
and,2014,160.0551
and,2015,156.17311
and,2016,172.52393
and,2017,207.46351
and,2018,210.26755
and,2019,205.85851
and,2020,184.929
are,1980,39.41776
are,1981,33.88865
are,1982,29.68714
are,1983,28.67778
are,1984,30.63375
are,1985,29.60022
are,1986,41.23059
are,1987,40.81111
are,1988,50.38326
are,2000,100
are,2001,104.51439
are,2002,115.46979
are,2003,130.69582
are,2004,148.49565
are,2005,151.09001
are,2006,161.92708
are,2007,182.73812
are,2008,192.8675
are,2009,190.74507
are,2010,182.52219
are,2011,205.91658
are,2012,245.26073
are,2013,264.10473
