geo,time,nv_ind_manf_kd_zg
afg,2003,3.69785
afg,2004,4.16077
afg,2005,3.27954
afg,2006,3.19461
afg,2007,4.53719
afg,2008,2.34624
afg,2009,5.29629
afg,2010,3.84039
afg,2011,3.05743
afg,2012,6.03591
afg,2013,2.28586
afg,2014,-1.8365
afg,2015,0.40939
afg,2016,1.08794
afg,2017,18.12297
afg,2018,22.92106
afg,2019,6.44964
afg,2020,-3.53701
ago,2003,5.35167
ago,2004,16.5756
ago,2005,6.1253
ago,2006,6.54833
ago,2007,2.01656
ago,2008,5.9146
ago,2009,6.80323
ago,2010,9.55507
ago,2011,9.0811
ago,2012,9.56253
ago,2013,7.72425
ago,2014,-9.91695
ago,2015,12.02434
ago,2016,11.63811
ago,2017,1.17953
ago,2018,4.76433
ago,2019,0.78303
ago,2020,2.87999
alb,1997,-32.3093
alb,1998,41.39339
alb,1999,12.9593
alb,2000,6.93823
alb,2001,5.75759
alb,2002,4.17821
alb,2003,19.30234
alb,2004,6.02125
alb,2005,13.88564
alb,2006,13.02857
alb,2007,12.65447
alb,2008,-5.02913
alb,2009,2.89391
alb,2010,11.57643
alb,2011,10.47095
alb,2012,-15.65725
alb,2013,9.84521
alb,2014,9.37344
alb,2015,4.96158
alb,2016,4.54104
alb,2017,12.43101
alb,2018,6.25923
alb,2019,5.51875
alb,2020,-5.72775
are,2002,2.8968
are,2003,4.28761
are,2004,7.91662
are,2005,6.57241
are,2006,7.26056
are,2007,1.87286
are,2008,10.26768
are,2009,-14.05268
are,2010,2.39153
are,2011,8.41102
are,2012,1.91348
are,2013,6.00402
are,2014,3.82042
are,2015,5.5576
are,2016,5.03254
are,2017,8.17792
are,2018,-0.85183
are,2019,2.18834
are,2020,0.19195
arg,1966,0.87365
arg,1967,5.54294
arg,1968,5.63435
arg,1969,11.54846
arg,1970,-2.57171
arg,1971,6.16598
arg,1972,3.99458
arg,1973,3.96624
arg,1974,5.87411
arg,1975,-2.55278
arg,1976,-3.03374
arg,1977,7.81369
arg,1978,-10.52262
arg,1979,9.94468
arg,1980,2.21732
arg,1981,-12.07085
arg,1982,-2.81522
arg,1983,6.8179
arg,1984,2.47491
arg,1985,-9.44993
arg,1986,10.05128
arg,1987,1.07903
arg,1988,-4.89488
arg,1989,-7.48726
arg,1990,-5.40706
arg,1991,10.37617
arg,1992,10.18871
arg,1993,3.53108
arg,1994,4.49964
arg,1995,-7.16459
arg,1996,6.45188
arg,1997,9.15143
arg,1998,1.84876
arg,1999,-7.92887
arg,2000,-3.82322
arg,2001,-7.36199
arg,2002,-10.95522
arg,2003,15.96719
arg,2004,11.97606
arg,2005,7.42316
arg,2006,9.09979
arg,2007,7.53397
arg,2008,3.6211
arg,2009,-7.25982
arg,2010,10.90794
arg,2011,7.66661
arg,2012,-2.91333
arg,2013,1.50353
arg,2014,-5.05405
arg,2015,0.76593
arg,2016,-5.60114
arg,2017,2.57407
arg,2018,-4.80492
arg,2019,-6.22039
arg,2020,-7.76065
arm,1991,-4
arm,1992,-59.7
arm,1993,8.90001
arm,1994,9.6
arm,1995,2.6
arm,1996,1.09962
arm,1997,1.30018
arm,1998,-2.22636
arm,1999,5.4
arm,2000,6.6
arm,2001,9.84324
arm,2002,17.24922
arm,2003,16.98315
arm,2004,-2.54334
arm,2005,8.83826
arm,2006,-0.46136
arm,2007,1.59481
arm,2008,0.9
arm,2009,-7.11173
arm,2010,12.1
arm,2011,13.7
arm,2012,4.1
arm,2013,7.7
arm,2014,6
arm,2015,-5.5
arm,2016,11.1
arm,2017,11.8
arm,2018,11.2
arm,2019,9.5
arm,2020,-3.6
asm,2003,-1.5873
asm,2004,-4.83871
asm,2005,11.01695
asm,2006,-3.05344
asm,2007,3.93701
asm,2008,0
asm,2009,-20.45455
asm,2010,-11.42857
asm,2011,-8.60215
asm,2012,4.70588
asm,2013,-1.1236
asm,2014,3.40909
asm,2015,15.38462
asm,2016,-0.95238
asm,2017,-20.19231
asm,2018,16.86747
asm,2019,-5.15464
atg,1978,20.25641
atg,1979,15.63611
atg,1980,18.80762
atg,1981,21.88309
atg,1982,0
atg,1983,2.16469
atg,1984,4.02991
atg,1985,2.99521
atg,1986,3.9938
atg,1987,3.98956
atg,1988,2.11545
atg,1989,2.98455
atg,1990,3.01106
atg,1991,-5.50436
atg,1992,-5.97896
atg,1993,-4.99454
atg,1994,1.98219
atg,1995,-4.98592
atg,1996,4.03202
atg,1997,6.01311
atg,1998,5.48387
atg,1999,4.48522
atg,2000,3
atg,2001,1.89439
atg,2002,5.32187
atg,2003,1.45631
atg,2004,4.80644
atg,2005,4.87653
atg,2006,12.4258
atg,2007,9.13411
atg,2008,-9.12756
atg,2009,10.61224
atg,2010,-8.80796
atg,2011,2.76214
atg,2012,-13.85037
atg,2013,15.69952
atg,2014,3.88183
atg,2015,1.52116
atg,2016,6.40065
atg,2017,-2.4491
atg,2018,6.62169
atg,2019,-3.72333
atg,2020,-17.34943
aus,1976,-1.06662
aus,1977,2.47034
aus,1978,-0.43236
aus,1979,4.11653
aus,1980,4.31016
aus,1981,2.04994
aus,1982,2.47941
aus,1983,-8.22532
aus,1984,1.51804
aus,1985,5.10856
aus,1986,0.63579
aus,1987,2.73607
aus,1988,6.66971
aus,1989,5.75947
aus,1990,-1.17725
aus,1991,-2.20218
aus,1992,-2.96697
aus,1993,2.13608
aus,1994,4.46087
aus,1995,2.12431
aus,1996,2.25254
aus,1997,1.53044
aus,1998,3.29413
aus,1999,2.34641
aus,2000,1.31125
aus,2001,2.30034
aus,2002,2.71135
aus,2003,4.20143
aus,2004,1.38538
aus,2005,-0.88166
aus,2006,-0.66485
aus,2007,1.92945
aus,2008,4.01674
aus,2009,-5.23673
aus,2010,0.43275
aus,2011,-0.25473
aus,2012,1.15086
aus,2013,-3.26658
aus,2014,-0.93129
aus,2015,-1.53025
aus,2016,-2.12735
aus,2017,-0.54761
aus,2018,2.215
aus,2019,-0.90714
aus,2020,-1.37096
aut,1977,4.59488
aut,1978,1.86917
aut,1979,5.05761
aut,1980,3.48984
aut,1981,0.0069
aut,1982,-0.07543
aut,1983,4.19003
aut,1984,0.47219
aut,1985,5.84751
aut,1986,3.76154
aut,1987,-1.23273
aut,1988,4.93412
aut,1989,3.62727
aut,1990,6.41306
aut,1991,2.69357
aut,1992,-0.51171
aut,1993,-2.14004
aut,1994,3.70901
aut,1995,5.83742
aut,1996,0.91691
aut,1997,2.76387
aut,1998,2.83112
aut,1999,4.41966
aut,2000,6.46476
aut,2001,2.73005
aut,2002,-1.34965
aut,2003,0.66645
aut,2004,3.02876
aut,2005,4.46777
aut,2006,7.92746
aut,2007,7.78498
aut,2008,1.08749
aut,2009,-14.72631
aut,2010,8.11883
aut,2011,7.23026
aut,2012,2.03856
aut,2013,0.26025
aut,2014,2.23725
aut,2015,0.85384
aut,2016,4.35651
aut,2017,3.22497
aut,2018,4.32721
aut,2019,0.6443
aut,2020,-6.99708
aze,1993,-19.67213
aze,1994,-28.57143
aze,1995,-20.00001
aze,1996,-10.71428
aze,1997,0.8
aze,1998,-11.7
aze,1999,-9.1
aze,2000,-42.13279
aze,2001,4.1
aze,2002,8.19512
aze,2003,14.01262
aze,2004,10.48719
aze,2005,16.30637
aze,2006,9
aze,2007,10.1922
aze,2008,7.10294
aze,2009,-12.61185
aze,2010,6.77578
aze,2011,6.79954
aze,2012,4.66975
aze,2013,2.0932
aze,2014,3.71412
aze,2015,7.74354
aze,2016,-1.2
aze,2017,-1.1
aze,2018,6.4
aze,2019,10.4
aze,2020,10.4
bdi,1998,-1.59
bdi,1999,4.59
bdi,2000,-6.23015
bdi,2001,-6.23015
bdi,2002,-6.23015
bdi,2003,-6.23015
bdi,2004,-6.23015
bdi,2005,-2.17692
bdi,2006,6.4
bdi,2007,3
bdi,2008,-7
bdi,2009,0.8
bdi,2010,-1.33067
bdi,2011,-1
bdi,2012,-2.4
bdi,2013,10
bdi,2014,8
bdi,2015,-6.62005
bdi,2016,1.20847
bel,1996,2.84923
bel,1997,6.27615
bel,1998,3.0097
bel,1999,0.73415
bel,2000,5.65973
bel,2001,0.7094
bel,2002,0.41845
bel,2003,-0.19979
bel,2004,5.09035
bel,2005,2.64722
bel,2006,-2.32104
bel,2007,6.34318
bel,2008,-3.34132
bel,2009,-8.71409
bel,2010,6.09575
bel,2011,0.12922
bel,2012,-1.57279
bel,2013,1.03581
bel,2014,3.11683
bel,2015,2.72838
bel,2016,-1.64425
bel,2017,1.53469
bel,2018,-0.12249
bel,2019,3.60841
bel,2020,-3.68746
ben,1972,4.91227
ben,1973,-6.35455
ben,1974,20.35723
ben,1975,-12.1662
ben,1976,-16.89192
ben,1977,24.79675
ben,1978,-8.14332
ben,1979,-10.63826
ben,1980,-1.19048
ben,1981,-6.0241
ben,1982,62.82043
ben,1983,-11.28607
ben,1984,-6.21293
ben,1985,11.98731
ben,1986,-4.22535
ben,1987,7.64706
ben,1988,9.28962
ben,1989,1.36375
ben,1990,8.71754
ben,1991,4.29914
ben,1992,19.55008
ben,1993,-6.30435
ben,1994,8.06148
ben,1995,4.19055
ben,1996,12.8092
ben,1997,4.23007
ben,1998,0.70953
ben,1999,3.96704
ben,2000,10.60025
ben,2001,9.21028
ben,2002,2.60635
ben,2003,1.08171
ben,2004,0.06187
ben,2005,6.6232
ben,2006,3.0744
ben,2007,-4.11991
ben,2008,-12.47155
ben,2009,0.7871
ben,2010,-0.37913
ben,2011,0.36827
ben,2012,0.34015
ben,2013,4.40115
ben,2014,8.62526
ben,2015,6.24637
ben,2016,6.43171
ben,2017,-0.56291
ben,2018,3.79293
ben,2019,11.2568
ben,2020,3.36722
bfa,1971,2.99122
bfa,1972,9.34652
bfa,1973,5.12728
bfa,1974,1.6257
bfa,1975,4.80129
bfa,1976,3.81701
bfa,1977,1.47027
bfa,1978,3.62351
bfa,1979,3.5824
bfa,1980,9.23515
bfa,1981,-8.22874
bfa,1982,11.03484
bfa,1983,0.62135
bfa,1984,-0.92555
bfa,1985,1.65119
bfa,1986,5.00567
bfa,1987,6.6315
bfa,1988,-1.76936
bfa,1989,0.92742
bfa,1990,15.049
bfa,1991,-3.04759
bfa,1992,6.06758
bfa,1993,6.48445
bfa,1994,-7.44038
bfa,1995,5.26986
bfa,1996,-1.68216
bfa,1997,22.32357
bfa,1998,4.90742
bfa,1999,27.05166
bfa,2000,-6.70815
bfa,2001,6.72541
bfa,2002,6.10669
bfa,2003,10.74477
bfa,2004,2.45085
bfa,2005,4.71882
bfa,2006,8.34983
bfa,2007,8.07521
bfa,2008,-2.89435
bfa,2009,3.68292
bfa,2010,2.18307
bfa,2011,7.53766
bfa,2012,-0.35205
bfa,2013,3.45957
bfa,2014,13.07761
bfa,2015,6.49532
bfa,2016,2.63682
bfa,2017,-4.2521
bfa,2018,7.19237
bfa,2019,4.04848
bfa,2020,3.08716
bgd,1961,8.22967
bgd,1962,7.00463
bgd,1963,5.46935
bgd,1964,4.94077
bgd,1965,4.28043
bgd,1966,6.05246
bgd,1967,-0.02864
bgd,1968,14.71128
bgd,1969,3.15221
bgd,1970,3.54831
bgd,1971,-16.2839
bgd,1972,-45.54445
bgd,1973,64.96377
bgd,1974,42.58723
bgd,1975,-10.91873
bgd,1976,-0.69086
bgd,1977,11.65995
bgd,1978,1.17749
bgd,1979,11.19001
bgd,1980,2.32503
bgd,1981,4.31881
bgd,1982,0.76815
bgd,1983,3.16953
bgd,1984,9.3521
bgd,1985,5.49184
bgd,1986,7.4378
bgd,1987,8.10773
bgd,1988,0.66244
bgd,1989,2.55067
bgd,1990,7.85626
bgd,1991,6.27029
bgd,1992,7.36565
bgd,1993,8.74065
bgd,1994,8.17848
bgd,1995,10.78346
bgd,1996,6.17544
bgd,1997,4.71791
bgd,1998,8.86964
bgd,1999,3.4837
bgd,2000,4.69957
bgd,2001,6.53223
bgd,2002,5.13865
bgd,2003,6.67085
bgd,2004,6.98223
bgd,2005,7.85679
bgd,2006,10.81066
bgd,2007,10.53512
bgd,2008,7.33129
bgd,2009,6.6934
bgd,2010,6.64677
bgd,2011,10.01339
bgd,2012,9.95522
bgd,2013,10.30689
bgd,2014,8.76676
bgd,2015,10.31058
bgd,2016,11.69082
bgd,2017,10.96521
bgd,2018,13.40215
bgd,2019,14.20064
bgd,2020,1.79984
bhr,2007,5.37364
bhr,2008,6.80307
bhr,2009,4.76235
bhr,2010,3.78241
bhr,2011,3.11248
bhr,2012,4.66632
bhr,2013,3.64763
bhr,2014,4.86515
bhr,2015,3.20012
bhr,2016,5.21121
bhr,2017,1.07439
bhr,2018,1.87629
bhr,2019,1.58416
bhr,2020,-5.67492
bhs,1990,-6.7142
bhs,1991,-4.58728
bhs,1992,-8.67235
bhs,1993,-3.32607
bhs,1994,2.83836
bhs,1995,4.68472
bhs,1996,11.3682
bhs,1997,-8.91244
bhs,1998,-1.33276
bhs,1999,13.11547
bhs,2000,7.93529
bhs,2001,-13.16916
bhs,2002,-6.78175
bhs,2003,28.65961
bhs,2004,9.62988
bhs,2005,-5.62676
bhs,2006,10.76515
bhs,2007,-12.58971
bhs,2008,-7.32125
bhs,2009,-5.98007
bhs,2010,9.06949
bhs,2011,0.28798
bhs,2012,13.35248
bhs,2013,-12.22293
bhs,2014,6.27706
bhs,2015,-12.42363
bhs,2016,27.48062
bhs,2017,-11.21922
bhs,2018,-29.45205
bhs,2019,-50.72816
bhs,2020,-20.39409
bih,2001,6.47461
bih,2002,8.35192
bih,2003,3.02553
bih,2004,4.63994
bih,2005,9.39672
bih,2006,14.32088
bih,2007,10.63808
bih,2008,6.40982
bih,2009,-5.46223
bih,2010,7.21158
bih,2011,-0.04006
bih,2012,-0.80345
bih,2013,5.00918
bih,2014,4.29508
bih,2015,6.3933
bih,2016,5.38683
bih,2017,8.30822
bih,2018,1.76398
bih,2019,0.08851
bih,2020,-5.03888
blr,1991,0.52511
blr,1992,-8.64883
blr,1993,-9.46437
blr,1994,-16.60311
blr,1995,-10.19953
blr,1996,4.71179
blr,1997,17.5942
blr,1998,10.51274
blr,1999,8.71214
blr,2000,6.38013
blr,2001,7.23758
blr,2002,6.15971
blr,2003,10.35634
blr,2004,19.65014
blr,2005,14.39999
blr,2006,13.6
blr,2007,8.3
blr,2008,14.7
blr,2009,-2.2
blr,2010,10.80074
blr,2011,9.7867
blr,2012,6.94774
blr,2013,-5.23001
blr,2014,0.65235
blr,2015,-6.45822
blr,2016,-0.05096
blr,2017,6.9649
blr,2018,5.22618
blr,2019,1.3
