global,time,er_h2o_intr_pc
world,1962,13406.70304
world,1967,12065.14491
world,1972,10840.57227
world,1977,9852.45074
world,1982,9001.98952
world,1987,8228.3523
world,1992,8018.76941
world,1997,7374.17219
world,2002,6903.92867
world,2007,6483.24413
world,2012,6069.33054
world,2017,5721.13972
world,2018,5658.27084
