geo,time,sp_uwt_tfrt
afg,2016,24.5
ago,2016,38
alb,2009,12.9
alb,2018,15.1
arm,2000,18.1
arm,2005,19.3
arm,2010,13.5
arm,2015,12.5
arm,2016,12.5
aze,2001,11.5
aze,2006,15.4
bdi,1987,25.1
bdi,2002,29
bdi,2010,32.4
bdi,2011,32.4
bdi,2016,29.7
bdi,2017,29.7
bel,1992,3.4
ben,1996,27.7
ben,2001,27.9
ben,2006,27.3
ben,2012,32.6
ben,2014,33.1
ben,2018,32.3
bfa,1993,24.6
bfa,1999,30.3
bfa,2003,29.8
bfa,2010,24.5
bfa,2011,24.5
bfa,2014,33
bfa,2015,33
bfa,2016,29.3
bfa,2017,29.0539
bfa,2018,22.79876
bfa,2019,23.3
bfa,2020,26
bgd,1994,21.6
bgd,1997,19.7
bgd,2000,18.2
bgd,2004,15
bgd,2007,16.8
bgd,2011,13.5
bgd,2013,13.9
bgd,2014,12
bgd,2019,13.7
bgr,1998,29.7
bih,2012,9
blr,2012,7
blz,1991,25.7
blz,1999,20.8
blz,2011,15.9
blz,2016,22.2
bol,1989,35.7
bol,1994,28.9
bol,1998,26.6
bol,2003,22.8
bol,2004,22.8
bol,2008,20.1
bol,2016,23.2
bra,1986,12.8
bra,1996,10.8
bra,2006,6
bra,2007,6
brb,2012,19.9
btn,2010,11.7
bwa,1988,26.9
bwa,2007,9.6
bwa,2008,9.6
caf,1995,19.1
caf,2010,27
caf,2011,27
caf,2019,37.6
chn,1992,3.3
chn,1997,2.7
chn,2001,2.3
civ,1994,30.4
civ,1999,28.9
civ,2012,27.1
civ,2016,30.5
civ,2017,32.85649
civ,2018,26.5
cmr,1991,22.4
cmr,1998,20.7
cmr,2004,20.5
cmr,2011,23.5
cmr,2014,18
cmr,2018,23
cod,2007,26.9
cod,2010,24.2
cod,2014,27.7
cod,2018,28.7
cog,2005,19.5
cog,2012,18.2
cog,2015,17.9
col,1986,13.5
col,1990,13.7
col,1995,11.4
col,2000,10
col,2005,8.6
col,2010,8
col,2015,7
col,2016,6.7
com,1996,35.6
com,2012,31.6
cpv,1998,14.2
cpv,2005,16.7
cri,1993,5
cri,2010,11.7
cri,2011,7.6
cri,2018,13.7
cub,2011,9.1
cub,2014,8
cub,2019,8.78024
cze,1993,14.6
cze,1997,10.8
cze,2005,8.1
cze,2008,4.3
dom,1986,19.4
dom,1991,19.4
dom,1996,14.3
dom,1999,13.8
dom,2002,12.4
dom,2007,11.1
dom,2013,10.8
dom,2014,11.4
dza,2006,10.8
dza,2012,10.4
dza,2013,7
ecu,1987,24.2
ecu,1989,24.6
ecu,1994,15.2
ecu,1999,10
ecu,2004,7.4
ecu,2012,8.8
egy,1992,22.9
egy,1993,22.9
egy,1995,20.2
egy,1996,20.2
egy,1997,17.8
egy,1998,17.8
egy,2000,13.7
egy,2003,11.8
egy,2005,12.3
egy,2008,11.6
egy,2014,12.6
eri,1995,29.7
eri,1996,29.7
eri,2002,28.5
eri,2010,27.4
esp,1995,11.8
eth,2000,36.6
eth,2005,36.1
eth,2011,26.3
eth,2015,24.4
eth,2016,22.3
eth,2017,22.72421
eth,2018,20.6
fra,1994,7.4
fra,2005,1.7
gab,2000,27.9
gab,2012,26.5
gbr,2011,8.12
geo,1999,23.8
geo,2000,23.8
geo,2010,12.3
geo,2018,23.1
gha,1988,35.2
gha,1993,36.9
gha,1994,36.9
gha,1998,34.7
gha,1999,34.7
gha,2003,34.5
gha,2008,35.7
gha,2011,26.4
gha,2013,37.2
gha,2014,29.9
gha,2015,29.6
gha,2016,32.28
gha,2018,33.6
gin,1992,24.7
gin,1993,24.7
gin,1999,24.8
gin,2005,21.9
gin,2012,23.7
gin,2016,27.6
gin,2018,22.1
gmb,2010,21.5
gmb,2013,24.9
gmb,2018,26.5
gmb,2020,24.2
gnb,2010,6
gnb,2014,22.3
gnb,2019,21.1
gnq,2011,33.8
gtm,1987,29.4
gtm,1995,28.1
gtm,1999,26.8
gtm,2002,27.6
gtm,2009,20.8
gtm,2015,13.9
guy,2009,28.5
guy,2014,28
hnd,1987,15.8
hnd,1992,13.2
hnd,1996,18
hnd,2001,11.2
hnd,2006,16.8
hnd,2012,10.7
hti,1989,27.2
hti,1995,44.7
hti,2000,39.6
hti,2006,37.3
hti,2012,35.3
hti,2016,38
hti,2017,38
hun,1993,7
idn,1987,16
idn,1991,17
idn,1994,15.3
idn,1997,13.6
idn,2003,13.2
idn,2008,13.1
idn,2012,11.4
idn,2016,16.2
idn,2017,10.6
ind,1993,20.3
ind,1999,16.1
ind,2003,21.1
ind,2006,13.9
ind,2008,20.5
ind,2016,12.9
irn,2010,5.7
irn,2011,5.7
irq,2011,8
irq,2018,14.3
ita,1996,11.8
jam,1989,20.6
jam,1993,13
jam,1997,14.2
jam,2003,11.7
jam,2008,10
jam,2009,10
jor,1990,26.5
jor,1997,20.1
jor,2002,14.9
jor,2007,13.8
jor,2009,13.4
jor,2012,11.7
jor,2017,14.2
jor,2018,14.2
kaz,1995,16.3
kaz,1999,11.9
kaz,2011,11.6
kaz,2015,9.8
kaz,2018,15.47
ken,1989,38
ken,1993,35.3
ken,1998,28
ken,2003,27.4
ken,2009,25.6
ken,2014,17.5
ken,2015,15.9
ken,2016,15.6
ken,2017,14.89241
ken,2018,13.8
ken,2019,15
kgz,1997,11.8
kgz,2012,18
kgz,2014,19.1
kgz,2018,19
khm,2000,33
khm,2005,25.3
khm,2006,25.3
khm,2010,16.9
khm,2011,16.9
khm,2014,12.5
kir,2009,28
kir,2019,17.3
lao,2000,39.5
lao,2005,27.3
lao,2012,19.9
lao,2017,14.3
lbr,1986,32.8
lbr,2007,35.7
lbr,2013,31.1
lbr,2020,33.4
lby,2007,27
lby,2014,40.2
lca,2012,17
lka,1987,12.3
lka,2000,18.2
lka,2007,7.3
lka,2016,7.5
lso,2004,31
lso,2005,31
lso,2009,23.3
lso,2010,23.3
lso,2014,18.4
lso,2018,16
ltu,1995,18
lva,1995,16.8
mar,1987,22.1
mar,1992,23.5
mar,1995,16.1
mar,2004,11.9
mar,2011,10.9
mar,2018,11.3
mda,1997,6.7
mda,2005,11.4
mda,2012,9.5
mda,2020,21.2
mdg,1992,32.3
mdg,1997,27.7
mdg,2004,24.5
mdg,2009,19
mdg,2017,16.4
mdg,2018,18.4
mdv,2009,28.6
mdv,2017,31.4
mex,1987,24.1
mex,1995,16.1
mex,1997,12.1
mex,2003,9.9
mex,2006,12
mex,2009,9.8
mex,2014,11.4
mex,2015,13
mhl,2007,8.1
mkd,2011,17.2
mkd,2019,10.3
mli,1987,22.9
mli,1996,27.5
mli,2001,29.6
mli,2006,27.6
mli,2013,26
mli,2015,30.7
