geo,time,vc_idp_nwcv
som,2009,400000
som,2010,300000
som,2011,100000
som,2012,185000
som,2013,80000
som,2014,89000
som,2015,90000
som,2016,113000
som,2017,388000
som,2018,578000
som,2019,188000
som,2020,293000
ssd,2011,350000
ssd,2012,190000
ssd,2013,383000
ssd,2014,1304000
ssd,2015,199000
ssd,2016,281000
ssd,2017,857000
ssd,2018,321000
ssd,2019,259000
ssd,2020,271000
syr,2011,156000
syr,2012,2400000
syr,2013,3500000
syr,2014,1100000
syr,2015,1300000
syr,2016,2148000
syr,2017,2911000
syr,2018,1649000
syr,2019,1847000
syr,2020,1822000
tcd,2015,36000
tcd,2016,36000
tcd,2017,5800
tcd,2019,58000
tcd,2020,79000
tgo,2017,2700
tgo,2019,2000
tha,2011,50000
tha,2013,100
tls,2009,100
tls,2011,1000
tls,2014,2100
tun,2019,4
tur,2012,200
tur,2016,204000
tur,2019,2000
uga,2016,23000
uga,2017,1300
uga,2018,9000
uga,2019,2300
uga,2020,79
ukr,2014,647000
ukr,2015,942000
ukr,2016,109000
ukr,2017,21000
ukr,2018,12000
ukr,2019,60
ukr,2020,74
yem,2009,150000
yem,2010,176000
yem,2011,175000
yem,2012,132000
yem,2013,20000
yem,2014,100000
yem,2015,2175000
yem,2016,478000
yem,2017,160000
yem,2018,252000
yem,2019,398000
yem,2020,143000
zaf,2019,2300
zaf,2020,5000
zwe,2009,15000
zwe,2012,280
