global,time,sh_xpd_chex_pc_cd
world,2000,478.80572
world,2001,491.88833
world,2002,522.67944
world,2003,586.98839
world,2004,646.49141
world,2005,685.83231
world,2006,728.19662
world,2007,797.73729
world,2008,864.01863
world,2009,874.49664
world,2010,911.88914
world,2011,986.3537
world,2012,995.70174
world,2013,1011.82653
world,2014,1034.94912
world,2015,993.9834
world,2016,1015.87494
world,2017,1056.57083
world,2018,1103.35775
world,2019,1121.81181
