global,time,eg_elc_rnwx_kh
world,1960,3040000000
world,1961,3428000000
world,1962,3797000000
world,1963,4362000000
world,1964,4653000000
world,1965,4998000000
world,1966,6127000000
world,1967,6387000000
world,1968,7203000000
world,1969,7830000000
world,1970,10627000000
world,1971,13198000000
world,1972,14055000000
world,1973,16155000000
world,1974,15382000000
world,1975,17335000000
world,1976,19119000000
world,1977,20379000000
world,1978,20905000000
world,1979,24098000000
world,1980,28647000000
world,1981,31835000000
world,1982,40590000000
world,1983,45442000000
world,1984,49706000000
world,1985,54248000000
world,1986,59693000000
world,1987,63035000000
world,1988,65987000000
world,1989,128193000000
world,1990,156082000000
world,1991,125401000000
world,1992,138821000000
world,1993,143970000000
world,1994,151581000000
world,1995,157537000000
world,1996,162041000000
world,1997,171739000000
world,1998,180233000000
world,1999,196223000000
world,2000,217095000000
world,2001,224461000000
world,2002,253263000000
world,2003,277856000000
world,2004,316183000000
world,2005,359313000000
world,2006,405335000000
world,2007,467437000000
world,2008,543399000000
world,2009,631821000000
world,2010,765437000000
world,2011,911584000000
world,2012,1067911000000
world,2013,1267134000000
world,2014,1435701000000
world,2015,1644540000000
