global,time,ny_adj_dco2_gn_zs
world,1970,1.02938
world,1971,1.04024
world,1972,1.01396
world,1973,0.95331
world,1974,0.91235
world,1975,0.90516
world,1976,0.94618
world,1977,0.94207
world,1978,0.91333
world,1979,0.9024
world,1980,0.87899
world,1981,0.90919
world,1982,0.9832
world,1983,1.03361
world,1984,1.0843
world,1985,1.11508
world,1986,1.01779
world,1987,0.97696
world,1988,1.17798
world,1989,1.23357
world,1990,1.17437
world,1991,1.14512
world,1992,1.11228
world,1993,1.18822
world,1994,1.15564
world,1995,1.09888
world,1996,1.15266
world,1997,1.20712
world,1998,1.2377
world,1999,1.25887
world,2000,1.31751
world,2001,1.39181
world,2002,1.42626
world,2003,1.39629
world,2004,1.36435
world,2005,1.37388
world,2006,1.37752
world,2007,1.31211
world,2008,1.2917
world,2009,1.36772
world,2010,1.37698
world,2011,1.34
world,2012,1.38737
world,2013,1.41354
world,2014,1.43831
world,2015,1.57171
world,2016,1.59093
world,2017,1.58918
world,2018,1.58805
world,2019,1.6298
