geo,time,ie_ppi_tran_cd
kaz,2007,31000000
kaz,2017,75000000
kaz,2020,585000000
ken,1998,53400000
ken,2006,404000000
ken,2007,15000000
ken,2017,96890000
ken,2018,213920000
ken,2020,575970000
khm,1995,120000000
khm,2001,65000000
khm,2002,7200000
khm,2004,53100000
khm,2006,40100000
khm,2017,1000000000
kos,2011,127000000
kos,2013,63000000
lao,2000,1500000
lao,2009,1500000
lao,2019,5700000000
lbn,2000,150000000
lbn,2004,3000000
lbr,2010,120000000
lbr,2013,25000000
lka,1999,240000000
lka,2011,500000000
lka,2017,120000000
mar,2004,200000000
mar,2008,200000000
mda,1996,38000000
mda,2008,60000000
mdg,2003,36000000
mdg,2005,25000000
mdg,2007,17500000
mdg,2017,245100000
mdv,2010,478000000
mex,1989,2177700000
mex,1990,4603400000
mex,1991,395500000
mex,1992,1921800000
mex,1993,427800000
mex,1994,235200000
mex,1995,324320000
mex,1996,74100000
mex,1997,3139800000
mex,1998,795800000
mex,1999,370200000
mex,2000,793600000
mex,2001,223800000
mex,2002,71400000
mex,2003,74700000
mex,2004,485600000
mex,2005,1321300000
mex,2006,2744430000
mex,2007,6146400000
mex,2008,905080000
mex,2009,1738540000
mex,2010,1099400000
mex,2011,2729100000
mex,2012,1593240000
mex,2013,3740500000
mex,2014,629400000
mex,2015,787100000
mex,2016,422700000
mex,2017,1006900000
mex,2018,589360000
mex,2019,260000000
mex,2020,137700000
mkd,2008,295000000
mli,2003,55400000
mmr,1996,50000000
mmr,2018,104000000
moz,1997,426000000
moz,1998,15000000
moz,2002,77700000
moz,2003,70000000
moz,2004,186900000
moz,2013,80000000
mrt,2019,310000000
mus,1997,42600000
mus,2009,383000000
mwi,1999,6000000
mys,1985,31900000
mys,1988,3192000000
mys,1990,700000
mys,1992,160000000
mys,1993,814000000
mys,1994,2010600000
mys,1995,1889000000
mys,1996,2981000000
mys,1997,2210300000
mys,1998,591900000
mys,1999,317880000
mys,2000,1079700000
mys,2001,684300000
mys,2003,1569900000
mys,2004,342110000
mys,2005,586950000
mys,2006,531000000
mys,2007,423000000
mys,2008,425000000
mys,2010,253300000
mys,2013,381000000
mys,2017,1543000000
nga,2005,2355440000
nga,2006,322140000
nga,2007,40000000
nga,2008,382000000
nga,2011,259400000
nga,2013,2900000000
nga,2019,1050000000
nic,2000,104000000
npl,2015,350000000
pak,1995,199600000
pak,1997,118700000
pak,2002,31800000
pak,2004,17000000
pak,2005,64000000
pak,2006,40000000
pak,2007,580700000
pak,2008,303000000
pak,2010,1200000000
pak,2019,240000000
per,1994,6600000
per,1998,8000000
per,1999,78300000
per,2001,164500000
per,2003,75000000
per,2005,283000000
per,2006,1020000000
per,2007,875800000
per,2008,439000000
per,2009,987830000
per,2010,127000000
per,2011,909000000
per,2012,983000000
per,2013,1506000000
per,2014,619600000
per,2015,6997000000
per,2016,18900000
per,2017,415100000
per,2018,215000000
per,2020,229000000
phl,1988,110000000
phl,1995,300000000
phl,1996,514000000
phl,1997,1126700000
phl,1999,78300000
phl,2000,4900000
phl,2001,908500000
phl,2002,30100000
phl,2006,214600000
phl,2008,315300000
phl,2009,149000000
phl,2010,343000000
phl,2011,370000000
phl,2012,49700000
phl,2013,46670000
phl,2014,837100000
phl,2015,1023900000
phl,2016,2471900000
phl,2017,53550000
phl,2019,1733250000
pry,1998,58000000
pry,2019,738000000
rou,1998,23400000
rou,2007,116800000
rou,2012,2500000
rou,2017,50400000
rus,1998,406000000
rus,2000,109400000
rus,2006,144000000
rus,2007,23000000
rus,2008,24000000
rus,2010,4595900000
rus,2011,4284600000
rus,2012,3983900000
rus,2013,3100000
rus,2015,1822200000
rus,2016,79400000
rus,2017,2037000000
rus,2018,1622700000
rus,2019,3357770000
rus,2020,925710000
sdn,2006,30000000
sdn,2019,604370000
sen,2003,55400000
sen,2008,134000000
sen,2009,264000000
sen,2012,730000000
sen,2013,132000000
sen,2015,173000000
sle,2010,130000000
som,2013,10000000
som,2018,442000000
som,2020,50000000
srb,2018,1118470000
srb,2019,42560000
syr,2006,37000000
syr,2009,45000000
tgo,1987,10000000
tgo,2005,76900000
tgo,2011,442000000
tha,1984,12200000
tha,1985,4900000
tha,1990,1637200000
tha,1991,415700000
tha,1992,48000000
tha,1995,1700000000
tha,1996,210000000
tha,1998,27400000
tha,1999,63730000
tha,2001,455000000
tha,2003,45000000
tha,2004,439000000
tha,2017,3356000000
tls,2018,490000000
tun,2007,840000000
tur,1994,20000000
tur,1996,85000000
tur,1997,305000000
tur,2003,85000000
tur,2004,155600000
tur,2005,2848200000
tur,2006,217000000
tur,2007,2578000000
tur,2008,1491500000
tur,2010,332700000
tur,2011,1416350000
tur,2012,1562000000
tur,2013,3215000000
tur,2014,4743400000
tur,2015,43103200000
tur,2016,779000000
tur,2017,991880000
tur,2018,6923900000
tur,2019,237800000
tza,1998,16500000
tza,2000,27690000
tza,2007,134000000
uga,2006,404000000
ukr,2009,130000000
ukr,2017,150000000
ukr,2020,15000000
uzb,2008,25000000
ven,1994,100000000
ven,1996,250000000
ven,1997,18000000
ven,2004,34000000
vnm,1994,10000000
vnm,1996,15000000
vnm,1997,70000000
vnm,2002,20000000
vnm,2006,133000000
vnm,2007,267000000
vnm,2008,365000000
vnm,2009,200000000
vnm,2010,155000000
vnm,2013,275500000
vnm,2016,4500000
vnm,2019,1025050000
yem,1997,190000000
yem,2008,220000000
zaf,1997,426000000
zaf,1998,165700000
zaf,1999,794700000
zaf,2000,3700000
zaf,2001,484000000
zaf,2003,17000000
zaf,2006,3483000000
zaf,2011,97000000
zaf,2019,13500000
zmb,2003,15550000
zwe,1994,18000000
zwe,1998,85000000
zwe,2011,97000000
