global,time,bx_gsr_ccis_cd
world,2003,109774961870.00101
world,2004,134489716000.545
world,2005,176631114639.40201
world,2006,207724106580.64896
world,2007,251880368543.13101
world,2008,306558899660.77502
world,2009,297337416692.64398
world,2010,319682109100.68494
world,2011,370499638842.84802
world,2012,388925311678.67902
world,2013,433135648050.21503
world,2014,469859073824.612
world,2015,470953826446.79694
world,2016,499501475774.60797
world,2017,545610344842.99493
world,2018,630788967853.14404
world,2019,687143870493.30005
world,2020,745699859369.49792
