global,time,er_h2o_intr_k3
world,1962,37823.95593
world,1967,37823.95593
world,1972,37823.95593
world,1977,37823.95593
world,1982,37823.95593
world,1987,37823.95593
world,1992,42636.64493
world,1997,42773.19493
world,2002,42773.19493
world,2007,42778.60193
world,2012,42808.60193
world,2017,42808.60193
world,2018,42808.60193
