geo,time,dt_nfl_undp_cd
abw,1987,79999.99821
abw,1989,79999.99821
abw,1990,50000.00075
abw,1992,-259999.99046
abw,1993,109999.9994
abw,1994,-70000.0003
abw,1995,-39999.99911
abw,1996,9999.99978
abw,1997,100000.00149
abw,1998,100000.00149
abw,1999,-280000.00119
abw,2001,-200000.00298
afg,1968,4739999.77112
afg,1969,2819999.93324
afg,1970,3410000.08583
afg,1971,3210000.03815
afg,1972,4179999.82834
afg,1973,5010000.22888
afg,1974,4630000.11444
afg,1975,4960000.03815
afg,1976,740000.00954
afg,1977,5510000.22888
afg,1978,6159999.84741
afg,1979,8489999.77112
afg,1980,6300000.19073
afg,1981,5420000.07629
afg,1982,6239999.77112
afg,1983,5519999.98093
afg,1984,5900000.09537
afg,1985,7039999.96185
afg,1986,5829999.92371
afg,1987,5400000.09537
afg,1988,5190000.05722
afg,1989,6940000.05722
afg,1990,6739999.77112
afg,1991,15979999.54224
afg,1992,14810000.41962
afg,1993,18120000.83923
afg,1994,17209999.08447
afg,1995,13260000.22888
afg,1996,18319999.69482
afg,1997,16799999.23706
afg,1998,13949999.80927
afg,1999,10779999.73297
afg,2000,4769999.98093
afg,2001,3900000.09537
afg,2002,9010000.22888
afg,2003,639999.98569
afg,2004,5809999.94278
afg,2005,7079999.92371
afg,2006,7579999.92371
afg,2007,11350000.38147
afg,2008,12029999.73297
afg,2009,19239999.77112
afg,2010,13239999.77112
afg,2011,14670000.07629
afg,2012,14373586.65466
afg,2013,13172269.82117
afg,2014,10980040.55023
afg,2015,8389140.12909
afg,2016,8247223.85406
afg,2017,7578505.03922
afg,2018,6721138.95416
afg,2019,7350110.05402
ago,1975,9999.99978
ago,1976,9999.99978
ago,1977,379999.99523
ago,1978,2559999.94278
ago,1979,2720000.02861
ago,1980,4079999.92371
ago,1981,6030000.20981
ago,1982,4800000.19073
ago,1983,5280000.20981
ago,1984,3369999.88556
ago,1985,4269999.98093
ago,1986,6090000.15259
ago,1987,6889999.86649
ago,1988,5050000.19073
ago,1989,6730000.01907
ago,1990,8479999.54224
ago,1991,14520000.45776
ago,1992,8710000.03815
ago,1993,1169999.95708
ago,1994,649999.97616
ago,1995,2259999.99046
ago,1996,3730000.01907
ago,1997,7659999.84741
ago,1998,7550000.19073
ago,1999,7510000.22888
ago,2000,2029999.97139
ago,2001,980000.01907
ago,2002,1710000.03815
ago,2003,3809999.94278
ago,2004,3710000.03815
ago,2005,5849999.90463
ago,2006,5860000.13351
ago,2007,6199999.80927
ago,2008,5329999.92371
ago,2009,3880000.11444
ago,2010,2200000.04768
ago,2011,2109999.8951
ago,2012,2636514.42528
ago,2013,1146808.9819
ago,2014,2923653.84102
ago,2015,2779456.37703
ago,2016,2775580.64461
ago,2017,1705166.33987
ago,2018,1212446.09356
ago,2019,1900943.99452
alb,1988,1620000.00477
alb,1989,2339999.91417
alb,1990,1549999.95232
alb,1991,1289999.96185
alb,1992,759999.99046
alb,1993,1450000.04768
alb,1994,1450000.04768
alb,1995,949999.98808
alb,1996,2140000.1049
alb,1997,699999.98808
alb,1998,2710000.03815
alb,1999,2569999.93324
alb,2000,2390000.1049
alb,2001,1549999.95232
alb,2002,1379999.99523
alb,2003,1570000.05245
alb,2004,2000000
alb,2005,1460000.03815
alb,2006,2089999.91417
alb,2007,1899999.97616
alb,2008,1059999.94278
alb,2009,649999.97616
alb,2010,750000
alb,2011,469999.99881
alb,2012,513739.46667
alb,2013,434682.0116
alb,2014,441399.09744
alb,2015,536179.30412
alb,2016,406285.28595
alb,2017,367527.75311
alb,2018,442558.25877
alb,2019,538089.99062
are,1974,39999.99911
are,1975,360000.01431
are,1976,250000
are,1977,680000.00715
are,1978,990000.00954
are,1979,1440000.05722
are,1980,2269999.98093
are,1981,2329999.92371
are,1982,2240000.00954
are,1983,2000000
are,1984,879999.99523
are,1985,1110000.01431
are,1986,1399999.97616
are,1987,1379999.99523
are,1988,1340000.03338
are,1989,1309999.94278
are,1990,509999.99046
are,1991,-79999.99821
are,1992,430000.00715
are,1993,90000.00358
are,1994,730000.01907
are,1995,-119999.99732
are,1996,-19999.99955
are,1997,280000.00119
are,1998,-140000.0006
are,1999,159999.99642
are,2000,250000
are,2001,-419999.98689
are,2002,-50000.00075
are,2003,-569999.99285
arg,1968,2339999.91417
arg,1969,1590000.03338
arg,1970,1919999.95708
arg,1971,2680000.06676
arg,1972,2859999.8951
arg,1973,3000000
arg,1974,2900000.09537
arg,1975,3960000.03815
arg,1976,3990000.00954
arg,1977,3539999.96185
arg,1978,3640000.1049
arg,1979,5769999.98093
arg,1980,5699999.80927
arg,1981,5539999.96185
arg,1982,3500000
arg,1983,3269999.98093
arg,1984,2930000.06676
arg,1985,4420000.07629
arg,1986,14340000.15259
arg,1987,15960000.03815
arg,1988,21399999.61853
arg,1989,16290000.91553
arg,1990,1279999.97139
arg,1991,-649999.97616
arg,1992,3420000.07629
arg,1993,2809999.94278
arg,1994,829999.98331
arg,1995,800000.01192
arg,1996,1539999.96185
arg,1997,319999.99285
arg,1998,550000.01192
arg,1999,1110000.01431
arg,2000,-490000.00954
