global,time,dc_dac_ital_cd
world,1960,86559997.55859
world,1961,84759994.50684
world,1962,53989997.86377
world,1963,103360000.61035
world,1964,64050003.05176
world,1965,101660003.66211
world,1966,75809997.55859
world,1967,104110000.61035
world,1968,130639999.38965
world,1969,111809997.55859
world,1970,72919998.16895
world,1971,138429992.67578
world,1972,54770000.45776
world,1973,117440002.44141
world,1974,-390000.46253
world,1975,57709999.08447
world,1976,77510002.13623
world,1977,33959999.08447
world,1978,21139999.38965
world,1979,21170000.07629
world,1980,82450004.57764
world,1981,170380004.88281
world,1982,305230010.98633
world,1983,445839996.33789
world,1984,619690002.44141
world,1985,773940002.44141
world,1986,1473130004.88281
world,1987,1862050048.82813
world,1988,2357659912.10938
world,1989,2068159912.10938
world,1990,2103090087.89063
world,1991,2201600097.65625
world,1992,2462870117.1875
world,1993,1851359985.35156
world,1994,1788299926.75781
world,1995,821650024.41406
world,1996,809039978.02734
world,1997,464089996.33789
world,1998,713479980.46875
world,1999,476100006.10352
world,2000,404769989.01367
world,2001,484059997.55859
world,2002,1008590026.85547
world,2003,1069820068.35938
world,2004,715729980.46875
world,2005,2247739990.23438
world,2006,1973949951.17188
world,2007,1286569946.28906
world,2008,1833640014.64844
world,2009,873030029.29688
world,2010,703690002.44141
world,2011,1696410034.17969
world,2012,622960021.97266
world,2013,866929992.67578
world,2014,1372400024.41406
world,2015,1751759887.69531
world,2016,2420959960.9375
world,2017,3010310058.59375
world,2018,2201780029.29688
world,2019,1362619995.11719
