geo,time,tm_tax_mrch_ip_zs
abw,2011,12.11395
abw,2012,11.66244
abw,2013,11.66244
abw,2015,11.72115
abw,2016,11.85578
abw,2017,11.57018
abw,2018,11.7233
abw,2019,11.66698
afg,2004,0
afg,2006,11.72214
afg,2007,11.50568
afg,2008,8.65342
afg,2012,13.37183
afg,2013,13.37183
afg,2018,17.60328
ago,2002,15.84759
ago,2004,16.43171
ago,2005,11.19337
ago,2006,11.19337
ago,2008,24.86138
ago,2009,24.5568
ago,2010,11.29381
ago,2011,10.94433
ago,2012,10.64087
ago,2013,10.57041
ago,2014,22.53683
ago,2015,21.92737
ago,2016,21.89814
ago,2018,19.35332
ago,2019,19.24479
ago,2020,24.31655
alb,1997,55.23196
alb,2000,37.91373
alb,2001,37.95427
alb,2002,0
alb,2003,0.01752
alb,2004,0
alb,2005,0
alb,2006,0
alb,2007,0
alb,2008,10.38025
alb,2009,0
alb,2010,0
alb,2011,10.1574
alb,2012,0
alb,2013,7.30159
alb,2014,5.71693
alb,2015,5.5099
alb,2016,5.37624
alb,2017,6.84211
alb,2018,0
alb,2019,0
alb,2020,0
are,2005,0.37075
are,2007,0.29025
are,2008,0.31633
are,2009,0.31633
are,2011,0.22389
are,2012,0.14721
are,2013,0.12137
are,2014,0.11685
are,2015,0.14435
are,2016,0.09456
are,2017,0.24581
are,2018,0.19132
are,2019,0.17969
are,2020,0.1382
arg,1992,30.96239
arg,1993,6.6727
arg,1995,34.14789
arg,1996,35.74366
arg,1997,34.79444
arg,1998,48.86037
arg,1999,45.05256
arg,2000,42.45406
arg,2001,38.42257
arg,2002,54.15063
arg,2003,27.92921
arg,2004,36.70503
arg,2005,22.61065
arg,2006,23.25282
arg,2007,24.92895
arg,2008,25.16628
arg,2009,24.82252
arg,2010,24.51021
arg,2011,24.57493
arg,2012,23.88734
arg,2013,24.30963
arg,2014,24.80138
arg,2015,24.35131
arg,2016,24.73293
arg,2017,24.95071
arg,2018,26.46775
arg,2019,25.54906
arg,2020,25.16945
arm,2001,0
arm,2003,0.06324
arm,2004,0.0426
arm,2005,0.15912
arm,2006,0.21013
arm,2007,0.12095
arm,2008,0.01297
arm,2009,0.09018
arm,2010,0.07948
arm,2011,0.11669
arm,2012,0.07554
arm,2013,0.07621
arm,2014,0
arm,2015,8.12822
arm,2016,4.56099
arm,2017,3.60745
arm,2019,0.97108
arm,2020,0.7446
atg,1996,53.58717
atg,1999,45.22731
atg,2000,54.88332
atg,2001,44.27227
atg,2002,43.1162
atg,2003,46.23768
atg,2004,49.05668
atg,2005,49.05668
atg,2006,39.17942
atg,2007,48.28343
atg,2008,48.49627
atg,2009,48.79646
atg,2010,50.50492
atg,2011,50.50492
atg,2012,43.46917
atg,2013,51.99967
atg,2014,50.42336
atg,2015,50.99653
atg,2016,51.02241
atg,2017,50.27856
atg,2018,42.54684
atg,2019,43.26488
atg,2020,43.26488
aus,1991,31.33644
aus,1993,11.99313
aus,1996,12.43509
aus,1997,12.68009
aus,1998,12.73222
aus,1999,12.60721
aus,2000,6.73468
aus,2001,6.60148
aus,2002,5.78572
aus,2003,5.92473
aus,2004,6.24698
aus,2005,5.97112
aus,2006,5.33018
aus,2007,5.4003
aus,2008,5.52092
aus,2009,5.47249
aus,2010,0.19267
aus,2011,0.04821
aus,2012,0.04614
aus,2013,0.04717
aus,2014,0.05183
aus,2015,0.04578
aus,2016,0.04831
aus,2017,0.04674
aus,2018,0.04814
aus,2019,0.04614
aus,2020,0.05043
aut,1988,4.2084
aut,1989,4.33863
aut,1990,11.52495
aut,1991,6.32139
aut,1992,6.29284
aut,1993,5.0853
aut,1994,5.15762
aut,1995,7.16216
aut,1996,9.90679
aut,1997,8.83796
aut,1998,6.8
aut,1999,6.02538
aut,2000,5.60611
aut,2001,6.48846
aut,2002,8.09425
aut,2003,8.34967
aut,2004,5.7215
aut,2005,4.78067
aut,2006,6.03921
aut,2007,5.87075
aut,2008,4.74231
aut,2009,4.64618
