global,time,st_int_tvlx_cd
world,1995,398664620018.94397
world,1996,420282627317.16602
world,1997,420274595823.59894
world,1998,425127895427.32294
world,1999,446619831782.39697
world,2000,456472584461.98096
world,2001,449256915171.71503
world,2002,473650647901.15997
world,2003,532413106786.89697
world,2004,618390785899.41199
world,2005,667122315461.16296
world,2006,706937451341.26697
world,2007,818584961108.42786
world,2008,888670402472.27905
world,2009,815552569873.26611
world,2010,880221493443.98096
world,2011,969962492808.80884
world,2012,1020325418311.07996
world,2013,1098587763402.63
world,2014,1255549801218.68994
world,2015,1198775050318.05005
world,2016,1209672261523.91992
world,2017,1313275282538.8999
world,2018,1406889929077.42993
world,2019,1403687466166.21997
