geo,time,sh_sta_owgh_me_zs
afg,2000,5.2
afg,2001,5.4
afg,2002,5.6
afg,2003,5.7
afg,2004,5.7
afg,2005,5.8
afg,2006,5.8
afg,2007,5.8
afg,2008,5.7
afg,2009,5.7
afg,2010,5.6
afg,2011,5.5
afg,2012,5.3
afg,2013,5.2
afg,2014,5
afg,2015,4.8
afg,2016,4.6
afg,2017,4.4
afg,2018,4.3
afg,2019,4.1
afg,2020,3.9
ago,2000,3.1
ago,2001,3.2
ago,2002,3.3
ago,2003,3.4
ago,2004,3.4
ago,2005,3.4
ago,2006,3.3
ago,2007,3.2
ago,2008,3.1
ago,2009,3
ago,2010,3
ago,2011,2.9
ago,2012,2.9
ago,2013,2.9
ago,2014,2.9
ago,2015,3
ago,2016,3.1
ago,2017,3.1
ago,2018,3.2
ago,2019,3.4
ago,2020,3.5
alb,2000,18.7
alb,2001,20.2
alb,2002,21.6
alb,2003,22.8
alb,2004,23.8
alb,2005,24.5
alb,2006,24.8
alb,2007,24.9
alb,2008,24.7
alb,2009,24.3
alb,2010,23.6
alb,2011,22.7
alb,2012,21.7
alb,2013,20.6
alb,2014,19.4
alb,2015,18.3
alb,2016,17.3
alb,2017,16.4
alb,2018,15.7
alb,2019,15.1
alb,2020,14.6
arg,2000,11.6
arg,2001,11.8
arg,2002,11.9
arg,2003,11.9
arg,2004,12
arg,2005,12.1
arg,2006,12.2
arg,2007,12.2
arg,2008,12.2
arg,2009,12.3
arg,2010,12.3
arg,2011,12.4
arg,2012,12.4
arg,2013,12.4
arg,2014,12.4
arg,2015,12.5
arg,2016,12.6
arg,2017,12.7
arg,2018,12.8
arg,2019,12.9
arg,2020,12.9
arm,2000,12.3
arm,2001,13.2
arm,2002,14
arm,2003,14.8
arm,2004,15.5
arm,2005,16
arm,2006,16.3
arm,2007,16.5
arm,2008,16.5
arm,2009,16.3
arm,2010,15.9
arm,2011,15.4
arm,2012,14.8
arm,2013,14.1
arm,2014,13.3
arm,2015,12.6
arm,2016,12.1
arm,2017,11.6
arm,2018,11.3
arm,2019,11
arm,2020,10.8
aus,2000,8.2
aus,2001,8.5
aus,2002,8.9
aus,2003,9.3
aus,2004,9.8
aus,2005,10.3
aus,2006,10.7
aus,2007,11.2
aus,2008,11.7
aus,2009,12.3
aus,2010,13
aus,2011,13.6
aus,2012,14.2
aus,2013,14.9
aus,2014,15.5
aus,2015,16.1
aus,2016,16.7
aus,2017,17.3
aus,2018,17.7
aus,2019,18.2
aus,2020,18.5
aze,2000,7.3
aze,2001,7.8
aze,2002,8.4
aze,2003,8.9
aze,2004,9.5
aze,2005,9.9
aze,2006,10.4
aze,2007,10.8
aze,2008,11
aze,2009,11.2
aze,2010,11.3
aze,2011,11.2
aze,2012,11.1
aze,2013,10.8
aze,2014,10.5
aze,2015,10.2
aze,2016,9.9
aze,2017,9.7
aze,2018,9.6
aze,2019,9.5
aze,2020,9.4
bdi,2000,2.4
bdi,2001,2.5
bdi,2002,2.6
bdi,2003,2.6
bdi,2004,2.6
bdi,2005,2.6
bdi,2006,2.6
bdi,2007,2.5
bdi,2008,2.4
bdi,2009,2.4
bdi,2010,2.3
bdi,2011,2.3
bdi,2012,2.3
bdi,2013,2.4
bdi,2014,2.4
bdi,2015,2.5
bdi,2016,2.6
bdi,2017,2.7
bdi,2018,2.8
bdi,2019,3
bdi,2020,3.1
bel,2000,3.9
bel,2001,3.9
bel,2002,4
bel,2003,4
bel,2004,4
bel,2005,4
bel,2006,4.1
bel,2007,4.1
bel,2008,4.2
bel,2009,4.2
bel,2010,4.3
bel,2011,4.4
bel,2012,4.5
bel,2013,4.5
bel,2014,4.6
bel,2015,4.7
bel,2016,4.8
bel,2017,4.9
bel,2018,4.9
bel,2019,5
bel,2020,5.1
ben,2000,2.9
ben,2001,3
ben,2002,3.1
ben,2003,3.1
ben,2004,3
ben,2005,2.8
ben,2006,2.5
ben,2007,2.2
ben,2008,2
ben,2009,1.8
ben,2010,1.7
ben,2011,1.7
ben,2012,1.6
ben,2013,1.6
ben,2014,1.6
ben,2015,1.7
ben,2016,1.8
ben,2017,1.8
ben,2018,2
ben,2019,2.1
ben,2020,2.2
bfa,2000,2.6
bfa,2001,2.7
bfa,2002,2.8
bfa,2003,2.8
bfa,2004,2.8
bfa,2005,2.6
bfa,2006,2.4
bfa,2007,2.1
bfa,2008,1.9
bfa,2009,1.8
bfa,2010,1.7
bfa,2011,1.7
bfa,2012,1.7
bfa,2013,1.7
bfa,2014,1.8
bfa,2015,1.8
bfa,2016,2
bfa,2017,2.1
bfa,2018,2.3
bfa,2019,2.4
bfa,2020,2.6
bgd,2000,0.7
bgd,2001,0.7
bgd,2002,0.8
bgd,2003,0.9
bgd,2004,0.9
bgd,2005,1
bgd,2006,1.1
bgd,2007,1.2
bgd,2008,1.3
bgd,2009,1.4
bgd,2010,1.5
bgd,2011,1.6
bgd,2012,1.7
bgd,2013,1.8
bgd,2014,1.9
bgd,2015,1.9
bgd,2016,2
bgd,2017,2
bgd,2018,2.1
bgd,2019,2.1
bgd,2020,2.1
bgr,2000,8.6
bgr,2001,9.1
bgr,2002,9.5
bgr,2003,9.8
bgr,2004,10
bgr,2005,10.1
bgr,2006,10
bgr,2007,9.9
bgr,2008,9.7
bgr,2009,9.4
bgr,2010,9.1
bgr,2011,8.7
bgr,2012,8.2
bgr,2013,7.6
bgr,2014,7.1
bgr,2015,6.7
bgr,2016,6.3
bgr,2017,6
bgr,2018,5.9
bgr,2019,5.7
bgr,2020,5.7
bhr,2000,4.1
bhr,2001,4.2
bhr,2002,4.3
bhr,2003,4.4
bhr,2004,4.5
