geo,time,ep_pmp_desl_cd
afg,2002,0.27
afg,2004,0.58
afg,2006,0.65
afg,2008,0.96
afg,2010,1
afg,2012,1.21
afg,2014,1.19
afg,2016,0.7
ago,1998,0.19
ago,2000,0.15
ago,2002,0.13
ago,2004,0.29
ago,2006,0.36
ago,2008,0.39
ago,2010,0.43
ago,2012,0.42
ago,2014,0.51
ago,2016,0.82
alb,1998,0.43
alb,2000,0.3
alb,2002,0.51
alb,2004,1.02
alb,2006,1.29
alb,2008,1.31
alb,2010,1.4
alb,2012,1.79
alb,2014,1.71
alb,2016,1.35
and,2008,1.06
and,2010,1.32
and,2012,1.48
and,2014,1.35
are,1998,0.15
are,2000,0.26
are,2002,0.3
are,2004,0.28
are,2006,0.53
are,2008,0.62
are,2010,0.71
are,2012,0.64
are,2014,0.64
are,2016,0.52
arg,1992,0.29
arg,1995,0.28
arg,1998,0.42
arg,2000,0.52
arg,2002,0.46
arg,2004,0.49
arg,2006,0.48
arg,2008,0.58
arg,2010,1.05
arg,2012,1.33
arg,2014,1.33
arg,2016,1
arm,1998,0.25
arm,2000,0.31
arm,2002,0.29
arm,2004,0.56
arm,2006,0.77
arm,2008,1.11
arm,2010,0.99
arm,2012,1.15
arm,2014,1.16
arm,2016,0.67
atg,2000,0.56
atg,2004,0.68
atg,2006,0.85
atg,2010,0.96
aus,1998,0.45
aus,2000,0.57
aus,2002,0.48
aus,2004,0.83
aus,2006,0.94
aus,2008,0.94
aus,2010,1.23
aus,2012,1.57
aus,2014,1.28
aus,2016,0.92
aut,1995,0.87
aut,1998,0.82
aut,2000,0.74
aut,2002,0.73
aut,2004,1.19
aut,2006,1.26
aut,2008,1.43
aut,2010,1.55
aut,2012,1.81
aut,2014,1.55
aut,2016,1.15
aze,1998,0.22
aze,2000,0.2
aze,2002,0.16
aze,2004,0.18
aze,2006,0.41
aze,2008,0.56
aze,2010,0.56
aze,2012,0.57
aze,2014,0.77
aze,2016,0.35
bdi,1991,0.61
bdi,1992,0.54
bdi,1995,0.48
bdi,1998,0.66
bdi,2000,0.71
bdi,2002,0.54
bdi,2004,1.08
bdi,2006,1.22
bdi,2008,1.23
bdi,2010,1.42
bdi,2012,1.47
bdi,2014,1.43
bdi,2016,1.14
bel,1995,0.82
bel,1998,0.85
bel,2000,0.78
bel,2002,0.8
bel,2004,1.07
bel,2006,1.34
bel,2008,1.34
bel,2010,1.62
bel,2012,1.98
bel,2014,1.69
bel,2016,1.32
ben,1991,0.48
ben,1992,0.47
ben,1995,0.28
ben,1998,0.31
ben,2000,0.39
ben,2002,0.41
ben,2004,0.72
ben,2006,0.81
ben,2008,1.03
ben,2010,1.21
ben,2012,1.26
ben,2014,1.1
ben,2016,0.72
bfa,1991,0.84
bfa,1992,0.85
bfa,1995,0.62
bfa,1998,0.5
bfa,2000,0.46
bfa,2002,0.62
bfa,2004,0.94
bfa,2006,1.12
bfa,2008,1.33
bfa,2010,1.28
bfa,2012,1.28
bfa,2014,1.25
bfa,2016,0.86
bgd,1995,0.31
bgd,1998,0.26
bgd,2000,0.29
bgd,2002,0.29
bgd,2004,0.34
bgd,2006,0.45
bgd,2008,0.7
bgd,2010,0.63
bgd,2012,0.76
bgd,2014,0.9
bgd,2016,0.84
bgr,1995,0.26
bgr,1998,0.52
bgr,2000,0.58
bgr,2002,0.59
bgr,2004,0.89
bgr,2006,1.08
bgr,2008,1.37
bgr,2010,1.58
bgr,2012,1.68
bgr,2014,1.51
bgr,2016,1.09
bhr,1998,0.18
bhr,2000,0.21
bhr,2002,0.19
bhr,2004,0.19
bhr,2006,0.13
bhr,2008,0.13
bhr,2010,0.13
bhr,2012,0.17
bhr,2016,0.32
bih,1998,0.6
bih,2000,0.57
bih,2002,0.74
bih,2004,0.97
bih,2006,1.24
bih,2008,1.18
bih,2010,1.42
bih,2012,1.62
bih,2014,1.54
bih,2016,0.99
blr,1998,0.13
blr,2000,0.36
blr,2002,0.36
blr,2004,0.44
blr,2006,0.55
blr,2008,1.06
blr,2010,0.86
blr,2012,0.9
blr,2014,1.06
blr,2016,0.62
blz,2004,0.8
blz,2006,0.91
blz,2008,0.53
blz,2010,0.98
blz,2012,1.21
blz,2016,1
bol,1992,0.35
bol,1995,0.31
bol,1998,0.35
bol,2000,0.5
bol,2002,0.42
bol,2004,0.4
bol,2006,0.47
bol,2008,0.53
bol,2010,0.54
bol,2012,0.54
bol,2014,0.54
bol,2016,0.55
bra,1992,0.38
bra,1995,0.39
bra,1998,0.34
bra,2000,0.34
bra,2002,0.31
bra,2004,0.49
bra,2006,0.84
bra,2008,1.03
bra,2010,1.14
bra,2012,1.02
bra,2014,1.02
bra,2016,0.95
brb,1998,0.62
brb,2000,0.75
brb,2002,0.53
brb,2004,0.62
brb,2006,0.79
brb,2008,1.03
brb,2010,1.14
brb,2014,1.44
brn,1998,0.18
brn,2000,0.18
brn,2002,0.18
brn,2004,0.19
brn,2006,0.21
brn,2008,0.21
brn,2010,0.24
brn,2012,0.26
brn,2016,0.22
btn,1998,0.26
btn,2000,0.38
btn,2004,0.59
btn,2010,0.82
btn,2012,0.86
btn,2014,0.84
btn,2016,0.82
bwa,1991,0.61
bwa,1992,0.37
bwa,1995,0.35
bwa,1998,0.29
bwa,2000,0.39
bwa,2002,0.38
bwa,2004,0.61
bwa,2006,0.74
bwa,2008,1.02
bwa,2010,0.97
bwa,2012,1.25
bwa,2014,1.07
bwa,2016,0.67
caf,1991,0.99
caf,1992,0.98
caf,1995,0.64
caf,1998,0.65
caf,2002,0.87
caf,2004,1.14
caf,2006,1.27
caf,2008,1.44
caf,2010,1.69
caf,2012,1.69
caf,2014,1.66
caf,2016,1.4
can,1992,0.39
can,1995,0.36
can,1998,0.39
can,2000,0.47
can,2002,0.43
can,2004,0.68
can,2006,0.78
can,2008,0.9
can,2010,1.08
can,2012,1.23
can,2014,1.16
can,2016,0.73
che,1995,1.01
che,1998,0.91
che,2000,0.84
che,2002,0.93
che,2004,1.37
che,2006,1.36
che,2008,1.52
che,2010,1.77
che,2012,2.06
che,2014,1.79
che,2016,1.46
chl,1992,0.31
chl,1995,0.33
chl,1998,0.29
chl,2000,0.47
chl,2002,0.39
chl,2004,0.64
chl,2006,0.86
chl,2008,0.95
chl,2010,1.02
chl,2012,1.24
chl,2014,1.09
chl,2016,0.65
chn,1995,0.24
chn,1998,0.25
chn,2000,0.45
chn,2002,0.37
chn,2004,0.43
chn,2006,0.61
chn,2008,1.01
chn,2010,1.04
chn,2012,1.28
chn,2014,1.09
chn,2016,0.81
civ,1991,1.15
civ,1992,0.86
civ,1995,0.56
civ,1998,0.45
civ,2000,0.51
civ,2002,0.6
civ,2004,0.95
civ,2006,1.06
civ,2008,1.2
civ,2010,1.3
civ,2012,1.2
civ,2014,1.17
civ,2016,0.93
cmr,1991,0.58
cmr,1992,0.58
cmr,1995,0.5
cmr,1998,0.48
cmr,2000,0.47
cmr,2002,0.57
cmr,2004,0.83
cmr,2006,1.07
cmr,2008,1.04
cmr,2010,1.1
cmr,2012,1.01
cmr,2014,1.14
cmr,2016,0.94
cod,1991,0.73
cod,1992,0.67
cod,1995,0.7
cod,1998,0.5
cod,2000,0.93
cod,2002,0.69
cod,2004,0.81
cod,2006,1
cod,2008,1.21
cod,2010,1.27
cod,2012,1.48
cod,2014,1.67
cod,2016,1.2
cog,1991,0.71
cog,1998,0.4
cog,2000,0.3
cog,2002,0.48
cog,2004,0.59
cog,2006,0.67
cog,2008,0.57
cog,2010,0.84
cog,2012,0.92
cog,2014,0.9
col,1992,0.19
col,1995,0.27
col,1998,0.2
col,2000,0.35
col,2002,0.24
col,2004,0.36
col,2006,0.57
col,2008,0.73
col,2010,0.95
col,2012,1.18
col,2014,1.04
col,2016,0.64
cpv,1991,0.4
