global,time,sh_hiv_incd_yg_p3
world,1990,0.67
world,1991,0.75
world,1992,0.81
world,1993,0.84
world,1994,0.9
world,1995,0.92
world,1996,0.93
world,1997,0.92
world,1998,0.91
world,1999,0.87
world,2000,0.83
world,2001,0.79
world,2002,0.75
world,2003,0.7
world,2004,0.67
world,2005,0.64
world,2006,0.61
world,2007,0.59
world,2008,0.57
world,2009,0.56
world,2010,0.54
world,2011,0.52
world,2012,0.51
world,2013,0.49
world,2014,0.47
world,2015,0.45
world,2016,0.43
world,2017,0.4
world,2018,0.38
world,2019,0.36
world,2020,0.33
