global,time,ic_frm_infm_zs
world,2002,50.85069
world,2003,56.56
world,2004,56.005
world,2005,40.09972
world,2006,50.48605
world,2007,45.12364
world,2008,30
world,2009,60.26182
world,2010,82.33
