geo,time,sh_sta_suic_fe_p5
afg,2000,4.8
afg,2001,4.8
afg,2002,4.6
afg,2003,4.6
afg,2004,4.6
afg,2005,4.5
afg,2006,4.4
afg,2007,4.3
afg,2008,4.2
afg,2009,4
afg,2010,3.9
afg,2011,3.8
afg,2012,3.7
afg,2013,3.7
afg,2014,3.6
afg,2015,3.6
afg,2016,3.6
afg,2017,3.4
afg,2018,3.5
afg,2019,3.6
ago,2000,3.3
ago,2001,3.2
ago,2002,3.4
ago,2003,3.6
ago,2004,3.6
ago,2005,3.4
ago,2006,3.6
ago,2007,3
ago,2008,3.2
ago,2009,2.7
ago,2010,2.9
ago,2011,2.7
ago,2012,2.7
ago,2013,2.6
ago,2014,2.4
ago,2015,2.6
ago,2016,2.6
ago,2017,2.4
ago,2018,2.3
ago,2019,2.3
alb,2000,2.8
alb,2001,2.9
alb,2002,3
alb,2003,3.3
alb,2004,3.1
alb,2005,5.2
alb,2006,5.8
alb,2007,5.8
alb,2008,6
alb,2009,6
alb,2010,6.1
alb,2011,8.3
alb,2012,3.4
alb,2013,3.5
alb,2014,3.2
alb,2015,3.2
alb,2016,3.1
alb,2017,2.9
alb,2018,2.8
alb,2019,2.7
are,2000,3.9
are,2001,3.9
are,2002,3.7
are,2003,3.5
are,2004,3.5
are,2005,3.4
are,2006,3.5
are,2007,3.3
are,2008,3.2
are,2009,3.2
are,2010,3.3
are,2011,3.2
are,2012,3.2
are,2013,3.2
are,2014,3.1
are,2015,3
are,2016,2.9
are,2017,2.8
are,2018,2.9
are,2019,3
arg,2000,3.4
arg,2001,4
arg,2002,4.2
arg,2003,3.8
arg,2004,3.6
arg,2005,3.6
arg,2006,3.3
arg,2007,3.3
arg,2008,3.3
arg,2009,3.2
arg,2010,3.2
arg,2011,3.3
arg,2012,3.5
arg,2013,3.2
arg,2014,3.7
arg,2015,3.3
arg,2016,3.1
arg,2017,3.5
arg,2018,3.6
arg,2019,3.3
arm,2000,2
arm,2001,1.3
arm,2002,1.3
arm,2003,1.1
arm,2004,2.1
arm,2005,2.1
arm,2006,3.2
arm,2007,3.1
arm,2008,2.7
arm,2009,1.9
arm,2010,3.5
arm,2011,4.4
arm,2012,4.4
arm,2013,5.2
arm,2014,4.6
arm,2015,3.7
arm,2016,2.6
arm,2017,0.7
arm,2018,0.9
arm,2019,1.3
atg,2000,0
atg,2001,0
atg,2002,0
atg,2003,0
atg,2004,0
atg,2005,0
atg,2006,0
atg,2007,0
atg,2008,0
atg,2009,0
atg,2010,0
atg,2011,0.2
atg,2012,0
atg,2013,0
atg,2014,0.9
atg,2015,0.8
atg,2016,1
atg,2017,0
atg,2018,0.7
atg,2019,0.8
aus,2000,5.6
aus,2001,5.5
aus,2002,5.3
aus,2003,4.8
aus,2004,4.6
aus,2005,5.1
aus,2006,5.2
aus,2007,5.5
aus,2008,5.3
aus,2009,5.6
aus,2010,5.7
aus,2011,5.7
aus,2012,6.4
aus,2013,6.1
aus,2014,6.5
aus,2015,6.8
aus,2016,6.4
aus,2017,6.9
aus,2018,6.2
aus,2019,6.4
aut,2000,10.6
aut,2001,10
aut,2002,8.9
aut,2003,9.4
aut,2004,8.4
aut,2005,8.6
aut,2006,7.5
aut,2007,7.9
aut,2008,7.5
aut,2009,7.6
aut,2010,7.6
aut,2011,8
aut,2012,7.3
aut,2013,7.9
aut,2014,8.1
aut,2015,7.6
aut,2016,7.7
aut,2017,6.6
aut,2018,6.9
aut,2019,6.7
aze,2000,1.2
aze,2001,1.4
aze,2002,1.5
aze,2003,1.6
aze,2004,1.8
aze,2005,1.9
aze,2006,2
aze,2007,2.1
aze,2008,2
aze,2009,1.9
aze,2010,1.9
aze,2011,1.9
aze,2012,1.8
aze,2013,1.7
aze,2014,1.6
aze,2015,1.6
aze,2016,1.6
aze,2017,1.6
aze,2018,1.6
aze,2019,1.6
bdi,2000,6.9
bdi,2001,6.7
bdi,2002,6.5
bdi,2003,6.2
bdi,2004,6
bdi,2005,5.8
bdi,2006,5.7
bdi,2007,5.3
bdi,2008,4.9
bdi,2009,4.8
bdi,2010,4.7
bdi,2011,4.5
bdi,2012,4.2
bdi,2013,4.1
bdi,2014,4
bdi,2015,3.8
bdi,2016,3.6
bdi,2017,3.5
bdi,2018,3.4
bdi,2019,3.4
bel,2000,12.9
bel,2001,12.1
bel,2002,12
bel,2003,11.6
bel,2004,11.2
bel,2005,11.4
bel,2006,11.8
bel,2007,11
bel,2008,11.4
bel,2009,11.8
bel,2010,12.2
bel,2011,12.8
bel,2012,11.8
bel,2013,11.9
bel,2014,12.1
bel,2015,11.7
bel,2016,11.7
bel,2017,11.9
bel,2018,11.9
bel,2019,11.8
ben,2000,4.7
ben,2001,4.7
ben,2002,4.7
ben,2003,4.6
ben,2004,4.6
ben,2005,4.5
ben,2006,4.5
ben,2007,4.3
ben,2008,4.1
ben,2009,4.2
ben,2010,4.2
ben,2011,4.2
ben,2012,4.1
ben,2013,4.1
ben,2014,4.1
ben,2015,4
ben,2016,4
ben,2017,3.9
ben,2018,3.9
ben,2019,3.8
bfa,2000,5.3
bfa,2001,5.1
bfa,2002,4.9
bfa,2003,4.8
bfa,2004,4.8
bfa,2005,4.7
bfa,2006,4.7
bfa,2007,4.6
bfa,2008,4.5
bfa,2009,4.4
bfa,2010,4.3
bfa,2011,4.1
bfa,2012,4.2
bfa,2013,4.2
