geo,time,sh_dyn_ncom_zs
afg,2000,41.7
afg,2001,42.1
afg,2002,42.1
afg,2003,41.5
afg,2004,41.4
afg,2005,40.9
afg,2006,40.5
afg,2007,40.1
afg,2008,39.4
afg,2009,38.4
afg,2010,37.8
afg,2011,37.1
afg,2012,36.6
afg,2013,36.2
afg,2014,35.7
afg,2015,35.6
afg,2016,35.6
afg,2017,35.5
afg,2018,35.4
afg,2019,35.3
ago,2000,28.6
ago,2001,28.4
ago,2002,28.1
ago,2003,28.2
ago,2004,28.1
ago,2005,27.1
ago,2006,27.3
ago,2007,25.7
ago,2008,25.8
ago,2009,24.2
ago,2010,24.6
ago,2011,23.8
ago,2012,24.2
ago,2013,24
ago,2014,22.8
ago,2015,22.8
ago,2016,22.6
ago,2017,22.1
ago,2018,22.1
ago,2019,22.2
alb,2000,18.7
alb,2001,15.7
alb,2002,16.6
alb,2003,17.3
alb,2004,16.7
alb,2005,20.3
alb,2006,21.4
alb,2007,21.2
alb,2008,20.8
alb,2009,20.2
alb,2010,19.5
alb,2011,19.2
alb,2012,14.4
alb,2013,13.8
alb,2014,13.5
alb,2015,13.6
alb,2016,12.6
alb,2017,12.2
alb,2018,11.8
alb,2019,11.4
are,2000,24.4
are,2001,24.2
are,2002,23.9
are,2003,23.5
are,2004,23.2
are,2005,23.1
are,2006,22.7
are,2007,22.5
are,2008,21.6
are,2009,21.3
are,2010,21.1
are,2011,20.9
are,2012,20.7
are,2013,20.5
are,2014,20.3
are,2015,19.9
are,2016,19.6
are,2017,19.3
are,2018,18.8
are,2019,18.5
arg,2000,20.4
arg,2001,20.2
arg,2002,20.3
arg,2003,20
arg,2004,19.3
arg,2005,18.8
arg,2006,18.3
arg,2007,18.8
arg,2008,18
arg,2009,17.8
arg,2010,17.8
arg,2011,17.6
arg,2012,17.4
arg,2013,17
arg,2014,16.4
arg,2015,16.5
arg,2016,16.8
arg,2017,16.2
arg,2018,16.1
arg,2019,15.7
arm,2000,26.7
arm,2001,26.2
arm,2002,25.9
arm,2003,25.8
arm,2004,25.9
arm,2005,25.7
arm,2006,25.6
arm,2007,25.3
arm,2008,26.7
arm,2009,26.5
arm,2010,25
arm,2011,23.5
arm,2012,23.2
arm,2013,22.2
arm,2014,22
arm,2015,22.3
arm,2016,21.7
arm,2017,21.3
arm,2018,20
arm,2019,19.9
atg,2000,18.9
atg,2001,18.2
atg,2002,19.1
atg,2003,18.6
atg,2004,18.3
atg,2005,17.4
atg,2006,17.6
atg,2007,20.1
atg,2008,19.8
atg,2009,18.5
atg,2010,17.9
atg,2011,17.6
atg,2012,16.8
atg,2013,17.3
atg,2014,18
atg,2015,18.1
atg,2016,17.7
atg,2017,17.8
atg,2018,17.7
atg,2019,17.5
aus,2000,12.9
aus,2001,12.6
aus,2002,12.3
aus,2003,11.8
aus,2004,11.5
aus,2005,11.4
aus,2006,10.9
aus,2007,10.6
aus,2008,10.5
aus,2009,10.1
aus,2010,9.9
aus,2011,9.8
aus,2012,9.3
aus,2013,9.3
aus,2014,9.3
aus,2015,9.3
aus,2016,9
aus,2017,8.7
aus,2018,8.7
aus,2019,8.6
aut,2000,15.3
aut,2001,14.7
aut,2002,13.9
aut,2003,13.7
aut,2004,13.2
aut,2005,12.8
aut,2006,12.5
aut,2007,12.3
aut,2008,12.1
aut,2009,12.4
aut,2010,12.4
aut,2011,12.2
aut,2012,12
aut,2013,11.8
aut,2014,11.7
aut,2015,11.6
aut,2016,11.2
aut,2017,10.8
aut,2018,10.9
aut,2019,10.4
aze,2000,32.5
aze,2001,31.9
aze,2002,31.8
aze,2003,32
aze,2004,32.1
aze,2005,32.1
aze,2006,31.5
aze,2007,30.8
aze,2008,30.7
aze,2009,30.3
aze,2010,29.8
aze,2011,29.5
aze,2012,29.3
aze,2013,28.7
aze,2014,28.4
aze,2015,28.4
aze,2016,28.2
aze,2017,28.2
aze,2018,27.4
aze,2019,27.2
bdi,2000,36.8
bdi,2001,35.1
bdi,2002,34
bdi,2003,33
bdi,2004,32.3
bdi,2005,31.6
bdi,2006,30.8
bdi,2007,29.7
bdi,2008,28.9
bdi,2009,28.3
bdi,2010,27.9
bdi,2011,27.5
bdi,2012,27.2
bdi,2013,26.8
bdi,2014,26.3
bdi,2015,25.8
bdi,2016,25.5
bdi,2017,25.2
bdi,2018,25.1
bdi,2019,25
bel,2000,15.4
bel,2001,15.1
bel,2002,15
bel,2003,14.5
bel,2004,13.7
bel,2005,13.7
bel,2006,13.4
bel,2007,13.1
bel,2008,13.2
bel,2009,12.8
bel,2010,12.9
bel,2011,12.6
bel,2012,12.2
bel,2013,11.9
bel,2014,11.5
bel,2015,11.5
bel,2016,11.1
bel,2017,11
bel,2018,10.8
bel,2019,10.6
ben,2000,25.3
ben,2001,25.3
ben,2002,25.3
ben,2003,25.2
ben,2004,25.1
ben,2005,24.9
ben,2006,24.7
ben,2007,24.5
ben,2008,24.1
ben,2009,24.2
ben,2010,24.1
ben,2011,24.1
ben,2012,24
ben,2013,23.8
ben,2014,23.7
ben,2015,23.5
ben,2016,23.3
ben,2017,23.2
ben,2018,22.9
ben,2019,22.6
bfa,2000,25.7
bfa,2001,25.6
bfa,2002,25.6
bfa,2003,25.4
bfa,2004,25.4
bfa,2005,25.3
bfa,2006,25.3
bfa,2007,25.3
bfa,2008,25.1
bfa,2009,25.1
bfa,2010,25.1
bfa,2011,24.9
bfa,2012,25.1
bfa,2013,25.1
bfa,2014,24.9
bfa,2015,24.8
bfa,2016,24.7
bfa,2017,24.4
bfa,2018,24.2
bfa,2019,23.9
bgd,2000,23.2
bgd,2001,22.8
bgd,2002,22.9
bgd,2003,22.9
bgd,2004,22.8
bgd,2005,23.3
bgd,2006,23.7
bgd,2007,23.4
bgd,2008,22.7
bgd,2009,22.1
bgd,2010,21.5
bgd,2011,20.2
bgd,2012,19.4
bgd,2013,19
bgd,2014,18.8
bgd,2015,18.6
bgd,2016,18.5
bgd,2017,18.8
bgd,2018,18.9
bgd,2019,18.9
bgr,2000,28.5
bgr,2001,28.1
bgr,2002,27.9
bgr,2003,27.9
bgr,2004,27.6
bgr,2005,27.6
bgr,2006,27.5
bgr,2007,26.6
bgr,2008,25.7
bgr,2009,25.8
bgr,2010,25.6
bgr,2011,25.1
bgr,2012,24.3
bgr,2013,23.8
bgr,2014,24.7
bgr,2015,24.3
bgr,2016,24.4
bgr,2017,24.5
bgr,2018,24.4
bgr,2019,24.2
bhr,2000,30.8
bhr,2001,30.2
bhr,2002,28.9
bhr,2003,27.8
bhr,2004,26.3
bhr,2005,24.8
bhr,2006,22.7
bhr,2007,21.4
bhr,2008,20
bhr,2009,19
bhr,2010,18.2
bhr,2011,17.6
bhr,2012,17.1
bhr,2013,16.8
bhr,2014,16.6
bhr,2015,16.4
bhr,2016,16.3
bhr,2017,16.2
bhr,2018,16.1
bhr,2019,16.1
bhs,2000,19.8
bhs,2001,20.7
bhs,2002,19.4
bhs,2003,19.6
bhs,2004,21.3
bhs,2005,20.1
bhs,2006,20.5
bhs,2007,19.8
bhs,2008,20.2
bhs,2009,20.3
bhs,2010,20.6
bhs,2011,20.5
bhs,2012,19.8
bhs,2013,19.1
bhs,2014,18.8
bhs,2015,19.4
bhs,2016,19.5
bhs,2017,19.2
bhs,2018,19.8
bhs,2019,19.9
bih,2000,22
bih,2001,21.9
bih,2002,21.9
bih,2003,21.5
bih,2004,21.1
bih,2005,21.7
bih,2006,21.1
bih,2007,21.9
bih,2008,20.6
bih,2009,20.5
bih,2010,20.1
bih,2011,19.7
bih,2012,19.1
bih,2013,19.1
bih,2014,19
bih,2015,19.2
bih,2016,18.8
bih,2017,18.7
bih,2018,18.8
bih,2019,18.7
blr,2000,33.2
blr,2001,34.5
blr,2002,35.6
blr,2003,34.5
blr,2004,33.7
blr,2005,34.1
blr,2006,32.7
blr,2007,30.8
blr,2008,30.9
blr,2009,30.7
blr,2010,30.8
blr,2011,30.7
blr,2012,27.5
blr,2013,26.4
blr,2014,25.7
blr,2015,24.7
blr,2016,24.6
blr,2017,24.2
blr,2018,24.3
blr,2019,23.8
blz,2000,23.4
blz,2001,20.3
blz,2002,19.3
blz,2003,18.8
blz,2004,19.2
blz,2005,18.2
blz,2006,18
blz,2007,17.5
blz,2008,16.3
blz,2009,17.1
blz,2010,17.1
blz,2011,16.6
blz,2012,16.3
blz,2013,16.1
blz,2014,16.4
blz,2015,16.4
blz,2016,16
blz,2017,16.2
blz,2018,16.1
blz,2019,16.5
bol,2000,20.8
bol,2001,20.2
bol,2002,19.8
bol,2003,19.3
bol,2004,18.9
bol,2005,18.7
bol,2006,18.2
bol,2007,18.3
bol,2008,18.1
bol,2009,18.1
bol,2010,18
bol,2011,18.1
bol,2012,18
bol,2013,18
bol,2014,18.1
bol,2015,18.2
bol,2016,18.2
bol,2017,18
bol,2018,18
bol,2019,17.9
bra,2000,21.6
bra,2001,21.1
bra,2002,20.5
bra,2003,20.1
bra,2004,20
bra,2005,19
bra,2006,18.7
bra,2007,18.4
bra,2008,18.4
bra,2009,18
bra,2010,17.7
bra,2011,17.6
bra,2012,17.1
bra,2013,16.8
bra,2014,16.3
bra,2015,16.2
bra,2016,16.3
bra,2017,15.8
bra,2018,15.7
bra,2019,15.5
brb,2000,17
brb,2001,16.3
brb,2002,16.7
brb,2003,16.7
brb,2004,17
brb,2005,16.7
brb,2006,16.7
brb,2007,16.8
brb,2008,16.7
brb,2009,16.3
brb,2010,16.2
brb,2011,16.1
brb,2012,15.5
brb,2013,15.4
brb,2014,15.7
brb,2015,15.6
brb,2016,15.7
brb,2017,15.7
brb,2018,15.8
brb,2019,16
brn,2000,24
brn,2001,23.7
brn,2002,23
brn,2003,22.5
brn,2004,21.6
brn,2005,21.6
brn,2006,21.6
brn,2007,21.4
brn,2008,21.2
brn,2009,20.3
brn,2010,19.9
brn,2011,19.2
brn,2012,18.8
brn,2013,18.7
brn,2014,18.5
brn,2015,18.5
brn,2016,18.5
brn,2017,18.7
brn,2018,18.7
brn,2019,18.5
btn,2000,23.1
btn,2001,22.7
btn,2002,22.2
btn,2003,21.9
btn,2004,21.5
btn,2005,21.2
btn,2006,20.9
btn,2007,20.6
btn,2008,20.2
btn,2009,19.9
btn,2010,19.4
btn,2011,19.3
btn,2012,19.2
btn,2013,19.1
btn,2014,19
btn,2015,18.9
btn,2016,18.5
btn,2017,18.7
btn,2018,18.6
btn,2019,18.5
bwa,2000,38.4
bwa,2001,38.2
bwa,2002,37.8
bwa,2003,37.4
bwa,2004,37.2
bwa,2005,36.7
bwa,2006,35.3
bwa,2007,33.7
bwa,2008,33.3
bwa,2009,31.7
bwa,2010,31.3
bwa,2011,31
bwa,2012,31
bwa,2013,30.7
bwa,2014,30.2
bwa,2015,29.7
bwa,2016,28.9
bwa,2017,28.5
bwa,2018,28.2
bwa,2019,27
caf,2000,41.7
caf,2001,41
caf,2002,40.9
caf,2003,40.3
caf,2004,39.9
caf,2005,39.4
caf,2006,39.7
caf,2007,39.4
caf,2008,39.1
caf,2009,39.5
caf,2010,39.4
caf,2011,39.1
caf,2012,38.6
caf,2013,38.5
caf,2014,38.2
caf,2015,38.1
caf,2016,37.4
caf,2017,37.1
caf,2018,36.5
