global,time,dc_dac_svnl_cd
world,2003,0
world,2004,0
world,2005,14229999.54224
world,2006,17559999.46594
world,2007,21420000.07629
world,2008,28979999.54224
world,2009,25229999.54224
world,2010,22260000.22888
world,2011,19010000.22888
world,2012,19079999.92371
world,2013,20630001.06812
world,2014,20219999.31335
world,2015,25110000.61035
world,2016,27809999.46594
world,2017,24909999.84741
world,2018,29289999.00818
world,2019,31010000.22888
